cell_id,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,Cluster
1433,22.466335201263423,2006.079272460937,222,0,0,222,167.57484375,56.6259375,Myoepi_ACTA2+
1434,4.628581285476685,2008.250134277344,63,1,0,64,178.50265625,10.3859375,Myoepi_ACTA2+
1435,12.145287275314333,2013.5883666992188,167,0,0,168,163.0140625,40.86640625,Myoepi_ACTA2+
1436,20.763415336608887,2022.8906372070312,254,0,0,255,213.54390625,71.6178125,DCIS_2
1437,7.098773002624512,2029.6786010742187,200,0,0,200,246.41765625,21.72015625,DCIS_2
1438,12.70562081336975,2042.9974121093749,232,0,0,233,247.68203125,22.53296875,Myoepi_ACTA2+
1439,21.170985317230222,2056.3876098632813,100,0,0,100,82.0940625,18.243125,Stromal
1440,29.47701778411865,2060.4836303710936,111,0,0,111,100.4275,13.8178125,Myoepi_ACTA2+
1441,8.817363834381103,2054.231689453125,140,0,0,140,221.49140625,56.309843750000006,Stromal
1442,4.521853423118591,2064.16689453125,47,0,0,47,117.8578125,9.43765625,Stromal
1443,22.067453479766844,2066.544860839844,89,0,0,89,119.25765625,23.0296875,Stromal
1444,22.988665103912357,2073.369140625,58,0,0,58,77.80421875,14.7209375,Mast_Cells
1445,9.837890577316283,2072.3954589843747,98,0,0,98,142.9646875,30.0740625,Endothelial
1446,20.74877872467041,2080.5609375,39,0,0,39,58.47734375,9.43765625,Stromal
1447,13.165980195999143,2083.0613403320312,83,0,0,83,75.00453125,42.67265625,Macrophages_1
1448,22.67252206802368,2088.205126953125,104,0,0,104,95.32484375,34.36390625,Stromal
1449,5.752501797676087,2085.79375,93,0,0,93,186.1340625,51.2071875,Stromal
1450,20.011315917968748,2096.1765747070312,116,0,0,116,131.72078125000002,25.33265625,Stromal
1451,5.66772723197937,2098.449951171875,76,0,0,77,129.68875,25.69390625,Myoepi_ACTA2+
1452,28.27013931274414,2105.512048339844,70,0,0,70,75.99796875,14.5403125,Endothelial
1453,22.73732814788818,2108.442846679688,61,0,0,61,55.993750000000006,15.714375,Endothelial
1454,10.014303255081176,2110.0646118164063,331,0,0,331,303.40484375,143.46140625,Myoepi_ACTA2+
1455,27.26723957061768,2116.2540893554688,32,0,0,32,39.60203125,17.881875,Stromal
1456,20.09494466781616,2116.128955078125,90,0,0,90,63.760625000000005,26.551875000000003,Myoepi_ACTA2+
1457,4.770560717582702,2121.932446289062,58,0,0,58,74.5078125,8.2184375,Invasive_Tumor
1458,16.85687475204468,2123.8775268554687,134,0,0,134,93.15734375,38.60859375,DCIS_2
1459,25.633569622039797,2124.77255859375,102,0,0,102,71.30171875,27.5453125,Myoepi_ACTA2+
1460,27.68056011199951,2133.13974609375,121,0,0,121,81.77796875,32.964062500000004,Myoepi_ACTA2+
1461,6.816865015029907,2135.852026367188,268,0,0,268,290.1740625,91.1253125,DCIS_2
1462,17.920016765594482,2139.46826171875,251,0,0,251,192.004375,49.400937500000005,DCIS_2
1463,8.028656673431396,2158.2994140625,369,1,0,371,365.043125,88.82234375,Myoepi_ACTA2+
1464,25.13210678100586,2159.6912475585937,350,0,0,350,254.81671875,82.99718750000001,DCIS_2
1465,17.58740348815918,2166.3300048828123,121,0,0,121,102.18859375,43.84671875,DCIS_2
1466,20.199970626831053,2177.063122558593,163,0,0,163,113.8840625,53.1940625,DCIS_2
1467,5.946430826187133,2178.6151611328123,163,0,0,163,209.705625,54.0971875,DCIS_2
1468,11.830168867111206,2186.869665527344,173,0,0,173,114.8775,20.18484375,DCIS_2
1469,24.293390655517577,2188.521936035156,220,0,0,220,177.41890625000002,74.5078125,DCIS_2
1470,16.46613817214966,2197.0235961914063,143,0,0,143,95.550625,20.59125,DCIS_2
1471,26.56828784942627,2200.919567871093,84,0,0,84,64.66375000000001,15.21765625,Myoepi_ACTA2+
1472,6.404237151145935,2200.497473144532,221,0,0,221,228.26484375,66.10875,DCIS_2
1473,21.673646259307866,2208.0428833007813,170,0,0,170,124.04421875,45.74328125,DCIS_2
1474,8.954409408569335,2217.4350097656247,391,1,0,392,313.06828125000004,117.36109375,DCIS_2
1475,23.0942325592041,2219.7212524414062,201,0,0,201,132.12718750000002,56.896875,DCIS_2
1476,6.9891321659088135,2232.875500488281,185,0,0,185,188.4821875,7.63140625,DCIS_2
1477,22.1985312461853,2233.3642089843747,266,0,0,266,195.1653125,91.26078125,DCIS_2
1478,23.444369888305665,2244.784631347656,380,0,0,380,229.4840625,109.95546875,DCIS_2
1479,18.704291439056394,2251.7506469726563,79,0,0,79,63.71546875,24.8359375,DCIS_2
1480,6.789254379272461,2250.5457885742185,324,0,0,324,282.63296875000003,70.85015625,DCIS_2
1481,20.965840911865232,2259.565417480469,271,0,0,271,162.5625,33.00921875,Myoepi_ACTA2+
1482,5.307537770271301,2268.3391357421874,162,0,0,162,164.36875,46.014218750000005,DCIS_2
1483,22.93318119049072,2270.628283691406,440,0,0,440,272.42765625,138.72,DCIS_2
1484,6.36358642578125,2282.760083007812,218,2,0,220,201.35171875,65.25078125,DCIS_2
1485,20.5480619430542,2282.8441284179685,243,0,0,243,156.06,121.33484375,DCIS_2
1486,31.479824447631835,2283.947302246094,196,0,0,196,120.6575,76.44953125,DCIS_2
1487,12.369822597503662,2291.138684082031,191,0,0,192,115.28390625,39.2859375,Myoepi_ACTA2+
1488,24.50098476409912,2293.0258666992186,108,1,0,109,65.29593750000001,40.1890625,DCIS_2
1489,15.530573654174804,2299.357080078125,167,0,0,167,102.73046875,39.78265625,DCIS_2
