,pop,depth,cell.type,cell.type.idx,x,y
cell138,5_3,1.08108108108108,5_3_1,5,9,22
cell139,4_1,1.08417508417508,4_1_3,9,13,20
cell140,4_1,1.07744107744108,4_1_3,9,19,22
cell141,4_1,1.07070707070707,4_1_3,9,7,17
cell142,4_1,1.06397306397306,4_1_3,9,8,17
cell143,5_3,1.0472972972973,5_3_1,5,18,24
cell144,4_1,1.05050505050505,4_1_3,9,7,15
cell145,4_1,1.04377104377104,4_1_3,9,10,12
cell146,5_2,1.02702702702703,5_2_1,3,10,17
cell147,5_3,1.02027027027027,5_3_1,5,20,18
cell148,5_3,1.01351351351351,5_3_1,5,14,18
cell149,4_1,1.01683501683502,4_1_3,9,19,21
cell150,5_3,1,5_3_1,5,22,15
cell151,4_5,1,4_5_2,2,10,24
cell152,4_5,1,4_5_2,2,8,20
cell153,4_5,0.993243243243243,4_5_2,2,14,24
cell154,4_1,0.983164983164983,4_1_2,8,8,21
cell155,4_5,0.97972972972973,4_5_2,2,16,25
cell156,4_5,0.972972972972973,4_5_2,2,23,9
cell157,4_5,0.966216216216216,4_5_2,2,22,10
cell158,4_1,0.956228956228956,4_1_2,8,6,17
cell159,4_5,0.952702702702703,4_5_2,2,15,25
cell160,4_5,0.945945945945946,4_5_2,2,8,16
cell161,4_1,0.936026936026936,4_1_2,8,21,10
cell162,4_5,0.932432432432432,4_5_2,2,21,17
cell163,4_5,0.925675675675676,4_5_2,2,15,11
cell164,4_5,0.918918918918919,4_5_2,2,11,25
cell165,4_5,0.912162162162162,4_5_2,2,8,14
cell166,4_1,0.902356902356902,4_1_2,8,16,12
cell167,4_5,0.898648648648649,4_5_2,2,22,14
cell168,4_1,0.888888888888889,4_1_2,8,5,17
cell169,4_5,0.885135135135135,4_5_2,2,22,16
cell170,4_5,0.878378378378378,4_5_2,2,10,13
cell171,4_5,0.871621621621622,4_5_2,2,9,21
cell172,4_5,0.864864864864865,4_5_2,2,5,16
cell173,4_5,0.858108108108108,4_5_2,2,16,11
cell174,4_1,0.848484848484848,4_1_2,8,23,13
cell175,4_1,0.841750841750842,4_1_2,8,15,26
cell176,4_5,0.837837837837838,4_5_2,2,16,10
cell177,4_5,0.831081081081081,4_5_2,2,13,10
cell178,4_5,0.824324324324324,4_5_2,2,15,24
cell179,4_5,0.817567567567568,4_5_2,2,7,16
cell180,4_1,0.808080808080808,4_1_2,8,14,22
cell181,4_5,0.804054054054054,4_5_2,2,24,12
cell182,4_5,0.797297297297297,4_5_2,2,19,12
cell183,4_1,0.787878787878788,4_1_2,8,24,13
cell184,4_1,0.781144781144781,4_1_2,8,21,11
cell185,4_5,0.777027027027027,4_5_2,2,20,10
cell186,4_5,0.77027027027027,4_5_2,2,22,9
cell187,4_5,0.763513513513514,4_5_2,2,12,25
cell188,4_5,0.756756756756757,4_5_2,2,6,15
cell189,4_5,0.75,4_5_2,2,19,11
