,pop,depth,cell.type,cell.type.idx,x,y
cell1,5_3,2,5_3_2,6,15,15
cell2,4_1,1.97979797979798,4_1_4,10,10,21
cell3,5_2,1.99324324324324,5_2_2,4,17,13
cell4,5_3,1.98648648648649,5_3_2,6,14,16
cell5,5_3,1.97972972972973,5_3_2,6,17,21
cell6,5_3,1.97297297297297,5_3_2,6,15,14
cell7,4_1,1.97306397306397,4_1_4,10,11,21
cell8,5_2,1.95945945945946,5_2_2,4,18,13
cell9,5_2,1.9527027027027,5_2_2,4,18,12
cell10,4_1,1.95286195286195,4_1_4,10,16,14
cell11,4_1,1.94612794612795,4_1_4,10,16,13
cell12,4_1,1.93939393939394,4_1_4,10,13,16
cell13,5_2,1.92567567567568,5_2_2,4,18,14
cell14,4_1,1.92592592592593,4_1_4,10,16,15
cell15,5_3,1.91216216216216,5_3_2,6,14,17
cell16,5_2,1.90540540540541,5_2_2,4,18,15
cell17,5_2,1.89864864864865,5_2_2,4,17,12
cell18,4_1,1.8989898989899,4_1_4,10,16,12
cell19,4_1,1.89225589225589,4_1_4,10,10,22
cell20,5_3,1.87837837837838,5_3_2,6,19,15
cell21,4_1,1.87878787878788,4_1_4,10,13,17
cell22,5_3,1.86486486486486,5_3_2,6,14,14
cell23,5_3,1.85810810810811,5_3_2,6,13,15
cell24,4_1,1.85858585858586,4_1_4,10,15,16
cell25,5_3,1.84459459459459,5_3_2,6,17,20
cell26,5_3,1.83783783783784,5_3_2,6,16,16
cell27,4_1,1.83838383838384,4_1_4,10,9,22
cell28,5_3,1.82432432432432,5_3_2,6,17,14
cell29,5_3,1.81756756756757,5_3_2,6,14,18
cell30,5_3,1.81081081081081,5_3_2,6,19,16
cell31,5_3,1.80405405405405,5_3_2,6,16,11
cell32,5_3,1.7972972972973,5_3_2,6,14,15
cell33,5_2,1.79054054054054,5_2_2,4,17,11
cell34,5_2,1.78378378378378,5_2_2,4,18,11
cell35,5_3,1.77702702702703,5_3_2,6,17,22
cell36,5_2,1.77027027027027,5_2_2,4,18,16
cell37,5_3,1.76351351351351,5_3_2,6,18,21
cell38,5_3,1.75675675675676,5_3_2,6,16,20
cell39,4_1,1.75757575757576,4_1_4,10,8,22
cell40,5_2,1.74324324324324,5_2_2,4,19,13
cell41,5_3,1.73648648648649,5_3_2,6,18,22
cell42,5_3,1.72972972972973,5_3_2,6,15,17
cell43,4_1,1.73063973063973,4_1_4,10,9,21
cell44,5_2,1.71621621621622,5_2_2,4,19,12
cell45,5_3,1.70945945945946,5_3_2,6,10,23
cell46,5_3,1.7027027027027,5_3_2,6,20,15
cell47,4_1,1.7037037037037,4_1_4,10,12,21
cell48,5_2,1.68918918918919,5_2_2,4,20,13
cell49,4_1,1.69023569023569,4_1_4,10,12,16
cell50,5_2,1.67567567567568,5_2_2,4,17,16
cell51,5_2,1.66891891891892,5_2_2,4,17,10
cell52,5_3,1.66216216216216,5_3_2,6,17,15
cell53,4_1,1.66329966329966,4_1_4,10,15,18
cell54,5_2,1.64864864864865,5_2_2,4,16,10
cell55,5_3,1.64189189189189,5_3_2,6,16,17
cell56,5_2,1.63513513513514,5_2_2,4,18,17
cell57,4_1,1.63636363636364,4_1_4,10,15,12
cell58,5_2,1.62162162162162,5_2_2,4,21,13
cell59,5_3,1.61486486486486,5_3_2,6,11,22
cell60,5_3,1.60810810810811,5_3_2,6,16,22
cell61,4_1,1.60942760942761,4_1_4,10,7,22
cell62,5_2,1.59459459459459,5_2_2,4,18,18
cell63,4_1,1.5959595959596,4_1_4,10,12,17
cell64,4_1,1.58922558922559,4_1_4,10,7,23
cell65,5_3,1.57432432432432,5_3_2,6,10,24
cell66,4_1,1.57575757575758,4_1_4,10,15,19
cell67,5_3,1.56081081081081,5_3_2,6,9,23
cell68,4_1,1.56228956228956,4_1_4,10,14,19
cell69,5_2,1.5472972972973,5_2_2,4,15,10
cell70,4_1,1.54882154882155,4_1_4,10,14,12
cell71,5_3,1.53378378378378,5_3_2,6,19,18
cell72,5_3,1.52702702702703,5_3_2,6,11,17
cell73,5_2,1.52027027027027,5_2_2,4,18,23
cell74,4_1,1.52188552188552,4_1_4,10,22,13
cell75,5_2,1.50675675675676,5_2_2,4,14,20
cell76,5_3,1.5,5_3_1,5,14,13
cell77,5_2,1.49324324324324,5_2_1,3,17,23
cell78,5_3,1.48648648648649,5_3_1,5,15,13
cell79,4_1,1.48821548821549,4_1_4,10,13,19
cell80,5_2,1.47297297297297,5_2_1,3,19,11
cell81,5_3,1.46621621621622,5_3_1,5,11,24
cell82,5_2,1.45945945945946,5_2_1,3,14,10
cell83,5_3,1.4527027027027,5_3_1,5,13,18
cell84,5_2,1.44594594594595,5_2_1,3,14,21
cell85,5_3,1.43918918918919,5_3_1,5,12,24
cell86,5_2,1.43243243243243,5_2_1,3,17,17
cell87,5_3,1.42567567567568,5_3_1,5,19,21
cell88,4_1,1.42760942760943,4_1_3,9,15,11
cell89,5_3,1.41216216216216,5_3_1,5,17,19
cell90,5_2,1.40540540540541,5_2_1,3,12,18
cell91,5_3,1.39864864864865,5_3_1,5,15,22
cell92,5_3,1.39189189189189,5_3_1,5,19,20
cell93,5_3,1.38513513513514,5_3_1,5,11,18
cell94,5_2,1.37837837837838,5_2_1,3,13,21
cell95,5_2,1.37162162162162,5_2_1,3,15,21
cell96,4_1,1.37373737373737,4_1_3,9,13,20
cell97,5_2,1.35810810810811,5_2_1,3,13,10
cell98,4_1,1.36026936026936,4_1_3,9,15,20
cell99,4_1,1.35353535353535,4_1_3,9,12,20
cell100,4_1,1.34680134680135,4_1_3,9,19,10
cell101,5_2,1.33108108108108,5_2_1,3,19,23
cell102,4_1,1.33333333333333,4_1_3,9,23,13
cell103,5_3,1.31756756756757,5_3_1,5,19,19
cell104,4_1,1.31986531986532,4_1_3,9,23,12
cell105,5_3,1.30405405405405,5_3_1,5,20,19
cell106,5_3,1.2972972972973,5_3_1,5,10,18
cell107,5_2,1.29054054054054,5_2_1,3,13,9
cell108,4_1,1.29292929292929,4_1_3,9,23,11
cell109,5_3,1.27702702702703,5_3_1,5,18,19
cell110,4_1,1.27946127946128,4_1_3,9,9,20
cell111,5_2,1.26351351351351,5_2_1,3,19,22
cell112,4_1,1.26599326599327,4_1_3,9,10,20
cell113,5_2,1.25,5_2_1,3,14,9
cell114,5_2,1.24324324324324,5_2_1,3,20,11
cell115,5_3,1.23648648648649,5_3_1,5,19,14
cell116,4_1,1.23905723905724,4_1_3,9,12,19
cell117,5_2,1.22297297297297,5_2_1,3,13,8
cell118,5_2,1.21621621621622,5_2_1,3,20,10
cell119,5_2,1.20945945945946,5_2_1,3,16,23
cell120,5_3,1.2027027027027,5_3_1,5,13,14
cell121,5_3,1.19594594594595,5_3_1,5,16,19
cell122,5_3,1.18918918918919,5_3_1,5,18,20
cell123,5_2,1.18243243243243,5_2_1,3,20,14
cell124,5_3,1.17567567567568,5_3_1,5,20,21
cell125,5_3,1.16891891891892,5_3_1,5,14,22
cell126,5_3,1.16216216216216,5_3_1,5,16,21
cell127,5_2,1.15540540540541,5_2_1,3,23,14
cell128,5_2,1.14864864864865,5_2_1,3,21,11
cell129,4_1,1.15151515151515,4_1_3,9,22,11
cell130,5_2,1.13513513513514,5_2_1,3,19,17
cell131,5_3,1.12837837837838,5_3_1,5,10,19
cell132,5_2,1.12162162162162,5_2_1,3,16,9
cell133,5_3,1.11486486486486,5_3_1,5,10,25
cell134,5_3,1.10810810810811,5_3_1,5,12,25
cell135,5_2,1.10135135135135,5_2_1,3,15,9
cell136,5_3,1.09459459459459,5_3_1,5,16,18
cell137,4_1,1.0976430976431,4_1_3,9,22,14
cell138,5_2,1.08108108108108,5_2_1,3,17,9
cell139,5_2,1.07432432432432,5_2_1,3,15,8
cell140,4_1,1.07744107744108,4_1_3,9,8,21
cell141,5_2,1.06081081081081,5_2_1,3,21,10
cell142,5_3,1.05405405405405,5_3_1,5,10,26
cell143,4_1,1.05723905723906,4_1_3,9,24,14
cell144,4_1,1.05050505050505,4_1_3,9,12,15
cell145,5_3,1.03378378378378,5_3_1,5,12,14
cell146,5_2,1.02702702702703,5_2_1,3,16,8
cell147,4_1,1.03030303030303,4_1_3,9,12,22
cell148,5_3,1.01351351351351,5_3_1,5,13,25
cell149,4_1,1.01683501683502,4_1_3,9,11,19
cell150,5_3,1,5_3_1,5,11,14
cell151,4_5,1,4_5_2,2,20,12
cell152,4_1,0.996632996632997,4_1_3,9,24,15
cell153,4_5,0.993243243243243,4_5_2,2,11,23
cell154,4_5,0.986486486486487,4_5_2,2,20,9
cell155,4_5,0.97972972972973,4_5_2,2,21,15
cell156,4_1,0.96969696969697,4_1_2,8,6,23
cell157,4_5,0.966216216216216,4_5_2,2,24,11
cell158,4_5,0.95945945945946,4_5_2,2,12,13
cell159,4_5,0.952702702702703,4_5_2,2,21,16
cell160,4_1,0.942760942760943,4_1_2,8,7,24
cell161,4_1,0.936026936026936,4_1_2,8,8,20
cell162,4_1,0.929292929292929,4_1_2,8,15,23
cell163,4_5,0.925675675675676,4_5_2,2,9,18
cell164,4_5,0.918918918918919,4_5_2,2,21,9
cell165,4_1,0.909090909090909,4_1_2,8,6,22
cell166,4_5,0.905405405405405,4_5_2,2,12,10
cell167,4_5,0.898648648648649,4_5_2,2,13,11
cell168,4_1,0.888888888888889,4_1_2,8,20,16
cell169,4_1,0.882154882154882,4_1_2,8,14,23
cell170,4_5,0.878378378378378,4_5_2,2,17,18
cell171,4_5,0.871621621621622,4_5_2,2,22,9
cell172,4_5,0.864864864864865,4_5_2,2,11,13
cell173,4_5,0.858108108108108,4_5_2,2,23,15
cell174,4_5,0.851351351351351,4_5_2,2,12,9
cell175,4_5,0.844594594594595,4_5_2,2,9,24
cell176,4_5,0.837837837837838,4_5_2,2,11,25
cell177,4_1,0.828282828282828,4_1_2,8,25,15
cell178,4_5,0.824324324324324,4_5_2,2,11,15
cell179,4_5,0.817567567567568,4_5_2,2,18,10
cell180,4_1,0.808080808080808,4_1_2,8,19,9
