cell_id,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,Cluster
2181,568.1274139404296,4232.295263671875,386,0,0,386,517.129375,35.76375,Stromal
2182,572.4884887695313,4211.889868164062,443,0,0,443,202.841875,110.67796875,Invasive_Tumor
2183,583.504507446289,4218.493139648437,543,0,0,543,259.15171875,110.361875,Invasive_Tumor
2184,593.2170959472656,4219.025219726563,265,0,0,265,199.1390625,35.221875000000004,Prolif_Invasive_Tumor
2185,598.6724731445312,4219.099926757813,46,0,0,46,51.658750000000005,9.934375,Invasive_Tumor
2186,593.1874206542968,4238.678564453125,260,0,0,261,278.47859375,35.26703125,Macrophages_1
2291,273.5536209106445,4217.243041992188,316,1,0,317,408.1221875,34.27359375,Stromal
2292,295.41001892089844,4228.719287109375,207,3,0,210,314.106875,25.422968750000003,Stromal
2293,298.06753997802736,4212.724096679687,435,0,0,435,300.4696875,103.136875,Stromal
2294,303.97569885253904,4236.659814453124,198,0,0,198,164.14296875,33.09953125,Stromal
2295,305.8245422363281,4244.349658203125,139,1,0,140,75.27546875,31.65453125,Stromal
2296,314.77003479003906,4242.043701171875,220,0,0,220,121.15421875,41.363125,Stromal
2297,320.02686767578126,4229.506616210937,140,1,0,141,128.6953125,22.578125,Stromal
2298,323.11691131591795,4242.256201171875,165,0,0,165,103.54328125,46.646406250000005,CD8+_T_Cells
2299,321.37919464111326,4218.3740234375,304,0,0,304,255.08765625,64.844375,Stromal
2300,330.4518447875976,4230.738452148437,136,0,0,136,124.13453125,29.30640625,Stromal
2301,342.2717681884765,4215.741015625,726,2,0,728,583.5090625,66.3796875,Stromal
2302,339.8560592651367,4237.552148437499,357,0,0,357,242.89546875,63.896093750000006,Stromal
2303,361.4011001586914,4229.984326171875,384,4,0,388,451.1109375,31.56421875,Stromal
2304,361.92337493896486,4241.276708984375,90,0,0,90,56.85171875,15.12734375,Stromal
2305,383.3990783691406,4225.134594726563,242,0,0,242,263.03515625,11.4696875,Stromal
2306,386.00495300292965,4237.229248046875,145,0,0,145,169.20046875,8.7603125,Stromal
2307,400.4339935302734,4231.555249023438,131,1,0,132,176.42546875000002,33.6865625,Stromal
2308,404.8123443603516,4218.83720703125,231,0,0,231,250.526875,27.635625,B_Cells
2309,415.98143463134767,4218.709374999999,130,0,0,130,143.055,9.3925,Stromal
2310,414.7632431030273,4231.75322265625,136,0,0,136,98.03421875,30.75140625,Stromal
2311,414.5998474121093,4244.203149414062,253,0,0,253,155.42781250000002,77.98484375000001,Stromal
2312,422.8656875610352,4229.5240478515625,138,0,0,138,94.33140625,33.09953125,B_Cells
2313,428.53397979736326,4243.164721679687,287,4,0,291,235.354375,71.70812500000001,Stromal
2314,430.056265258789,4224.68427734375,217,0,0,217,143.19046875,49.35578125,CD8+_T_Cells
2315,433.3705856323242,4234.8095703125,81,0,0,81,70.85015625,14.85640625,CD4+_T_Cells
2316,441.3456909179688,4218.99658203125,172,0,0,172,139.75859375000002,30.93203125,B_Cells
2317,443.4163208007813,4232.049145507813,197,0,0,197,220.94953125,38.33765625,B_Cells
2318,449.80335693359376,4245.786523437499,318,0,0,318,255.35859375,56.174375000000005,Stromal
2319,456.0907836914062,4212.962744140625,301,1,0,302,349.73515625,20.410625,Endothelial
2321,467.7778686523437,4216.9296875,328,1,0,329,285.02625,46.1496875,Endothelial
