cell_id,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,Cluster
1300,231.61203002929688,2535.114001464844,145,0,0,145,115.5096875,16.075625000000002,DCIS_2
1301,232.60028991699215,2547.7948974609376,98,0,0,98,132.57875,19.5978125,Myoepi_ACTA2+
1302,238.78507232666016,2558.059228515625,191,1,0,192,100.11140625,48.54296875,DCIS_2
1303,240.8011505126953,2537.820056152344,65,0,0,65,95.0990625,10.70203125,Macrophages_1
1304,244.22574157714843,2547.85009765625,221,0,0,221,117.81265625,43.03390625,DCIS_2
1305,251.5779251098633,2551.921215820312,219,0,0,219,94.15078125,48.76875,DCIS_2
1306,250.3159210205078,2537.856164550781,265,0,0,265,105.665625,13.14046875,DCIS_2
1307,253.4689468383789,2528.101708984375,237,0,0,237,119.70921875,23.48125,Myoepi_ACTA2+
1308,257.9854537963867,2561.283459472656,318,0,0,318,136.91375,66.42484375000001,DCIS_2
1309,260.5237548828125,2538.9089111328126,377,0,0,377,171.63890625000002,77.26234375,DCIS_2
1310,264.1541534423828,2552.293505859375,321,1,0,322,146.848125,102.3240625,DCIS_2
1311,270.2080169677734,2539.921813964844,204,0,0,204,109.0071875,65.79265625000001,DCIS_2
1312,275.28513793945314,2558.697766113281,543,0,0,543,270.98265625,160.07890625000002,Myoepi_ACTA2+
1313,278.442236328125,2532.722338867188,362,2,0,364,174.16765625000002,84.0809375,DCIS_2
1314,281.0835968017578,2544.2241088867186,183,0,0,183,68.3665625,42.7178125,DCIS_2
1315,281.9462554931641,2551.763500976562,169,0,0,169,83.5390625,52.787656250000005,Myoepi_ACTA2+
1316,288.89652557373046,2539.6460205078124,240,0,0,241,113.974375,60.4190625,DCIS_2
1317,291.28619079589845,2557.748364257812,379,0,0,379,241.17953125,90.854375,Myoepi_ACTA2+
1318,294.03432006835936,2530.801953125,340,0,0,340,150.41546875,46.9625,DCIS_2
1319,299.5508117675781,2541.400183105469,279,0,0,279,123.90875,63.53484375,DCIS_2
1320,302.6857315063476,2561.83525390625,212,0,0,212,208.1703125,38.15703125,Myoepi_ACTA2+
1321,308.59842987060546,2553.2875244140623,348,0,0,348,196.20390625,73.96593750000001,Myoepi_ACTA2+
1322,307.76798858642576,2528.7016479492186,362,0,0,362,172.54203125,60.148125,DCIS_2
1323,313.72950592041013,2542.818994140625,415,0,0,415,213.7696875,83.58421875,DCIS_2
1324,319.6801803588868,2531.4572998046874,150,0,0,150,65.88296875,13.908125,Myoepi_ACTA2+
1325,327.0823501586914,2538.356701660156,289,0,0,289,237.74765625,62.90265625,Myoepi_ACTA2+
1326,328.27763671875,2552.86875,118,0,0,118,159.6725,23.48125,Macrophages_1
1327,338.8287857055664,2540.708312988281,92,0,0,92,148.15765625,12.95984375,Stromal
1328,341.0099197387695,2553.313464355469,165,2,0,167,125.30859375,29.125781250000003,CD8+_T_Cells
1329,345.76439971923827,2545.838195800781,55,0,0,55,45.83359375,21.08796875,CD8+_T_Cells
1330,347.0698532104492,2533.7833862304688,60,0,0,60,71.84359375,6.72828125,Macrophages_1
1331,350.90826416015625,2551.903784179688,62,0,0,62,63.80578125,14.67578125,Macrophages_1
1332,352.3087875366211,2541.76064453125,64,0,0,64,85.796875,17.4303125,Macrophages_1
1333,354.899331665039,2528.8195190429688,78,0,0,78,109.639375,17.520625,Macrophages_1
1334,359.18850097656247,2548.998510742188,98,0,0,98,97.85359375,32.647968750000004,CD4+_T_Cells
1335,361.0353469848633,2531.51416015625,81,0,0,81,80.378125,20.5009375,B_Cells
1336,364.0652877807617,2558.393957519532,52,0,0,52,80.42328125,21.855625,CD4+_T_Cells
1337,364.4088104248047,2538.6017822265626,106,0,0,106,87.3321875,28.1775,Stromal
