,pop,depth,cell.type,cell.type.idx,x,y
cell170,4_1,0.875420875420875,4_1_2,8,16,10
cell171,4_5,0.871621621621622,4_5_2,2,13,5
cell172,4_1,0.861952861952862,4_1_2,8,15,11
cell173,4_5,0.858108108108108,4_5_2,2,22,9
cell174,4_1,0.848484848484848,4_1_2,8,10,22
cell175,4_5,0.844594594594595,4_5_2,2,24,9
cell176,4_5,0.837837837837838,4_5_2,2,17,19
cell177,4_5,0.831081081081081,4_5_2,2,13,19
cell178,4_5,0.824324324324324,4_5_2,2,26,14
cell179,4_5,0.817567567567568,4_5_2,2,15,7
cell180,4_5,0.810810810810811,4_5_2,2,8,15
cell181,4_5,0.804054054054054,4_5_2,2,24,14
cell182,4_5,0.797297297297297,4_5_2,2,14,7
cell183,4_1,0.787878787878788,4_1_2,8,9,18
cell184,4_5,0.783783783783784,4_5_2,2,11,10
cell185,4_1,0.774410774410774,4_1_2,8,23,15
cell186,4_5,0.77027027027027,4_5_2,2,24,13
cell187,4_5,0.763513513513514,4_5_2,2,20,20
cell188,4_5,0.756756756756757,4_5_2,2,24,11
cell189,4_1,0.747474747474747,4_1_2,8,9,21
cell190,4_5,0.743243243243243,4_5_2,2,22,18
cell191,4_5,0.736486486486487,4_5_2,2,14,6
cell192,4_5,0.72972972972973,4_5_2,2,25,10
cell193,4_1,0.72053872053872,4_1_2,8,8,21
cell194,4_5,0.716216216216216,4_5_2,2,8,10
cell195,4_1,0.707070707070707,4_1_2,8,10,19
cell196,4_5,0.702702702702703,4_5_2,2,22,8
cell197,4_5,0.695945945945946,4_5_2,2,21,8
cell198,4_1,0.686868686868687,4_1_2,8,8,17
cell199,4_1,0.68013468013468,4_1_2,8,19,18
cell200,4_5,0.675675675675676,4_5_2,2,7,17
cell201,4_5,0.668918918918919,4_5_2,2,18,9
cell202,4_5,0.662162162162162,4_5_2,2,13,4
cell203,4_5,0.655405405405405,4_5_2,2,19,10
cell204,4_5,0.648648648648649,4_5_2,2,17,17
cell205,4_5,0.641891891891892,4_5_2,2,10,8
cell206,4_5,0.635135135135135,4_5_2,2,7,16
cell207,4_5,0.628378378378378,4_5_2,2,7,21
cell208,4_5,0.621621621621622,4_5_2,2,26,16
cell209,4_1,0.612794612794613,4_1_2,8,8,22
cell210,4_5,0.608108108108108,4_5_2,2,11,23
cell211,4_5,0.601351351351351,4_5_2,2,13,3
cell212,4_1,0.592592592592593,4_1_2,8,10,14
cell213,4_5,0.587837837837838,4_5_2,2,7,15
cell214,4_1,0.579124579124579,4_1_2,8,26,13
cell215,4_5,0.574324324324324,4_5_2,2,6,17
cell216,4_5,0.567567567567568,4_5_2,2,8,9
cell217,4_1,0.558922558922559,4_1_2,8,25,14
cell218,4_1,0.552188552188552,4_1_2,8,10,13
cell219,4_5,0.547297297297297,4_5_2,2,7,9
cell220,4_5,0.540540540540541,4_5_2,2,11,6
cell221,4_5,0.533783783783784,4_5_2,2,19,20
cell222,4_5,0.527027027027027,4_5_2,2,17,6
cell223,4_5,0.52027027027027,4_5_2,2,19,9
cell224,4_5,0.513513513513514,4_5_2,2,17,5
cell225,4_1,0.505050505050505,4_1_2,8,17,21
cell226,4_5,0.5,4_5_1,1,22,19
cell227,4_5,0.493243243243243,4_5_1,1,16,7
cell228,4_1,0.484848484848485,4_1_1,7,23,17
cell229,4_1,0.478114478114478,4_1_1,7,8,23
cell230,4_1,0.471380471380471,4_1_1,7,9,12
cell231,4_1,0.464646464646465,4_1_1,7,8,19
cell232,4_5,0.45945945945946,4_5_1,1,20,10
cell233,4_5,0.452702702702703,4_5_1,1,17,20
cell234,4_5,0.445945945945946,4_5_1,1,14,5
cell235,4_5,0.439189189189189,4_5_1,1,7,22
cell236,4_5,0.432432432432432,4_5_1,1,12,8
cell237,4_1,0.424242424242424,4_1_1,7,17,22
cell238,4_5,0.418918918918919,4_5_1,1,25,9
cell239,4_5,0.412162162162162,4_5_1,1,10,7
cell240,4_5,0.405405405405405,4_5_1,1,7,11
cell241,4_5,0.398648648648649,4_5_1,1,12,3
cell242,4_1,0.390572390572391,4_1_1,7,19,21
cell243,4_5,0.385135135135135,4_5_1,1,10,6
cell244,4_5,0.378378378378378,4_5_1,1,12,2
cell245,4_5,0.371621621621622,4_5_1,1,7,23
cell246,4_5,0.364864864864865,4_5_1,1,12,5
cell247,4_5,0.358108108108108,4_5_1,1,10,5
cell248,4_1,0.35016835016835,4_1_1,7,17,23
cell249,4_5,0.344594594594595,4_5_1,1,25,12
cell250,4_5,0.337837837837838,4_5_1,1,7,18
cell251,4_5,0.331081081081081,4_5_1,1,26,17
cell252,4_5,0.324324324324324,4_5_1,1,21,9
cell253,4_5,0.317567567567568,4_5_1,1,23,18
cell254,4_5,0.310810810810811,4_5_1,1,21,7
cell255,4_1,0.303030303030303,4_1_1,7,9,13
