,pop,depth,cell.type,cell.type.idx,x,y
cell1,5_2,2,5_2_2,4,15,15
cell2,5_2,2,5_2_2,4,17,18
cell3,5_3,1.99324324324324,5_3_2,6,21,19
cell4,5_3,1.98648648648649,5_3_2,6,12,10
cell5,5_2,1.97972972972973,5_2_2,4,21,10
cell6,5_2,1.97297297297297,5_2_2,4,17,19
cell7,4_1,1.97306397306397,4_1_4,10,13,10
cell8,4_1,1.96632996632997,4_1_4,10,13,9
cell9,5_2,1.9527027027027,5_2_2,4,22,10
cell10,4_1,1.95286195286195,4_1_4,10,20,19
cell11,5_3,1.93918918918919,5_3_2,6,12,11
cell12,5_3,1.93243243243243,5_3_2,6,11,10
cell13,4_1,1.93265993265993,4_1_4,10,20,18
cell14,4_1,1.92592592592593,4_1_4,10,20,20
cell15,5_2,1.91216216216216,5_2_2,4,21,11
cell16,4_1,1.91245791245791,4_1_4,10,20,17
cell17,5_2,1.89864864864865,5_2_2,4,20,11
cell18,5_3,1.89189189189189,5_3_2,6,12,12
cell19,5_2,1.88513513513514,5_2_2,4,14,15
cell20,5_2,1.87837837837838,5_2_2,4,21,17
cell21,4_1,1.87878787878788,4_1_4,10,19,11
cell22,5_3,1.86486486486486,5_3_2,6,13,11
cell23,5_3,1.85810810810811,5_3_2,6,11,11
cell24,5_3,1.85135135135135,5_3_2,6,12,13
cell25,5_2,1.84459459459459,5_2_2,4,20,12
cell26,4_1,1.84511784511784,4_1_4,10,18,11
cell27,4_1,1.83838383838384,4_1_4,10,17,17
cell28,4_1,1.83164983164983,4_1_4,10,19,19
cell29,5_3,1.81756756756757,5_3_2,6,13,12
cell30,5_3,1.81081081081081,5_3_2,6,13,13
cell31,5_3,1.80405405405405,5_3_2,6,12,9
cell32,5_2,1.7972972972973,5_2_2,4,14,16
cell33,4_1,1.7979797979798,4_1_4,10,20,16
cell34,4_1,1.79124579124579,4_1_4,10,20,15
cell35,5_2,1.77702702702703,5_2_2,4,22,11
cell36,4_1,1.77777777777778,4_1_4,10,14,9
cell37,4_1,1.77104377104377,4_1_4,10,18,19
cell38,5_2,1.75675675675676,5_2_2,4,19,12
cell39,5_3,1.75,5_3_2,6,21,20
cell40,5_2,1.74324324324324,5_2_2,4,15,16
cell41,5_3,1.73648648648649,5_3_2,6,11,9
cell42,4_1,1.73737373737374,4_1_4,10,21,16
cell43,4_1,1.73063973063973,4_1_4,10,21,18
cell44,5_3,1.71621621621622,5_3_2,6,16,15
cell45,5_3,1.70945945945946,5_3_2,6,22,19
cell46,5_3,1.7027027027027,5_3_2,6,19,15
cell47,5_2,1.69594594594595,5_2_2,4,16,18
cell48,5_3,1.68918918918919,5_3_2,6,18,15
cell49,5_2,1.68243243243243,5_2_2,4,10,9
cell50,5_2,1.67567567567568,5_2_2,4,22,17
cell51,5_3,1.66891891891892,5_3_2,6,22,12
cell52,5_3,1.66216216216216,5_3_2,6,10,11
cell53,5_3,1.65540540540541,5_3_2,6,18,16
cell54,4_1,1.65656565656566,4_1_4,10,14,8
cell55,5_2,1.64189189189189,5_2_2,4,13,15
cell56,4_1,1.64309764309764,4_1_4,10,18,17
cell57,5_3,1.62837837837838,5_3_2,6,13,16
cell58,4_1,1.62962962962963,4_1_4,10,19,10
cell59,4_1,1.62289562289562,4_1_4,10,22,16
cell60,4_1,1.61616161616162,4_1_4,10,14,7
