,pop,depth,cell.type,cell.type.idx,x,y
cell1,4_1,1.97979797979798,4_1_4,10,15,15
cell2,5_3,2,5_3_2,6,21,20
cell3,4_1,1.97979797979798,4_1_4,10,18,15
cell4,4_1,1.97979797979798,4_1_4,10,19,21
cell5,5_3,1.97972972972973,5_3_2,6,12,21
cell6,5_2,1.97297297297297,5_2_2,4,20,21
cell7,5_3,1.96621621621622,5_3_2,6,12,20
cell8,4_1,1.96632996632997,4_1_4,10,13,20
cell9,4_1,1.95959595959596,4_1_4,10,14,15
cell10,5_3,1.94594594594595,5_3_2,6,13,21
cell11,5_2,1.93918918918919,5_2_2,4,20,20
cell12,4_1,1.93939393939394,4_1_4,10,21,21
cell13,5_3,1.92567567567568,5_3_2,6,15,16
cell14,5_2,1.91891891891892,5_2_2,4,20,22
cell15,5_3,1.91216216216216,5_3_2,6,14,16
cell16,5_2,1.90540540540541,5_2_2,4,19,22
cell17,5_3,1.89864864864865,5_3_2,6,22,20
cell18,5_3,1.89189189189189,5_3_2,6,18,16
cell19,5_3,1.88513513513514,5_3_2,6,16,16
cell20,5_3,1.87837837837838,5_3_2,6,12,22
cell21,5_3,1.87162162162162,5_3_2,6,13,22
cell22,5_3,1.86486486486486,5_3_2,6,11,20
cell23,5_3,1.85810810810811,5_3_2,6,14,14
cell24,5_2,1.85135135135135,5_2_2,4,20,19
cell25,5_2,1.84459459459459,5_2_2,4,22,19
cell26,5_2,1.83783783783784,5_2_2,4,18,22
cell27,5_2,1.83108108108108,5_2_2,4,21,19
cell28,4_1,1.83164983164983,4_1_4,10,13,15
cell29,5_3,1.81756756756757,5_3_2,6,23,20
cell30,4_1,1.81818181818182,4_1_4,10,13,14
cell31,4_1,1.81144781144781,4_1_4,10,21,22
cell32,5_2,1.7972972972973,5_2_2,4,19,23
cell33,5_3,1.79054054054054,5_3_2,6,22,21
cell34,5_3,1.78378378378378,5_3_2,6,22,18
cell35,5_3,1.77702702702703,5_3_2,6,11,19
cell36,5_3,1.77027027027027,5_3_2,6,19,16
cell37,5_2,1.76351351351351,5_2_2,4,16,15
cell38,5_2,1.75675675675676,5_2_2,4,17,15
cell39,5_3,1.75,5_3_2,6,11,18
cell40,5_3,1.74324324324324,5_3_2,6,19,15
cell41,5_2,1.73648648648649,5_2_2,4,20,18
cell42,5_3,1.72972972972973,5_3_2,6,19,19
cell43,5_2,1.72297297297297,5_2_2,4,19,24
