,pop,depth,cell.type,cell.type.idx,x,y
cell1,5_3,2,5_3_2,6,15,15
cell2,5_2,2,5_2_2,4,21,19
cell3,4_1,1.97979797979798,4_1_4,10,19,10
cell4,4_1,1.97979797979798,4_1_4,10,12,10
cell5,4_1,1.97979797979798,4_1_4,10,12,16
cell6,5_2,1.97297297297297,5_2_2,4,22,19
cell7,4_1,1.97306397306397,4_1_4,10,12,15
cell8,4_1,1.96632996632997,4_1_4,10,12,17
cell9,4_1,1.95959595959596,4_1_4,10,20,10
cell10,4_1,1.95286195286195,4_1_4,10,12,14
cell11,5_2,1.93918918918919,5_2_2,4,22,20
cell12,5_2,1.93243243243243,5_2_2,4,19,11
cell13,4_1,1.93265993265993,4_1_4,10,15,16
cell14,5_2,1.91891891891892,5_2_2,4,23,19
cell15,4_1,1.91919191919192,4_1_4,10,15,17
cell16,5_2,1.90540540540541,5_2_2,4,14,15
cell17,5_3,1.89864864864865,5_3_2,6,23,18
cell18,5_2,1.89189189189189,5_2_2,4,21,20
cell19,5_3,1.88513513513514,5_3_2,6,22,18
cell20,5_2,1.87837837837838,5_2_2,4,14,14
cell21,5_2,1.87162162162162,5_2_2,4,21,18
cell22,4_1,1.87205387205387,4_1_4,10,22,17
cell23,4_1,1.86531986531987,4_1_4,10,11,16
cell24,5_2,1.85135135135135,5_2_2,4,20,18
cell25,4_1,1.85185185185185,4_1_4,10,13,17
cell26,5_3,1.83783783783784,5_3_2,6,16,15
cell27,5_3,1.83108108108108,5_3_2,6,20,20
cell28,5_3,1.82432432432432,5_3_2,6,24,18
cell29,5_3,1.81756756756757,5_3_2,6,20,21
cell30,5_3,1.81081081081081,5_3_2,6,21,21
cell31,5_3,1.80405405405405,5_3_2,6,25,18
cell32,5_2,1.7972972972973,5_2_2,4,20,19
cell33,5_2,1.79054054054054,5_2_2,4,19,18
cell34,5_2,1.78378378378378,5_2_2,4,21,17
cell35,4_1,1.78451178451178,4_1_4,10,11,10
cell36,4_1,1.77777777777778,4_1_4,10,19,9
cell37,4_1,1.77104377104377,4_1_4,10,13,16
cell38,5_2,1.75675675675676,5_2_2,4,18,11
cell39,5_2,1.75,5_2_2,4,18,18
cell40,5_3,1.74324324324324,5_3_2,6,23,17
cell41,5_2,1.73648648648649,5_2_2,4,18,12
cell42,4_1,1.73737373737374,4_1_4,10,11,14
cell43,5_2,1.72297297297297,5_2_2,4,15,18
cell44,5_3,1.71621621621622,5_3_2,6,10,10
cell45,5_2,1.70945945945946,5_2_2,4,15,14
cell46,5_2,1.7027027027027,5_2_2,4,16,14
cell47,5_3,1.69594594594595,5_3_2,6,22,21
cell48,5_2,1.68918918918919,5_2_2,4,17,11
cell49,5_2,1.68243243243243,5_2_2,4,17,10
cell50,4_1,1.68350168350168,4_1_4,10,22,16
cell51,4_1,1.67676767676768,4_1_4,10,16,10
cell52,4_1,1.67003367003367,4_1_4,10,20,9
cell53,5_3,1.65540540540541,5_3_2,6,10,9
cell54,5_3,1.64864864864865,5_3_2,6,24,17
cell55,5_2,1.64189189189189,5_2_2,4,23,20
cell56,5_2,1.63513513513514,5_2_2,4,13,14
cell57,5_2,1.62837837837838,5_2_2,4,14,16
cell58,5_2,1.62162162162162,5_2_2,4,17,9
cell59,4_1,1.62289562289562,4_1_4,10,16,11
cell60,4_1,1.61616161616162,4_1_4,10,23,16
cell61,4_1,1.60942760942761,4_1_4,10,11,9
cell62,5_3,1.59459459459459,5_3_2,6,19,21
cell63,5_2,1.58783783783784,5_2_2,4,16,13
cell64,5_2,1.58108108108108,5_2_2,4,16,9
cell65,4_1,1.58249158249158,4_1_4,10,15,9
cell66,4_1,1.57575757575758,4_1_4,10,23,15
cell67,5_2,1.56081081081081,5_2_2,4,11,17
cell68,5_3,1.55405405405405,5_3_2,6,10,11
