optimizer_seed	pearson_r	rmse	n_celltype_pairs
0	0.9455897891255218	0.005321724317724094	21
1	0.9525354756822723	0.009608798424044291	21
2	0.9106857572916489	0.008138202949342468	21
3	0.7365682053944644	0.011578681030016127	21
4	0.916331161891043	0.00973802752259984	21
5	0.9413775195095885	0.01000114489875238	21
6	0.9053283319030294	0.010596201716287973	21
7	0.9474573067719312	0.009936711699159618	21
8	0.9014432144956297	0.008267044944348547	21
9	0.9687351872101905	0.009033905900387456	21
