dataset	optimizer_seed	normalized_radius	centered_l
Xenium_reference	reference	0.0	0.0
Xenium_reference	reference	0.010416666666666666	-0.008229891693570586
Xenium_reference	reference	0.020833333333333332	-0.00329510075858859
Xenium_reference	reference	0.03125	-0.0010741411519133576
Xenium_reference	reference	0.041666666666666664	-0.0007841421551945393
Xenium_reference	reference	0.05208333333333333	-0.0009812153320533507
Xenium_reference	reference	0.0625	-0.00114194965327033
Xenium_reference	reference	0.07291666666666666	-0.0015862256960069987
Xenium_reference	reference	0.08333333333333333	-0.0022103612058653604
Xenium_reference	reference	0.09375	-0.0029111295373479007
Xenium_reference	reference	0.10416666666666666	-0.003766120528188463
Xenium_reference	reference	0.11458333333333333	-0.00465644267884123
Xenium_reference	reference	0.125	-0.005799247628596307
Xenium_reference	reference	0.13541666666666666	-0.006836481683027168
Xenium_reference	reference	0.14583333333333331	-0.008110745297645272
Xenium_reference	reference	0.15625	-0.009399025214640533
Xenium_reference	reference	0.16666666666666666	-0.01079334183413383
Xenium_reference	reference	0.17708333333333331	-0.012331511921939153
Xenium_reference	reference	0.1875	-0.01393678307590826
Xenium_reference	reference	0.19791666666666666	-0.015662470973185877
Xenium_reference	reference	0.20833333333333331	-0.017460602212224924
Xenium_reference	reference	0.21875	-0.019334547533624846
Xenium_reference	reference	0.22916666666666666	-0.02133210319910725
Xenium_reference	reference	0.23958333333333331	-0.023392083519831658
Xenium_reference	reference	0.25	-0.02559548820035959
SimSpace	0	0.0	0.0
SimSpace	0	0.010416666666666666	-0.0013952302787078163
SimSpace	0	0.020833333333333332	3.521066414537838e-05
SimSpace	0	0.03125	0.0006058851138296337
SimSpace	0	0.041666666666666664	0.000616356554733237
SimSpace	0	0.05208333333333333	0.0006414769453887414
SimSpace	0	0.0625	0.00030207160267872735
SimSpace	0	0.07291666666666666	-7.399230574263449e-05
SimSpace	0	0.08333333333333333	-0.0008000684630841137
SimSpace	0	0.09375	-0.0014337598293314158
SimSpace	0	0.10416666666666666	-0.0022919623961864116
SimSpace	0	0.11458333333333333	-0.0032075096866750336
SimSpace	0	0.125	-0.0043859583567324445
SimSpace	0	0.13541666666666666	-0.005568120894775902
SimSpace	0	0.14583333333333331	-0.006824996759787649
SimSpace	0	0.15625	-0.008159561507294188
SimSpace	0	0.16666666666666666	-0.00966299174989621
SimSpace	0	0.17708333333333331	-0.011174766401954223
SimSpace	0	0.1875	-0.012826807272551283
SimSpace	0	0.19791666666666666	-0.014534080897948748
SimSpace	0	0.20833333333333331	-0.01629104001751247
SimSpace	0	0.21875	-0.01819390089745701
SimSpace	0	0.22916666666666666	-0.020239837256482596
SimSpace	0	0.23958333333333331	-0.022337678816161555
SimSpace	0	0.25	-0.02452474395309817
SimSpace	1	0.0	0.0
SimSpace	1	0.010416666666666666	-0.001309446423947017
SimSpace	1	0.020833333333333332	4.01393041695175e-05
SimSpace	1	0.03125	0.0008924885154913825
SimSpace	1	0.041666666666666664	0.0011560358909072435
SimSpace	1	0.05208333333333333	0.0013100512224475044
SimSpace	1	0.0625	0.0011996998840285156
