optimizer_seed	pearson_r	rmse	n_radii
0	0.9887859585974286	0.001960342767295606	25
1	0.9914208298815471	0.0044916417873508505	25
2	0.990493130697327	0.003218210722647415	25
3	0.9897953568142139	0.0024574990876825506	25
4	0.9903703667085488	0.0026773715906857312	25
5	0.9890922005000564	0.0018586914000855632	25
6	0.9890788985554808	0.00248511089124089	25
7	0.9892411723349115	0.0019431621715430322	25
8	0.9900413967139637	0.002009107577888189	25
9	0.9895926091587233	0.002879188653924274	25
