gene	reference_mean_count	simulated_mean_count	reference_variance	simulated_variance	reference_zero_fraction	simulated_zero_fraction	reference_log1p_mean_count	simulated_log1p_mean_count	reference_log1p_variance	simulated_log1p_variance
ABCC11	2.9753937007874014	2.7542638357117997	12.140211563288709	12.108812767413832	0.2780511811023622	0.328576400974591	1.3801237874249856	1.3228922169178827	2.575677113633753	2.5732847343624203
ACTA2	1.8125	1.7918552036199096	8.990429591334317	8.417663444207767	0.359744094488189	0.37312913331012876	1.0340737675305385	1.026706322387635	2.3016275938714643	2.2425870158046024
ACTG2	1.7746062992125984	1.7365123564218587	3.14759708766094	3.149561230435706	0.2706692913385827	0.2822833275321963	1.0205088629756853	1.0066842470025161	1.4225291515272145	1.4230026010471957
ADAM9	1.9271653543307086	1.8061260006961364	3.649049961812381	3.5010488100235895	0.25393700787401574	0.292725374173338	1.0740344988816732	1.0318048846978216	1.5366628894376193	1.5043104385140698
ADGRE5	0.12549212598425197	0.1461886529759833	0.18759207674742281	0.21399748111075453	0.9030511811023622	0.888966237382527	0.11822038532440862	0.13644222339707474	0.17192779223433877	0.19391861776757122
AIF1	0.43208661417322836	0.4323007309432649	1.3090241027847884	1.2044159095294098	0.7849409448818898	0.7793247476505395	0.3591325514671657	0.35928205413188063	0.8368249689427305	0.7904625801708369
AKR1C1	0.056594488188976375	0.05429864253393665	0.06523467939845774	0.06529575618548256	0.9493110236220472	0.951618517229377	0.055050989180408516	0.05287575204794775	0.06319513112920093	0.06325246594687961
ANGPT2	0.06496062992125984	0.07309432648799165	0.15825957501250304	0.2592793145673822	0.9601377952755905	0.9578837452140619	0.06293783126799962	0.0705463689068608	0.14691851207302858	0.23053958475910818
ANKRD28	0.3361220472440945	0.33031674208144796	0.39755226082337936	0.3877191545141733	0.7362204724409449	0.7389488339714584	0.2897714236696633	0.2854170658209288	0.33472232128592394	0.3276615033651953
ANKRD29	0.08169291338582677	0.08214410024364775	0.11050663534118797	0.12068732323903174	0.9320866141732284	0.9342151061608075	0.07852732626519415	0.07894435107946425	0.10481633942786481	0.11394217854495814
ANKRD30A	7.798228346456693	7.2979463974939085	53.2059446686594	58.06161486202827	0.13385826771653545	0.15140967629655414	2.1745503769494254	2.1160080621999966	3.992790582664732	4.07858121867865
APOBEC3B	0.07923228346456693	0.08945353289244692	0.08382255163082458	0.09540753553156028	0.9261811023622047	0.916811695092238	0.07624993971951569	0.08567622455490935	0.08049419185997228	0.09112647259483554
APOC1	0.43996062992125984	0.4556213017751479	1.8634540604876384	1.7042450264541547	0.8125	0.8029933867037939	0.3646157728816971	0.3754328210092893	1.0520286095897275	0.9948227703675264
AQP1	0.4389763779527559	0.4813783501566307	2.9888887596583666	4.366035425394631	0.8459645669291339	0.8478941872607031	0.3639320121712966	0.3929729720421908	1.3835126857603892	1.6800893538069537
AR	1.5733267716535433	1.470936303515489	3.2511444170475734	3.292417542250537	0.3617125984251969	0.4006265227984685	0.945199525489758	0.9045971490600964	1.4471882212878564	1.4568501038788426
AVPR1A	0.10580708661417323	0.13261399234249913	0.3753084571038664	1.069106569957349	0.9458661417322834	0.9460494256874348	0.10057546348695666	0.12452822879969355	0.3186780383989511	0.7271169053911696
BACE2	0.36515748031496065	0.3752175426383571	0.490917355788429	0.5276864516141543	0.7322834645669292	0.7281587191089454	0.3112697921764044	0.31861193143210115	0.39939160553304615	0.42375446786435655
BASP1	1.1648622047244095	1.1079011486251304	1.8374057909489527	1.6861248760188754	0.3922244094488189	0.40271493212669685	0.7723567126503472	0.7456927361379951	1.0428901808286597	0.9880995884644607
BTNL9	0.1343503937007874	0.16394013226592413	0.5191148904577475	0.8251337735733809	0.937992125984252	0.9293421510616081	0.1260601467323764	0.1518109152253027	0.4181278563411295	0.6016532849362519
C1QA	0.16830708661417323	0.16637660981552385	0.35767551766516636	0.3211949792855779	0.8941929133858267	0.8854855551688131	0.15555576647124084	0.15390202875802086	0.30577405924907336	0.2785366144103969
C1QC	0.266240157480315	0.2631395753567699	0.8118976242260707	0.6939646521693182	0.8646653543307087	0.8565958927949878	0.23605200358337167	0.23360034823378076	0.5943747072531878	0.5270717295241487
C2orf42	0.1264763779527559	0.13261399234249913	0.15090870057417122	0.14501186243645814	0.889763779527559	0.8809606682909851	0.11909451125419418	0.12452822879969355	0.14055180476403836	0.13541499715905006
C6orf132	0.2937992125984252	0.27184128089105464	0.36317177256461847	0.3442520750780245	0.7682086614173228	0.788722589627567	0.2575830160315087	0.24046567795866247	0.30981417013308826	0.29583778037618147
CAV1	0.6860236220472441	0.7542638357117996	5.7910797985554625	5.966751486076785	0.8139763779527559	0.805777932474765	0.5223728701856927	0.5620493020861248	1.9156099566966116	1.9411490452634859
CAVIN2	0.08316929133858268	0.09084580577793247	0.20824440657990131	0.2142372021907937	0.9537401574803149	0.9463974939088061	0.07989127282808917	0.08695336393667658	0.18916840237575186	0.1941160625058961
CCDC6	2.21751968503937	2.0675252349460496	4.491312801187887	4.526775802374814	0.2298228346456693	0.26522798468499825	1.1686107785857833	1.120871124120371	1.7031673528348314	1.7096046079565188
CCDC80	0.6692913385826772	0.6369648451096415	3.289888616212486	2.9263072191676027	0.7426181102362205	0.7473024712843718	0.5123991882134212	0.4928438229657584	1.4562607690160327	1.3676993452551611
CCL5	0.17864173228346455	0.342847198050818	0.6637878144663232	1.4802560967687828	0.9207677165354331	0.8746954403063001	0.1643627011466431	0.29479213448638486	0.5090968189234863	0.9083618196715678
CCL8	0.05167322834645669	0.06091193873999304	0.16719562334988777	0.199282872813545	0.9704724409448819	0.9676296554124608	0.05038244662077511	0.05912885782724734	0.15460396851917546	0.18172377216760977
CCND1	9.38533464566929	8.981552384267317	45.19019348716935	46.3732668093197	0.0344488188976378	0.04907761921336582	2.34039468075394	2.3007386277525828	3.832767513374406	3.858058078233513
CCPG1	0.6181102362204725	0.6091193873999304	0.8142065698213131	0.7945825459784545	0.5816929133858267	0.5861468847894187	0.48125894747769804	0.4756870650089359	0.59564822052459	0.5847724299783188
CD14	0.3671259842519685	0.3672119735468152	1.63964747205713	1.5694956016393142	0.8302165354330708	0.8197006613296206	0.3127107146159166	0.31277361049506697	0.9706453749301651	0.9437096156912641
