layout_seed	method_seed	domain_fold_change	adjusted_rand_index	normalized_mutual_information	produced_cluster_count	n_locations	n_genes	wall_time_seconds
0	100000	1.0	0.00014365650618339463	0.004696707264807974	4	3000	2000	0.6617140839807689
0	100000	1.2	0.003829323943508594	0.005413369547713444	4	3000	2000	0.6246050419285893
0	100000	1.4	-0.0014869347158894969	0.004682273430399929	4	3000	2000	0.625142625067383
0	100000	1.6	0.0028201074020511472	0.0035684748947697915	4	3000	2000	0.6191556248813868
0	100000	1.8	0.001250439060236542	0.00576675385287604	4	3000	2000	0.6203694159630686
0	100000	2.0	0.002295433863455255	0.006625731126506963	4	3000	2000	0.6380912500899285
0	100000	2.2	1.0	1.0	4	3000	2000	0.635145999956876
1	100001	1.0	-0.006843182245379094	0.0044642582673190805	4	3000	2000	0.617825583089143
1	100001	1.2	-0.005556483074348098	0.006985637375980404	4	3000	2000	0.6118718339130282
1	100001	1.4	-0.0035911047294399337	0.004279704075510251	4	3000	2000	0.6209663329645991
1	100001	1.6	0.008753081822899697	0.008159555996292549	4	3000	2000	0.6453464168589562
1	100001	1.8	9.430058135514797e-05	0.005531201366774961	4	3000	2000	0.6295972908847034
1	100001	2.0	0.0007588816921834774	0.005425267026088091	4	3000	2000	0.6506050829775631
1	100001	2.2	1.0	1.0	4	3000	2000	0.6467778328806162
2	100002	1.0	-0.0034470127510125735	0.0027373287260612435	4	3000	2000	0.6177124169189483
2	100002	1.2	0.0013536514012260214	0.007877512443500982	4	3000	2000	0.6275877091102302
2	100002	1.4	-0.0012185735973892504	0.004680286229891959	4	3000	2000	0.6261233340483159
2	100002	1.6	0.0013536514012260214	0.007877512443500982	4	3000	2000	0.622825917089358
2	100002	1.8	0.001743472621114196	0.004759601777493674	4	3000	2000	0.6334116659127176
2	100002	2.0	-0.003607337632601475	0.004967563980704956	4	3000	2000	0.6423345420043916
2	100002	2.2	0.6898679957953429	0.7140264324204121	4	3000	2000	0.6341894168872386
