Gene,C,Z,Pval,FDR
CCL5,0.10703988053170682,105.55147,0.0,0.0
CXCR4,0.08819982250993821,53.667046,0.0,0.0
CD8A,0.04966202276803506,51.029423,0.0,0.0
GZMA,0.050913327854818884,47.07074,0.0,0.0
CD3E,0.04649777727036884,45.574127,0.0,0.0
PTPRC,0.0600053771700092,43.591953,0.0,0.0
IL2RG,0.051661579072605254,43.512135,0.0,0.0
CD3G,0.05579010682343257,39.599373,0.0,0.0
TRAC,0.04189615884661057,31.944887,3.1810926460671715e-224,7.740658772096784e-223
CYTIP,0.043602525780314,28.327936,7.826757235161994e-177,1.7140598345004768e-175
IL7R,0.03256658922168865,27.011438,5.423458447925575e-161,1.0797612728142735e-159
ITM2C,0.05184807904422533,26.402262,6.453188347934658e-154,1.1777068734980752e-152
CD247,0.03865114923636554,24.892994,4.430232921572505e-137,7.463238537110605e-136
PRDM1,0.03800360443921032,20.992676,3.825741565844607e-98,5.984552877999779e-97
EPCAM,0.054772786588890225,17.520493,4.997813237772198e-69,7.296807327147409e-68
CD69,0.019409775820481263,16.764063,2.2350319388494856e-63,3.0591999663002336e-62
LPXN,0.03674699191856224,16.750837,2.791742112833913e-63,3.5964207218272175e-62
KRT7,0.048482148892743056,16.125607,8.429783098169433e-59,1.025623610277281e-57
FOXA1,0.050283715743361136,15.864864,5.54784804169599e-57,6.394624848060116e-56
S100A4,0.028183296904500915,15.436636,4.640835266645628e-54,5.081714616976963e-53
CD3D,0.01993938181802499,13.900969,3.1244991936505073e-44,3.258406301949815e-43
SLAMF7,0.036191113484327436,13.741142,2.8780208193663026e-43,2.8649389065510013e-42
LUM,0.03394713140164948,12.797641,8.450400812477966e-38,8.046251208402933e-37
LDHB,0.02985437142268528,12.514263,3.119204740101978e-36,2.846274325343055e-35
ANKRD30A,0.041387513304796696,12.124314,3.9257297028492515e-34,3.438939219695945e-33
FASN,0.0380280558463556,11.959411,2.8985941299547345e-33,2.4415081325387958e-32
MZB1,0.024846162541325097,11.455549,1.1028034814092693e-30,8.944961571430741e-30
MLPH,0.0392750109479329,11.25144,1.1392070871203716e-29,8.910226859977193e-29
KLRB1,0.016939708481210472,11.148021,3.660842328767371e-29,2.7645671379312217e-28
ZEB2,0.024306088565128586,11.074798,8.312766819681468e-29,6.068319778367472e-28
ERBB2,0.030221607398721952,10.493243,4.6393824707345335e-26,3.277499229325364e-25
CD8B,0.011905295733747188,9.970315,1.0278792116090088e-23,7.034548354449155e-23
GATA3,0.03256773093181223,9.772255,7.405903281679405e-23,4.914826723296333e-22
ACTA2,0.02327137402940239,9.645274,2.573673231911127e-22,1.6577483464368731e-21
CAV1,0.02185051529872512,9.446977,1.7437925510964385e-21,1.0911159105432002e-20
ZEB1,0.021815044343998346,9.405713,2.583929195101175e-21,1.5718902603532147e-20
TENT5C,0.026205533114484345,9.322058,5.705275098388328e-21,3.376906071748767e-20
CLEC14A,0.017549527522035053,9.156383,2.6833073523227872e-20,1.5464323951544486e-19
ERN1,0.021922239861572115,8.988095,1.2577595386552972e-19,7.062803563218207e-19
SCD,0.025853705747320863,8.31593,4.551763142447331e-17,2.492090320489914e-16
GLIPR1,0.016620771150317966,8.144202,1.908953310403805e-16,1.0196604267766666e-15
ADGRE5,0.014689985947451599,8.10879,2.556307555908712e-16,1.3329317970095427e-15
TACSTD2,0.028738070533954083,8.088075,3.0307618081356644e-16,1.5435740371667686e-15
CD93,0.01793674497506029,7.974202,7.668416397238764e-16,3.8167799795347484e-15
CXCL12,0.019912222939927084,7.862381,1.884498132836601e-15,9.171224246471459e-15
TCF4,0.01770445863957445,7.4670296,4.10126699861317e-14,1.952559723252792e-13
KRT8,0.022345839506875912,7.2664337,1.845511001923269e-13,8.599295945131828e-13
ANGPT2,0.013371819988037421,7.0659776,7.974458724426578e-13,3.638346793019627e-12
CCDC80,0.015280281609209788,6.9045963,2.517319224577279e-12,1.1250875718008657e-11
SLAMF1,0.01152815622332858,6.696999,1.0637148527090094e-11,4.659071054865461e-11
SELL,0.012061832017583863,6.6583633,1.3844678721901904e-11,5.945067921757877e-11
RAMP2,0.014130222495582895,6.6355786,1.616159988268377e-11,6.80651995059182e-11
CCND1,0.020732048261339835,6.5750523,2.4318041113971148e-11,1.0048398120678644e-10
CD9,0.021742994963505166,6.5458913,2.957079657431472e-11,1.1992600832916527e-10
PDGFRB,0.01611525722065072,6.4185815,6.877498814564709e-11,2.7384949825266754e-10
MYLK,0.015339510418735727,6.361751,9.97332576969703e-11,3.9002827563636604e-10
MYO5B,0.02042145170891582,6.294689,1.540082110174013e-10,5.917157581194892e-10
MMP2,0.015750563738387686,6.2782235,1.7123168015289873e-10,6.465472060945659e-10
IGF1,0.014535026271725393,6.257821,1.9519665997622207e-10,7.245435344880108e-10
SERPINB9,0.014802137470338194,6.116165,4.792699091096175e-10,1.7493351682501038e-09
VWF,0.014809891323373877,6.009981,9.277244650714296e-10,3.330682915584313e-09
KDR,0.012378381932108317,5.881901,2.027907224259492e-09,7.16309164698111e-09
BTNL9,0.009241989418632848,5.8768563,2.0906540163417893e-09,7.2675115806166965e-09
PECAM1,0.017917546977705156,5.858753,2.3317757260447207e-09,7.979045062559279e-09
PTGDS,0.011383795339146347,5.844175,2.5454265457129298e-09,8.576129438632794e-09
