Gene,C,Z,Pval,FDR
LUM,0.15034436624315398,59.47051,0.0,0.0
CLEC14A,0.1002833570629409,52.54066,0.0,0.0
KDR,0.09481886627206877,47.617615,0.0,0.0
RAMP2,0.09894304954572522,47.414963,0.0,0.0
VWF,0.1103394550077352,45.387344,0.0,0.0
CD93,0.09853879844373181,44.796173,0.0,0.0
MMP2,0.09098711669278743,37.8798,0.0,0.0
CCDC80,0.08202689780074757,37.610085,7.35391665762507e-310,2.0131346850248625e-308
MMRN2,0.07961362559761369,36.641186,3.1610855054933645e-294,7.691974730033855e-293
CAV1,0.08527828033018287,35.500744,2.3935893804598694e-276,5.2419607432071143e-275
PDGFRA,0.07921886368907934,32.403366,1.2304173959467267e-230,2.4496491792030286e-229
PECAM1,0.08862300187807536,31.880363,2.498718855471261e-223,4.5601619112350513e-222
NOSTRIN,0.06281988367290929,29.917093,5.897600316678831e-197,9.935188225789723e-196
TOP2A,0.09177546909683838,28.736834,6.615130425400429e-182,1.034795402259067e-180
CAVIN2,0.06391597612937648,26.949469,2.893339380825713e-160,4.2242754960055415e-159
LYZ,0.05294726274645211,26.872414,2.307820744962823e-159,3.1588296446678642e-158
FCER1G,0.06753304434443451,26.572157,7.122789454397892e-156,9.175828767724343e-155
HOXD9,0.052794953686097754,25.847382,1.3018704094815825e-147,1.5839423315359255e-146
FBLN1,0.05618925606741325,25.748259,1.6857407954998183e-146,1.9430380748129484e-145
POSTN,0.09285595063817109,25.567999,1.731807944232679e-144,1.8963296989347836e-143
IGF1,0.05158203496029368,23.95024,4.593653795482368e-127,4.790524672431613e-126
BTNL9,0.03699453141514504,23.639805,7.513588174255754e-124,7.47943550073641e-123
AQP1,0.05511526845079256,23.597483,2.045220415225042e-123,1.9474055258012357e-122
CD68,0.05874672637848189,22.389107,2.512797414264226e-111,2.2929276405161065e-110
CTLA4,0.03237528017650065,22.018007,9.679559704056994e-108,8.479294300753927e-107
IL3RA,0.04956608441293418,21.406693,5.787062909213412e-102,4.87448760429899e-101
EPCAM,0.065630524104943,21.223106,2.92165429723097e-100,2.3697862633095646e-99
CD14,0.04755311421332083,21.170105,9.007785980191792e-100,7.045375463078581e-99
PTPRC,0.026444166602327686,21.009783,2.6689180499882926e-98,2.0154932860256417e-97
CD4,0.046452625521025644,20.898304,2.774071254160042e-97,2.025072015536831e-96
ZEB2,0.04486719662694158,19.654795,2.6300658734138835e-86,1.8580142783149695e-85
FGL2,0.0415176119955838,19.17895,2.774515683550851e-82,1.8988091709301138e-81
CXCL12,0.042774517539252474,19.069,2.2847884414110066e-81,1.5162686929363953e-80
FOXA1,0.05873091534634139,18.665201,4.750833678363936e-78,3.0600958104755943e-77
AIF1,0.04370015995771718,18.518948,7.262427837235426e-77,4.5442048467273096e-76
CENPF,0.0759991760765189,18.377945,9.865144930289442e-76,6.001296499259411e-75
GLIPR1,0.03863959606003073,18.206604,2.287283654877009e-74,1.3538246497785541e-73
RUNX1,0.04878196017030629,17.67078,3.520813842272375e-70,2.0291006090990793e-69
EGFL7,0.04225900829544868,17.099928,7.429399982869272e-66,4.171893836534284e-65
PTGDS,0.031853530834915766,16.618916,2.5422004387618205e-62,1.3918547402220968e-61
CD163,0.040258158634117955,16.040781,3.315754919570608e-58,1.771098359477959e-57
ANKRD30A,0.057039519923387474,15.993574,7.083237035750903e-58,3.693402168641543e-57
C1QC,0.03564326430694647,15.676551,1.094090612818462e-55,5.572228935052167e-55
PPARG,0.03789761629300411,15.554398,7.427317002426757e-55,3.696778235298772e-54
KRT7,0.04535302352987207,15.244584,8.943415091666306e-53,4.352462011277602e-52
DPT,0.03078586611058665,14.869806,2.588144614521081e-50,1.2321818925654712e-49
TCF4,0.03672905021570683,14.774149,1.07528264661829e-49,5.010359566157564e-49
MLPH,0.0525827969482305,14.401367,2.536498090308552e-47,1.1572772537032769e-46
CRISPLD2,0.03439536618485876,14.375336,3.6955405925967436e-47,1.6516803873034426e-46
FCGR3A,0.0321990257025262,14.373297,3.8059892620274877e-47,1.6670232967680397e-46
PDGFRB,0.033775467953457976,14.340751,6.086576012196644e-47,2.613647346413853e-46
MKI67,0.05123983049352177,14.316671,8.608721874264234e-47,3.6255963278151295e-46
CYTIP,0.020958842567266163,14.041043,4.3708095319183674e-45,1.8060514858304199e-44
C1QA,0.02876246245815942,14.028309,5.2308300200542485e-45,2.1213921747997787e-44
HOXD8,0.03550952286532835,14.000651,7.722432999635184e-45,3.07493241258201e-44
ITGAX,0.03306656023622054,13.9663515,1.2505766887744197e-44,4.890648122171392e-44
EGFR,0.03175195915928786,13.877688,4.32442312696503e-44,1.6614888856234063e-43
CD83,0.02997825142604322,13.533637,4.9500820751026783e-42,1.8690827145646322e-41
BASP1,0.036845819413023326,13.194066,4.746200669947269e-40,1.761725333421105e-39
IL7R,0.01667314319963761,12.519378,2.9245965802934555e-36,1.0674777518071112e-35
GPR183,0.02349244516392289,12.38665,1.5433502375503268e-35,5.540880361041338e-35
