software	version
Python	3.11.9
h5py	3.14.0
NumPy	2.3.3
pandas	3.0.0
SciPy	1.16.2
matplotlib	3.10.8
platform	macOS-26.5.2-arm64-arm-64bit
python_executable	/Users/zhaotianxiao/mambaforge/envs/simspace-repro/bin/python
