col,row,B_Cells,CD4+_T_Cells,CD8+_T_Cells,DCIS_2,Endothelial,IRF7+_DCs,Invasive_Tumor,Macrophages_1,Macrophages_2,Myoepi_ACTA2+,Myoepi_KRT15+,Perivascular-Like,Stromal,Stromal_&_T_Cell_Hybrid
115,25,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.16216216216216217,0.0,0.0,0.0,0.02702702702702703,0.0,0.02702702702702703,0.0,0.0,0.6216216216216216,0.02702702702702703
115,35,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.17857142857142858,0.0,0.0,0.0,0.10714285714285714,0.0,0.03571428571428571,0.0,0.0,0.5357142857142857,0.0
115,45,0.0,0.03225806451612903,0.06451612903225806,0.16129032258064516,0.0,0.0,0.0,0.0967741935483871,0.0,0.03225806451612903,0.0,0.0,0.6129032258064516,0.0
115,55,0.0,0.02857142857142857,0.08571428571428572,0.17142857142857143,0.0,0.0,0.0,0.08571428571428572,0.0,0.02857142857142857,0.0,0.0,0.5714285714285714,0.02857142857142857
115,65,0.05128205128205128,0.1282051282051282,0.10256410256410256,0.05128205128205128,0.0,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.0,0.6153846153846154,0.0
115,75,0.0625,0.0,0.125,0.25,0.0625,0.0,0.03125,0.0625,0.0,0.0,0.0,0.0,0.40625,0.0
115,85,0.0,0.03571428571428571,0.07142857142857142,0.21428571428571427,0.0,0.0,0.03571428571428571,0.17857142857142858,0.0,0.0,0.0,0.0,0.4642857142857143,0.0
115,95,0.0,0.11428571428571428,0.05714285714285714,0.22857142857142856,0.0,0.0,0.0,0.05714285714285714,0.0,0.02857142857142857,0.0,0.02857142857142857,0.4857142857142857,0.0
115,105,0.0,0.05263157894736842,0.02631578947368421,0.15789473684210525,0.02631578947368421,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.6842105263157895,0.0
115,115,0.0,0.03571428571428571,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.0,0.0,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0,0.6071428571428571,0.03571428571428571
115,125,0.0,0.0625,0.03125,0.21875,0.0,0.03125,0.03125,0.03125,0.0,0.0,0.0,0.0,0.59375,0.0
115,135,0.04,0.04,0.0,0.12,0.0,0.0,0.04,0.12,0.0,0.0,0.0,0.0,0.64,0.0
115,145,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.4,0.04
125,5,0.0,0.15625,0.0,0.25,0.03125,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.5,0.0
125,15,0.0,0.0,0.075,0.375,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.4,0.0
125,25,0.0,0.0,0.12,0.24,0.0,0.0,0.0,0.28,0.0,0.0,0.04,0.0,0.32,0.0
125,35,0.0,0.03333333333333333,0.13333333333333333,0.2,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.5,0.0
125,45,0.03225806451612903,0.0,0.0,0.3548387096774194,0.03225806451612903,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.4838709677419355,0.0
125,55,0.0,0.0,0.07407407407407407,0.14814814814814814,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.6666666666666666,0.037037037037037035
125,65,0.03225806451612903,0.0,0.12903225806451613,0.0967741935483871,0.0,0.0,0.0,0.12903225806451613,0.0,0.12903225806451613,0.0,0.0,0.4838709677419355,0.0
125,75,0.07692307692307693,0.0,0.07692307692307693,0.4230769230769231,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.34615384615384615,0.0
125,85,0.023255813953488372,0.0,0.16279069767441862,0.13953488372093023,0.0,0.0,0.023255813953488372,0.20930232558139536,0.0,0.023255813953488372,0.0,0.0,0.4186046511627907,0.0
125,95,0.10344827586206896,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.13793103448275862,0.0,0.13793103448275862,0.0,0.0,0.4827586206896552,0.0
