Gene,C,Z,Pval,FDR
CTTN,0.09522004595188717,17.027533,2.5661540352059323e-65,6.564580090061687e-65
LRRC15,0.08262452263876241,16.831356,7.18856342009e-64,1.8177976464595402e-63
ERN1,0.060807427360725745,16.176775,3.6773615364760137e-59,9.193403841190033e-59
SERHL2,0.09482334850905587,15.656972,1.4886977442646694e-55,3.6799270082946885e-55
CD14,0.0688376489941121,15.58478,4.619060878579147e-55,1.129103770319347e-54
EDNRB,0.056800561619777375,15.471531,2.700361216785282e-54,6.528345798821561e-54
C1QA,0.06999099501148821,15.444864,4.084971262305099e-54,9.768409540294803e-54
APOC1,0.060352669148226235,14.829569,4.716844714011426e-50,1.1158127280457137e-49
MRC1,0.06534931234768235,14.828608,4.7848735093146215e-50,1.1198640128183158e-49
IGF1,0.06258173467120773,14.551945,2.83830114057212e-48,6.572907904482805e-48
TENT5C,0.060591970591661146,14.13709,1.1218659777782312e-45,2.57094286574178e-45
MYO5B,0.07876316413699805,14.124807,1.3356467048158314e-45,3.029301804736937e-45
MMP1,0.0809923207119999,13.992022,8.719182418529475e-45,1.9573674817106985e-44
DPT,0.0508791617640308,13.705317,4.717745897604901e-43,1.0483879772455336e-42
BASP1,0.06887421274762506,13.269568,1.7378831556386318e-40,3.8233429424049906e-40
AVPR1A,0.048798262272764556,13.192893,4.820648980442512e-40,1.0500423521755966e-39
PIM1,0.054791514364017274,12.867168,3.4440668449631717e-38,7.42837946952841e-38
ELF3,0.07520679261432117,12.693317,3.2199560120148597e-37,6.877575947992904e-37
FBLIM1,0.05038897617472727,12.482284,4.6636310170772774e-36,9.865373305355779e-36
HOXD8,0.05601954736593498,12.32229,3.4357265101520987e-35,7.198665068890111e-35
AR,0.0667290422414981,11.631011,1.4334092902747521e-31,2.9750004137777875e-31
EGFR,0.04552764494539442,11.580244,2.594904353428527e-31,5.335317362189494e-31
MDM2,0.06263648364864523,11.550109,3.6863475401751497e-31,7.476583597864519e-31
FCGR3A,0.046723060843168365,11.549691,3.7043073280328754e-31,7.476583597864519e-31
FLNB,0.05717177171019185,11.1083765,5.710858840635034e-29,1.1421717681270068e-28
DSP,0.061613858526704236,11.0714855,8.625840418658979e-29,1.7096260289234012e-28
