Gene,C,Z,Pval,FDR
CD3E,0.09142326596287664,72.882744,0.0,0.0
LUM,0.24943643325714973,68.37256,0.0,0.0
CCL5,0.08313502372408954,63.185272,0.0,0.0
PTPRC,0.09525652823469809,53.139954,0.0,0.0
CCDC80,0.1386766141497866,43.462128,0.0,0.0
CD3G,0.06575254072105927,40.21896,0.0,0.0
EPCAM,0.1633269767308003,37.873978,0.0,0.0
TRAC,0.06090564296741053,37.087406,2.241899544229237e-301,6.137200002327536e-300
CXCL12,0.12398168247664804,35.95705,1.9636631090161858e-283,4.778246898606052e-282
CXCR4,0.06481786039617804,35.648674,1.2352095620465078e-278,2.705108940881852e-277
MMP2,0.12080983094488831,35.620808,3.3368660453927374e-278,6.643396944918269e-277
IL2RG,0.053406324293247064,32.516964,3.069838766232903e-232,5.602455748375048e-231
KRT7,0.12896541955469207,31.798788,3.363815934580729e-222,5.666736074409075e-221
PDGFRA,0.12170088104366586,31.765295,9.763051798247461e-222,1.5272202455829958e-220
PDGFRB,0.09858953124332226,31.640524,5.119056587140766e-220,7.473822617225518e-219
POSTN,0.1676383070623086,31.18212,9.310255317257858e-214,1.2743411965496694e-212
CLEC14A,0.08321237668933315,29.19206,1.222881285676242e-187,1.5753588327241003e-186
FOXA1,0.12487373368961462,27.789806,2.88031124005827e-170,3.5043786754042283e-169
CD8B,0.03583846241572733,27.252989,7.658467873864084e-164,8.827391917769655e-163
FBLN1,0.08490997468648123,25.984335,3.722664048845914e-149,4.076317133486276e-148
FASN,0.10737619973518611,25.299362,1.623136951889118e-141,1.6926999641129376e-140
VWF,0.08250186395546918,25.043581,1.025442008491377e-138,1.0207809084527799e-137
TOP2A,0.11342901285093358,25.039154,1.1458617917089096e-138,1.0910597060184835e-137
CRISPLD2,0.08213220122632647,24.75401,1.4034721969916937e-135,1.2806683797549205e-134
GATA3,0.1140987241166974,24.541447,2.6686139440264057e-133,2.3377058149671316e-132
ANKRD30A,0.11695554488107791,23.891418,1.8805825306942626e-126,1.5840291316232444e-125
MLPH,0.11089814319293127,23.44876,6.805040336324298e-122,5.519643828351931e-121
LDHB,0.07374725050328564,23.341768,8.353773975745668e-121,6.533844645315362e-120
ACTA2,0.07119786308155394,23.304197,2.009729317678319e-120,1.5176921399019028e-119
CD93,0.07117410466459823,23.164957,5.137540462208815e-119,3.750404537412435e-118
IL7R,0.03694201183529053,23.090122,2.9094337431678247e-118,2.0553741604959794e-117
GZMA,0.035257495585989417,22.849367,7.413577863341819e-116,5.073667350224558e-115
RAMP2,0.06449587946457842,22.746044,7.852012900983697e-115,5.2108812888346354e-114
DPT,0.06108648679710911,22.135925,7.127852072655401e-109,4.591175305622155e-108
ZEB1,0.06826521346451656,22.091808,1.8946017218828496e-108,1.1854793631209831e-107
CD9,0.10038887992566252,22.087894,2.0660573278442546e-108,1.256851541105255e-107
ERBB2,0.08610415875069202,22.018894,9.491984999083612e-108,5.618228958917057e-107
CAV1,0.06855452802365872,21.4234,4.043203943204928e-102,2.330162272531261e-101
SCD,0.08825784209722454,20.997622,3.4476090116829045e-98,1.9359650604065542e-97
KDR,0.06524994564755565,20.735964,8.206698395320638e-96,4.493167371438049e-95
S100A4,0.04658372406606423,20.714699,1.276486923029255e-95,6.818308198619679e-95
PECAM1,0.07851309911487023,20.648558,5.028899772308354e-95,2.622212024132213e-94
RUNX1,0.07507936802848668,20.452444,2.856970736548212e-93,1.4550618402419963e-92
CENPF,0.10565906098195212,18.699923,2.478833023578124e-78,1.233782800371839e-77
CD247,0.038886080959905936,18.366707,1.2134904225275307e-75,5.905653389633983e-75
TACSTD2,0.08937338078613224,18.098911,1.625144587186188e-73,7.737101404212504e-73
MKI67,0.08965285649324749,17.856203,1.2932336612502926e-71,6.025918549230087e-71
ITM2C,0.034835731556560647,17.714926,1.6082577046697834e-70,7.337675777555887e-70
IGF1,0.05190854251792464,17.538818,3.6208785278726234e-69,1.6183110155185808e-68
CCND1,0.06621529085034897,16.03054,3.909983394738834e-58,1.7125727268956094e-57
MMRN2,0.047706332828089094,15.850268,6.999090298804685e-57,3.0054917165455413e-56
KRT8,0.06621645474467865,15.767212,2.615422202300681e-56,1.1014951198150946e-55
