Gene,C,Z,Pval,FDR
LUM,0.15797755670321745,41.322865,0.0,0.0
EPCAM,0.11858142986408593,26.237299,4.99000874913998e-152,5.464059580308278e-150
CXCL12,0.08131019160976928,25.622726,4.258204978184084e-145,3.1084896340743814e-143
ANKRD30A,0.12227887573843935,24.679785,8.815761279150799e-135,4.826629300335063e-133
ZEB2,0.08016444659231664,24.202868,1.0376615144181888e-129,4.544957433151667e-128
MMP2,0.08032252073656118,23.751066,5.356082104596328e-125,1.95496996817766e-123
CCDC80,0.0744652920298036,22.698242,2.3313412740426485e-114,7.293767700219144e-113
KRT7,0.09657985815925671,22.329517,9.548927486993491e-111,2.614018899564468e-109
MLPH,0.11272509334530742,22.094978,1.76619831025825e-108,4.2977492216284085e-107
FOXA1,0.10027863619153905,21.55758,2.247480943652715e-103,4.921983266599446e-102
FASN,0.09388406376131471,20.60813,1.160130934880982e-94,2.30971522489941e-93
ERBB2,0.08099501400437946,20.469673,2.00651340898149e-93,3.661886971391219e-92
GATA3,0.09699349318044868,19.744331,4.487244357737437e-87,7.559280879573068e-86
PDGFRB,0.06627965161927768,19.169931,3.2997873466163e-82,5.1618102064926405e-81
POSTN,0.09601580578987767,18.758604,8.23337827988541e-79,1.2020732288632699e-77
SCD,0.0755036299290189,17.964989,1.8317630215481536e-72,2.5072256357440355e-71
LDHB,0.058864104080345564,17.469055,1.2327185321145518e-68,1.5880315207828638e-67
FCER1G,0.055825819400817434,17.150003,3.14243769255959e-66,3.823299192614168e-65
PDGFRA,0.05987120487292546,17.10012,7.404883560323206e-66,8.535102630056749e-65
CCL5,0.02445743111881234,16.492174,2.0882339449219242e-61,2.2866161696895072e-60
TACSTD2,0.08140324423109778,16.277819,7.091763992550064e-60,7.3956967350879245e-59
CD68,0.06011710029984928,16.060402,2.4170437930766173e-58,2.4060572303808145e-57
IGF1,0.04568918013817096,15.679344,1.0470255979137781e-55,9.969504606222496e-55
PDK4,0.04926655183593438,15.3225975,2.7007532729936774e-53,2.464437361606731e-52
ITGAX,0.04045911111693661,14.316218,8.665004852037453e-47,7.59054425038481e-46
PTPRC,0.02423565361350994,14.157366,8.409054366417542e-46,7.083011177867083e-45
CD3E,0.021143501136175673,13.933791,1.9741435343163792e-44,1.6012497556121743e-43
TCF4,0.04436061989065869,13.256699,2.063331169774327e-40,1.613819736359206e-39
KRT8,0.05770216954645371,12.783023,1.0199219982537678e-37,7.702169573019833e-37
EGFR,0.045432219270830285,12.451134,6.893632048716746e-36,5.032351395563225e-35
RUNX1,0.05095100113352792,12.309736,4.014256036636902e-35,2.83587765168865e-34
CLEC14A,0.03359546921149957,12.243906,9.055128367893938e-35,6.197103476777414e-34
GLIPR1,0.028484159763390637,12.139265,3.2705452233012664e-34,2.1704527390999315e-33
FGL2,0.037110003266522765,12.03355,1.1837821779934053e-33,7.624949911192818e-33
CXCR4,0.021955770195449878,11.288173,7.50626105448271e-30,4.678316664473896e-29
ZEB1,0.03787437278045864,11.286042,7.690383558039281e-30,4.678316664473896e-29
FBLN1,0.042400198393910904,10.874532,7.621823670052326e-28,4.511295631733674e-27
EDNRB,0.02983957118194083,10.695056,5.36774148696315e-27,3.0935141727498156e-26
CD163,0.030261307980362844,10.669755,7.04988451392362e-27,3.958781303972495e-26
CDH1,0.055901493368281395,10.62684,1.1178012691853008e-26,6.119961948789522e-26
ACTA2,0.03595736376409188,10.385753,1.439447299068423e-25,7.688755085267918e-25
CD9,0.052205830752542336,10.345399,2.19541937423219e-25,1.1447543879924991e-24
CAV1,0.03848739450919529,10.022078,6.095643935740844e-24,3.104525632388942e-23
CRISPLD2,0.03144347169256493,9.886595,2.3797117161019262e-23,1.1844474223325498e-22
LYZ,0.03016075210057129,9.668201,2.0577343315181422e-22,1.001430708005496e-21
ELF3,0.04531038270922096,9.613993,3.4894535764655526e-22,1.6612833331433827e-21
TPD52,0.04552154183047038,9.574157,5.134592650609589e-22,2.3925016818797873e-21
CD93,0.025149474932903124,9.403159,2.64744571902854e-21,1.2078971093067714e-20
LPL,0.021927417353711048,9.109742,4.128899263383483e-20,1.8453651809815975e-19
