seed	basis	basis_label	GeneID	Gene	is_direct	direction	configured_strength	coefficient_row	coefficient_col	latent_strength	observed_strength	n_cells
0	linear	Linear	40	Gene_40	True	Vertical	-0.25	-0.0	-0.25	-0.2500000000000001	-0.2581808544029781	1604
0	linear	Linear	41	Gene_41	True	Vertical	-0.25	-0.0	-0.25	-0.2500000000000001	-0.2888024949014467	1604
0	linear	Linear	42	Gene_42	True	Vertical	-0.25	-0.0	-0.25	-0.2500000000000001	-0.23492339137193347	1604
0	linear	Linear	43	Gene_43	True	Diagonal	-0.25	-0.17677669529663687	-0.17677669529663687	-0.25	-0.25935042452556323	1604
0	linear	Linear	44	Gene_44	True	Diagonal	-0.25	-0.17677669529663687	-0.17677669529663687	-0.25000000000000006	-0.24429879935900017	1604
0	linear	Linear	45	Gene_45	True	Diagonal	-0.25	-0.17677669529663687	-0.17677669529663687	-0.25	-0.23840235249423258	1604
0	linear	Linear	46	Gene_46	True	Anti-diagonal	-0.25	-0.17677669529663687	0.17677669529663687	-0.2500000000000001	-0.2517153299138903	1604
0	linear	Linear	47	Gene_47	True	Anti-diagonal	-0.25	-0.17677669529663687	0.17677669529663687	-0.2500000000000001	-0.2694813775787044	1604
0	linear	Linear	48	Gene_48	True	Anti-diagonal	-0.25	-0.17677669529663687	0.17677669529663687	-0.2500000000000001	-0.3053360722747872	1604
0	linear	Linear	49	Gene_49	True	Horizontal	0.25	0.25	0.0	0.2500000000000001	0.2513004139203137	1604
0	linear	Linear	50	Gene_50	True	Horizontal	0.25	0.25	0.0	0.2500000000000001	0.23974925641245307	1604
0	linear	Linear	51	Gene_51	True	Horizontal	0.25	0.25	0.0	0.2500000000000001	0.2353574796789815	1604
0	linear	Linear	52	Gene_52	True	Vertical	0.25	0.0	0.25	0.25000000000000006	0.22508653197152212	1604
0	linear	Linear	53	Gene_53	True	Vertical	0.25	0.0	0.25	0.2500000000000001	0.21191420857196747	1604
0	linear	Linear	54	Gene_54	True	Vertical	0.25	0.0	0.25	0.2500000000000001	0.24938311647218334	1604
0	linear	Linear	55	Gene_55	True	Diagonal	0.25	0.17677669529663687	0.17677669529663687	0.24999999999999994	0.23909647716252277	1604
0	linear	Linear	56	Gene_56	True	Diagonal	0.25	0.17677669529663687	0.17677669529663687	0.25	0.21768494665301422	1604
0	linear	Linear	57	Gene_57	True	Diagonal	0.25	0.17677669529663687	0.17677669529663687	0.25	0.2292449988982884	1604
0	linear	Linear	58	Gene_58	True	Anti-diagonal	0.25	0.17677669529663687	-0.17677669529663687	0.2500000000000001	0.2478881912689014	1604
0	linear	Linear	59	Gene_59	True	Anti-diagonal	0.25	0.17677669529663687	-0.17677669529663687	0.2500000000000001	0.22668921282665627	1604
0	linear	Linear	60	Gene_60	True	Anti-diagonal	0.25	0.17677669529663687	-0.17677669529663687	0.2500000000000001	0.24283884962945476	1604
0	linear	Linear	61	Gene_61	True	Horizontal	0.5	0.5	0.0	0.5000000000000002	0.47588069248875203	1604
0	linear	Linear	62	Gene_62	True	Horizontal	0.5	0.5	0.0	0.5000000000000002	0.46251816205276286	1604
0	linear	Linear	63	Gene_63	True	Horizontal	0.5	0.5	0.0	0.5000000000000002	0.5128510673651734	1604
0	linear	Linear	64	Gene_64	True	Vertical	0.5	0.0	0.5	0.5000000000000002	0.49851027560295563	1604
0	linear	Linear	65	Gene_65	True	Vertical	0.5	0.0	0.5	0.5000000000000002	0.5249510754605767	1604
0	linear	Linear	66	Gene_66	True	Vertical	0.5	0.0	0.5	0.5000000000000002	0.5227753791269719	1604
0	linear	Linear	67	Gene_67	True	Diagonal	0.5	0.35355339059327373	0.35355339059327373	0.5	0.48331355516577107	1604
0	linear	Linear	68	Gene_68	True	Diagonal	0.5	0.35355339059327373	0.35355339059327373	0.5	0.5047967976328034	1604
0	linear	Linear	69	Gene_69	True	Diagonal	0.5	0.35355339059327373	0.35355339059327373	0.5	0.4991523487456834	1604
0	linear	Linear	70	Gene_70	True	Anti-diagonal	0.5	0.35355339059327373	-0.35355339059327373	0.5000000000000002	0.5317070573699064	1604
0	linear	Linear	71	Gene_71	True	Anti-diagonal	0.5	0.35355339059327373	-0.35355339059327373	0.5000000000000002	0.5044685597376325	1604
0	linear	Linear	72	Gene_72	True	Anti-diagonal	0.5	0.35355339059327373	-0.35355339059327373	0.5000000000000002	0.5429774654663064	1604
0	linear	Linear	73	Gene_73	True	Horizontal	0.75	0.75	0.0	0.7500000000000002	0.7515328651417736	1604
0	linear	Linear	74	Gene_74	True	Horizontal	0.75	0.75	0.0	0.7500000000000002	0.7799655457326938	1604
0	linear	Linear	75	Gene_75	True	Horizontal	0.75	0.75	0.0	0.7500000000000002	0.7915473823451616	1604
0	linear	Linear	76	Gene_76	True	Vertical	0.75	0.0	0.75	0.7500000000000002	0.8220372121790078	1604
0	linear	Linear	77	Gene_77	True	Vertical	0.75	0.0	0.75	0.7500000000000002	0.747962574857685	1604
0	linear	Linear	78	Gene_78	True	Vertical	0.75	0.0	0.75	0.7500000000000002	0.7236498707079805	1604
0	linear	Linear	79	Gene_79	True	Diagonal	0.75	0.5303300858899106	0.5303300858899106	0.7499999999999998	0.7480652076291661	1604
0	linear	Linear	80	Gene_80	True	Diagonal	0.75	0.5303300858899106	0.5303300858899106	0.7499999999999998	0.7071755415294148	1604
0	linear	Linear	81	Gene_81	True	Diagonal	0.75	0.5303300858899106	0.5303300858899106	0.7499999999999998	0.7354242246406241	1604
0	linear	Linear	82	Gene_82	True	Anti-diagonal	0.75	0.5303300858899106	-0.5303300858899106	0.7500000000000002	0.7668965790892134	1604
0	linear	Linear	83	Gene_83	True	Anti-diagonal	0.75	0.5303300858899106	-0.5303300858899106	0.7500000000000002	0.7397939616032284	1604
0	linear	Linear	84	Gene_84	True	Anti-diagonal	0.75	0.5303300858899106	-0.5303300858899106	0.7500000000000002	0.7484290994586748	1604
0	linear	Linear	85	Gene_85	True	Horizontal	1.0	1.0	0.0	1.0000000000000004	1.0146320253474663	1604
0	linear	Linear	86	Gene_86	True	Horizontal	1.0	1.0	0.0	1.0000000000000004	0.9804123901299449	1604
0	linear	Linear	87	Gene_87	True	Horizontal	1.0	1.0	0.0	1.0000000000000004	1.0143872584806477	1604
0	linear	Linear	88	Gene_88	True	Vertical	1.0	0.0	1.0	1.0000000000000004	0.9573445494250252	1604
0	linear	Linear	89	Gene_89	True	Vertical	1.0	0.0	1.0	1.0000000000000004	1.0060176263116414	1604
0	linear	Linear	90	Gene_90	True	Vertical	1.0	0.0	1.0	1.0000000000000004	0.9864076754311197	1604
0	linear	Linear	91	Gene_91	True	Diagonal	1.0	0.7071067811865475	0.7071067811865475	1.0	0.9996709976500288	1604
0	linear	Linear	92	Gene_92	True	Diagonal	1.0	0.7071067811865475	0.7071067811865475	0.9999999999999998	0.9906334261028379	1604
0	linear	Linear	93	Gene_93	True	Anti-diagonal	1.0	0.7071067811865475	-0.7071067811865475	1.0000000000000004	0.9905825896650636	1604
0	linear	Linear	94	Gene_94	True	Anti-diagonal	1.0	0.7071067811865475	-0.7071067811865475	1.0000000000000004	0.9894148687759052	1604
0	linear	Linear	95	Gene_95	True	Anti-diagonal	1.0	0.7071067811865475	-0.7071067811865475	1.0000000000000004	1.0488090695544419	1604
0	linear	Linear	96	Gene_96	False	Horizontal	0.0	0.0	0.0	0.0	0.010885943451485185	1604
0	linear	Linear	97	Gene_97	False	Vertical	0.0	0.0	0.0	0.0	0.041424996734894595	1604
