metric	num_iterations	n	mean	sd	median	q25	q75
geary_c	1	72	0.9190172431992212	0.08325779662145463	0.9311796058920532	0.8844108241821942	0.9686383229208249
geary_c	2	72	0.9087249898922722	0.09613187612250888	0.9349357890611336	0.8720905522745865	0.9661384598884596
geary_c	3	72	0.9095363909113355	0.11806107924327558	0.9419923871607307	0.8621347569443103	0.9710800102346504
geary_c	4	72	0.9033722681043019	0.11241381226591061	0.9392177597554667	0.8566200503421443	0.9684535150091697
geary_c	6	72	0.9062486622413152	0.11671063721668189	0.9336407927195045	0.8686188923213862	0.971779905486576
geary_c	8	71	0.9068421553292738	0.11479192599813821	0.9480264957264957	0.8606087854521853	0.9792827301204643
geary_c	10	72	0.9123170310527464	0.11593056585964351	0.9465742433830713	0.8799078113770797	0.9849200065147943
interaction_distance	1	648	35.7047860911768	16.077736193769347	39.13968997418558	20.14910229350261	51.41530897863478
interaction_distance	2	647	36.5602178262839	16.049480337278453	41.03193246840843	21.737249415817008	50.982403172363576
interaction_distance	3	645	36.98936584022452	16.4644810354384	41.737213872320694	20.769263321109918	51.786121924628944
interaction_distance	4	648	37.0727237851881	16.57300989464975	41.85569458236357	20.503845899992754	51.87233114617843
interaction_distance	6	647	37.45698986777798	16.685389004719955	40.884768036450645	21.141591504796946	52.24508709427597
interaction_distance	8	629	37.114303192151574	16.48638273229843	39.12876461782335	21.22452850793431	52.48307129135088
interaction_distance	10	645	37.70660045268292	16.66324597301665	41.03817360379702	21.3382963774995	51.71353829848257
moran_i	1	72	0.11868408433165253	0.11225855827457469	0.08294320015849982	0.036763372390201256	0.19334135430187852
moran_i	2	72	0.12383411529414924	0.12477848376983289	0.0917165176334383	0.03223513083734137	0.17091225427992585
moran_i	3	72	0.12272081145677904	0.135118084711068	0.07648175552951991	0.033243659241009846	0.1655015695923302
moran_i	4	72	0.1198278965394061	0.13512715185912177	0.07757264951116694	0.032381597965879964	0.18009800142186697
moran_i	6	72	0.11252217367271726	0.13368335088434208	0.0727832579503962	0.024586972779343956	0.13041563562418076
moran_i	8	71	0.10337142962103088	0.13574313463980972	0.0532102564102564	0.0077595072923950705	0.1493795155969956
moran_i	10	72	0.10650305710288416	0.13201006283302208	0.06453698237303224	0.015541726864350361	0.14952674557885884
