seed	num_iterations	metric	component	value
0	2	geary_c	state_4	0.9196335140791481
0	2	moran_i	state_5	-0.01126126126126125
0	2	geary_c	state_5	0.9664843414843409
0	2	moran_i	state_6	0.0340119760479042
0	2	geary_c	state_6	0.9337481287425153
0	2	moran_i	state_7	0.03291439743052646
0	2	geary_c	state_7	0.9385277021365734
0	2	moran_i	state_8	0.19438093375915186
0	2	geary_c	state_8	0.8677089443611636
0	2	interaction_distance	state_0:state_0	10.485126115985883
0	2	interaction_distance	state_0:state_1	21.885726362776424
0	2	interaction_distance	state_0:state_2	38.53938615429731
0	2	interaction_distance	state_0:state_3	39.78883353760385
0	2	interaction_distance	state_0:state_4	53.72189890365895
0	2	interaction_distance	state_0:state_5	52.83108343173692
0	2	interaction_distance	state_0:state_6	53.22161044040258
0	2	interaction_distance	state_0:state_7	51.45467173769577
0	2	interaction_distance	state_0:state_8	22.560880289696584
0	2	interaction_distance	state_1:state_0	13.28824703676348
0	2	interaction_distance	state_1:state_1	18.932746721401937
0	2	interaction_distance	state_1:state_2	37.22191783418106
0	2	interaction_distance	state_1:state_3	42.665254483544864
0	2	interaction_distance	state_1:state_4	55.092537313386536
0	2	interaction_distance	state_1:state_5	49.8813606692019
0	2	interaction_distance	state_1:state_6	54.128114014878456
0	2	interaction_distance	state_1:state_7	49.392179518011
0	2	interaction_distance	state_1:state_8	22.263553606722038
0	2	interaction_distance	state_2:state_0	13.470700403011083
0	2	interaction_distance	state_2:state_1	19.459435706011142
0	2	interaction_distance	state_2:state_2	38.80667592281135
0	2	interaction_distance	state_2:state_3	42.85999502672457
0	2	interaction_distance	state_2:state_4	55.37437706883137
0	2	interaction_distance	state_2:state_5	51.31688843765525
0	2	interaction_distance	state_2:state_6	54.52072541461792
0	2	interaction_distance	state_2:state_7	50.65261498428967
0	2	interaction_distance	state_2:state_8	22.538455578219875
0	2	interaction_distance	state_3:state_0	9.727157937581076
0	2	interaction_distance	state_3:state_1	22.619355643278787
0	2	interaction_distance	state_3:state_2	38.4282209154278
0	2	interaction_distance	state_3:state_3	38.72461250015295
0	2	interaction_distance	state_3:state_4	52.30611432366105
0	2	interaction_distance	state_3:state_5	52.10955991307047
0	2	interaction_distance	state_3:state_6	51.99683049723184
0	2	interaction_distance	state_3:state_7	50.522831197465976
0	2	interaction_distance	state_3:state_8	22.788772573260193
0	2	interaction_distance	state_4:state_0	12.21302034726384
0	2	interaction_distance	state_4:state_1	22.011864227897604
0	2	interaction_distance	state_4:state_2	40.26211965220429
0	2	interaction_distance	state_4:state_3	43.08906788670478
0	2	interaction_distance	state_4:state_4	56.50560699667999
0	2	interaction_distance	state_4:state_5	55.63696771635763
0	2	interaction_distance	state_4:state_6	54.25537026819359
0	2	interaction_distance	state_4:state_7	54.65569766514857
0	2	interaction_distance	state_4:state_8	22.576288055833388
0	2	interaction_distance	state_5:state_0	14.462292799893426
0	2	interaction_distance	state_5:state_1	16.907178566538292
0	2	interaction_distance	state_5:state_2	35.73046960649256
0	2	interaction_distance	state_5:state_3	43.88049232949698
0	2	interaction_distance	state_5:state_4	55.63696771635763
0	2	interaction_distance	state_5:state_5	48.67956170684006
0	2	interaction_distance	state_5:state_6	53.89818529168204
0	2	interaction_distance	state_5:state_7	46.22644429739085
0	2	interaction_distance	state_5:state_8	21.52141872356975
0	2	interaction_distance	state_6:state_0	12.669723854965858
0	2	interaction_distance	state_6:state_1	23.486520776535972
0	2	interaction_distance	state_6:state_2	39.819214653922046
0	2	interaction_distance	state_6:state_3	42.92093401992066
0	2	interaction_distance	state_6:state_4	54.25537026819359
0	2	interaction_distance	state_6:state_5	53.89818529168203
0	2	interaction_distance	state_6:state_6	54.14720256222732
0	2	interaction_distance	state_6:state_7	53.67855258351833
0	2	interaction_distance	state_6:state_8	20.00482086095961
0	2	interaction_distance	state_7:state_0	14.059488327566955
0	2	interaction_distance	state_7:state_1	17.74597743852899
0	2	interaction_distance	state_7:state_2	35.49314473552389
0	2	interaction_distance	state_7:state_3	42.14409380478537
0	2	interaction_distance	state_7:state_4	54.65569766514857
0	2	interaction_distance	state_7:state_5	46.22644429739084
0	2	interaction_distance	state_7:state_6	53.67855258351833
0	2	interaction_distance	state_7:state_7	46.75613398773947
0	2	interaction_distance	state_7:state_8	21.192905349905633
0	2	interaction_distance	state_8:state_0	12.77685441134608
0	2	interaction_distance	state_8:state_1	20.81321303873634
0	2	interaction_distance	state_8:state_2	38.28902391518223
0	2	interaction_distance	state_8:state_3	42.41499967303919
0	2	interaction_distance	state_8:state_4	54.666134893331396
0	2	interaction_distance	state_8:state_5	50.76943287944688
0	2	interaction_distance	state_8:state_6	52.57174912015841
0	2	interaction_distance	state_8:state_7	50.27345399080632
0	2	interaction_distance	state_8:state_8	21.32782142022118
0	3	moran_i	state_0	0.36765385545080964
0	3	geary_c	state_0	0.7319978245105149
0	3	moran_i	state_1	0.3215125960554257
0	3	geary_c	state_1	0.7821451487235896
0	3	moran_i	state_2	0.09354006806603679
0	3	geary_c	state_2	0.9424741581584122
0	3	moran_i	state_3	0.07483346872461413
0	3	geary_c	state_3	0.9606011372867588
0	3	moran_i	state_4	0.017830898627711388
0	3	geary_c	state_4	0.9543658698539175
0	3	moran_i	state_5	-0.011755485893416934
0	3	geary_c	state_5	0.9739028213166142
0	3	moran_i	state_6	0.053087757313109434
0	3	geary_c	state_6	0.9162152401589024
0	3	moran_i	state_7	0.16099161057457811
0	3	geary_c	state_7	0.9371250365817967
0	3	moran_i	state_8	0.24910473855552426
0	3	geary_c	state_8	0.8387838611792133
0	3	interaction_distance	state_0:state_0	11.123330314268145
0	3	interaction_distance	state_0:state_1	21.47299760746135
0	3	interaction_distance	state_0:state_2	37.17674655302686
0	3	interaction_distance	state_0:state_3	41.71925175085353
0	3	interaction_distance	state_0:state_4	51.170104195821665
0	3	interaction_distance	state_0:state_5	50.97103547005862
0	3	interaction_distance	state_0:state_6	53.24810775571683
0	3	interaction_distance	state_0:state_7	45.61038125843703
0	3	interaction_distance	state_0:state_8	24.178267057726767
0	3	interaction_distance	state_1:state_0	14.53622801440123
0	3	interaction_distance	state_1:state_1	17.428824526290597
0	3	interaction_distance	state_1:state_2	36.03185630810869
0	3	interaction_distance	state_1:state_3	43.86229963012006
0	3	interaction_distance	state_1:state_4	51.39668490537082
0	3	interaction_distance	state_1:state_5	50.79749704047504
0	3	interaction_distance	state_1:state_6	52.93681242746825
0	3	interaction_distance	state_1:state_7	39.21805645736424
0	3	interaction_distance	state_1:state_8	23.246118446437958
0	3	interaction_distance	state_2:state_0	13.647726550326173
0	3	interaction_distance	state_2:state_1	18.97264814156044
0	3	interaction_distance	state_2:state_2	35.82567432438946
0	3	interaction_distance	state_2:state_3	41.77749103753486
0	3	interaction_distance	state_2:state_4	49.50907075828795
0	3	interaction_distance	state_2:state_5	49.33290283435631
0	3	interaction_distance	state_2:state_6	51.132738859176186
0	3	interaction_distance	state_2:state_7	40.77451973830614
0	3	interaction_distance	state_2:state_8	22.887113518409173
0	3	interaction_distance	state_3:state_0	10.463957146791314
0	3	interaction_distance	state_3:state_1	22.328432502172028
0	3	interaction_distance	state_3:state_2	36.98685842056529
0	3	interaction_distance	state_3:state_3	41.23201815118653
0	3	interaction_distance	state_3:state_4	50.36638114851552
0	3	interaction_distance	state_3:state_5	50.42097378728421
0	3	interaction_distance	state_3:state_6	52.65376179447797
0	3	interaction_distance	state_3:state_7	46.303706675504706
0	3	interaction_distance	state_3:state_8	24.8132730472268
0	3	interaction_distance	state_4:state_0	12.523706640117291
0	3	interaction_distance	state_4:state_1	20.79162705224027
0	3	interaction_distance	state_4:state_2	36.86355808463165
0	3	interaction_distance	state_4:state_3	43.031708994703074
0	3	interaction_distance	state_4:state_4	51.87243610871339
0	3	interaction_distance	state_4:state_5	51.47540954774867
0	3	interaction_distance	state_4:state_6	52.96935985901645
0	3	interaction_distance	state_4:state_7	44.05683476420507
0	3	interaction_distance	state_4:state_8	23.478236726214156
0	3	interaction_distance	state_5:state_0	14.26352511180007
0	3	interaction_distance	state_5:state_1	17.706703251252442
0	3	interaction_distance	state_5:state_2	35.95294221170341
0	3	interaction_distance	state_5:state_3	43.32299446962414
0	3	interaction_distance	state_5:state_4	51.475409547748676
0	3	interaction_distance	state_5:state_5	52.79187062795222
0	3	interaction_distance	state_5:state_6	52.583112972116446
0	3	interaction_distance	state_5:state_7	42.95905370761405
0	3	interaction_distance	state_5:state_8	21.433238043857017
0	3	interaction_distance	state_6:state_0	15.675151499751625
0	3	interaction_distance	state_6:state_1	20.102378693550058
0	3	interaction_distance	state_6:state_2	37.54339160872121
0	3	interaction_distance	state_6:state_3	45.33286827786465
0	3	interaction_distance	state_6:state_4	52.96935985901644
0	3	interaction_distance	state_6:state_5	52.58311297211646
0	3	interaction_distance	state_6:state_6	56.40348521995934
0	3	interaction_distance	state_6:state_7	45.03270544043788
0	3	interaction_distance	state_6:state_8	23.65550049415157
0	3	interaction_distance	state_7:state_0	15.624878498106918
0	3	interaction_distance	state_7:state_1	16.140719613246784
0	3	interaction_distance	state_7:state_2	36.07851198681546
0	3	interaction_distance	state_7:state_3	46.50194929782235
0	3	interaction_distance	state_7:state_4	52.527295115965536
0	3	interaction_distance	state_7:state_5	51.786121924628944
0	3	interaction_distance	state_7:state_6	53.96114789334921
0	3	interaction_distance	state_7:state_7	35.662572401537304
0	3	interaction_distance	state_7:state_8	23.35302257806226
0	3	interaction_distance	state_8:state_0	14.008789186588547
0	3	interaction_distance	state_8:state_1	20.186965449708737
0	3	interaction_distance	state_8:state_2	38.23314744751745
0	3	interaction_distance	state_8:state_3	44.70008572794224
0	3	interaction_distance	state_8:state_4	52.989841303291534
0	3	interaction_distance	state_8:state_5	52.6323132061723
0	3	interaction_distance	state_8:state_6	54.405802054644504
0	3	interaction_distance	state_8:state_7	45.381598695569316
0	3	interaction_distance	state_8:state_8	23.07072885121535
0	4	moran_i	state_0	0.4290188289578954
0	4	geary_c	state_0	0.6771252348968315
0	4	moran_i	state_1	0.3137689939971308
0	4	geary_c	state_1	0.7800275769857515
0	4	moran_i	state_2	0.050142208472631074
0	4	geary_c	state_2	0.9590373068542822
0	4	moran_i	state_3	0.09657635901692954
0	4	geary_c	state_3	0.9400523230951123
0	4	moran_i	state_4	0.04452324995803258
0	4	geary_c	state_4	0.9307117676682892
0	4	moran_i	state_5	0.015521628498727737
0	4	geary_c	state_5	0.9416234096692114
0	4	moran_i	state_6	0.011296995862565216
0	4	geary_c	state_6	0.9735294117647053
0	4	moran_i	state_7	0.047228327228327247
0	4	geary_c	state_7	0.9295482295482291
0	4	moran_i	state_8	0.18061051494150082
0	4	geary_c	state_8	0.8576239846486322
0	4	interaction_distance	state_0:state_0	11.224225172044385
0	4	interaction_distance	state_0:state_1	20.253776812428168
0	4	interaction_distance	state_0:state_2	33.84975900252107
0	4	interaction_distance	state_0:state_3	39.93076804707222
