seed	metric	num_iterations	pearson_r_vs_4	rmse_vs_4	n_components
0	moran_i	1	0.8788615734714086	0.08740495219245935	9
0	moran_i	2	0.98225959017225	0.037552849807083524	9
0	moran_i	3	0.9259422390327006	0.05479079857851451	9
0	moran_i	4	1.0	0.0	9
0	moran_i	6	0.9773054119669486	0.033931976742466105	9
0	moran_i	8	0.9733267626119751	0.03869053386486415	9
0	moran_i	10	0.9785396514180507	0.031138504068320434	9
0	geary_c	1	0.754552248539633	0.08931816162992647	9
0	geary_c	2	0.9610659644629778	0.043502028027360105	9
0	geary_c	3	0.9448031411662445	0.03164179084501632	9
0	geary_c	4	1.0	0.0	9
0	geary_c	6	0.9643589378518007	0.028024633710016424	9
0	geary_c	8	0.9719801838718279	0.03296048404506728	9
0	geary_c	10	0.9768037842012682	0.024895711525489056	9
0	interaction_distance	1	0.950327784174871	5.16298234644513	81
0	interaction_distance	2	0.9830275645245015	3.111025651451779	81
0	interaction_distance	3	0.9875189803866002	2.338798425445518	81
0	interaction_distance	4	1.0	0.0	81
0	interaction_distance	6	0.9842963142773546	3.26635515117337	81
0	interaction_distance	8	0.9508192565280315	4.552398931919918	81
0	interaction_distance	10	0.9174491821520051	6.208889588437926	81
1	moran_i	1	0.9296168197424459	0.06557348599196106	9
1	moran_i	2	0.9677229625055035	0.03692803724967067	9
1	moran_i	3	0.9816553913189469	0.030231442221731138	9
1	moran_i	4	1.0	0.0	9
1	moran_i	6	0.9722149423125248	0.029723815524786475	9
1	moran_i	8	0.9729325977786656	0.031305859316353796	9
1	moran_i	10	0.978901353754828	0.02608480528861861	9
1	geary_c	1	0.9157189562929313	0.05048973310000348	9
1	geary_c	2	0.9458473761879534	0.04140086394532336	9
1	geary_c	3	0.9698868274160773	0.05716672211118082	9
1	geary_c	4	1.0	0.0	9
1	geary_c	6	0.943511391389864	0.03948353243805812	9
1	geary_c	8	0.955443712911971	0.03645741915474929	9
1	geary_c	10	0.9757364696959985	0.031124493637796662	9
1	interaction_distance	1	0.8984191883289245	9.123579731868462	81
1	interaction_distance	2	0.9608875096754343	7.843454292427953	81
1	interaction_distance	3	0.9902489635352711	3.728450970830554	80
1	interaction_distance	4	1.0	0.0	81
1	interaction_distance	6	0.971938095130831	4.094352228873758	81
1	interaction_distance	8	0.981236537427291	3.5876850013150112	80
1	interaction_distance	10	0.9046641181919288	8.434756366345209	81
2	moran_i	1	0.955520799377493	0.07433808221209588	9
2	moran_i	2	0.9692773276786288	0.05679714236179431	9
2	moran_i	3	0.9982865088995396	0.014763301850893645	9
2	moran_i	4	1.0	0.0	9
2	moran_i	6	0.9930273262495228	0.03326084495083545	9
2	moran_i	8	0.9891507755584787	0.03438075110369411	8
2	moran_i	10	0.9943465822727762	0.024047042288264223	9
2	geary_c	1	0.9573040391763715	0.07180442110840447	9
2	geary_c	2	0.9821252836282219	0.04430053662193623	9
2	geary_c	3	0.9780608862470274	0.04189475876943987	9
2	geary_c	4	1.0	0.0	9
2	geary_c	6	0.9160790023132395	0.09037290166059984	9
2	geary_c	8	0.9608480271663047	0.057777441959592626	8
2	geary_c	10	0.9674270368204569	0.054530010455836844	9
2	interaction_distance	1	0.8204679803372729	10.351420860449576	81
2	interaction_distance	2	0.9367855187692556	5.618853539023153	81
2	interaction_distance	3	0.9613528058882185	4.446970562141148	80
2	interaction_distance	4	1.0	0.0	81
2	interaction_distance	6	0.926784959421378	7.310527412404342	81
2	interaction_distance	8	0.9634633761726357	4.369387975574278	64
2	interaction_distance	10	0.9143011278701827	7.877439132333522	80
3	moran_i	1	0.9220185757836489	0.048613645000355435	9
3	moran_i	2	0.9572851191770366	0.037477061596277124	9
3	moran_i	3	0.983838588786542	0.03432963465447001	9
3	moran_i	4	1.0	0.0	9
3	moran_i	6	0.979972249316876	0.02286662196601646	9
3	moran_i	8	0.9682985516724576	0.028875765784681325	9
3	moran_i	10	0.9671110561542513	0.030795184709098755	9
3	geary_c	1	0.7386517007807474	0.06315907961161185	9
3	geary_c	2	0.8571201039673272	0.050923868314629556	9
3	geary_c	3	0.786357717668065	0.06190748414191466	9
3	geary_c	4	1.0	0.0	9
3	geary_c	6	0.849665775350537	0.05532608927292325	9
3	geary_c	8	0.9580460472307897	0.028303669831380926	9
3	geary_c	10	0.7908875229123185	0.06200761940410069	9
3	interaction_distance	1	0.9337802570839531	5.825647190984659	81
3	interaction_distance	2	0.8934191298616717	7.201857792594863	80
3	interaction_distance	3	0.9299117696642328	6.162556162577865	80
3	interaction_distance	4	1.0	0.0	81
3	interaction_distance	6	0.7632778401986053	12.022355403451547	81
3	interaction_distance	8	0.9591908702170429	4.803829722312064	80
3	interaction_distance	10	0.8578156784024277	8.659493877101644	80
4	moran_i	1	0.8793577791109244	0.0834376754827656	9
4	moran_i	2	0.9526444657311253	0.04846284858594676	9
4	moran_i	3	0.9631899362642758	0.044792960779956786	9
4	moran_i	4	1.0	0.0	9
4	moran_i	6	0.9473606987502385	0.05051385620941283	9
4	moran_i	8	0.9773714633743003	0.049718422804264896	9
4	moran_i	10	0.9634974398514727	0.04560309423972583	9
4	geary_c	1	0.9428434928733673	0.06959389369316733	9
4	geary_c	2	0.913186127985937	0.05363626749877929	9
4	geary_c	3	0.9582140895707286	0.03947696839220718	9
4	geary_c	4	1.0	0.0	9
4	geary_c	6	0.9591093336132286	0.0409117271636726	9
4	geary_c	8	0.9734949036048514	0.035558924618367814	9
4	geary_c	10	0.9446543523450648	0.04676572575675342	9
4	interaction_distance	1	0.9298343573525885	7.049427940062742	81
4	interaction_distance	2	0.9218505179411007	7.038704641375974	81
4	interaction_distance	3	0.9081450592743411	7.365674204219383	81
4	interaction_distance	4	1.0	0.0	81
4	interaction_distance	6	0.916875926748623	6.568454526907357	81
4	interaction_distance	8	0.887995381583118	7.551356456586172	81
4	interaction_distance	10	0.8167183913236364	9.940640074562356	81
5	moran_i	1	0.7479757852251274	0.07302393012757055	9
5	moran_i	2	0.910368509442413	0.03791841965060673	9
5	moran_i	3	0.9038922615845438	0.056641512663189376	9
5	moran_i	4	1.0	0.0	9
5	moran_i	6	-0.0051705709517563675	0.07774270460271529	9
5	moran_i	8	0.04188607668840377	0.0840011896285604	9
5	moran_i	10	-0.12099243679902699	0.08671657555855192	9
5	geary_c	1	0.7788053452101421	0.04325002229402096	9
5	geary_c	2	0.8539421749567421	0.0329123606361149	9
5	geary_c	3	0.8162516092104101	0.05342428907687351	9
5	geary_c	4	1.0	0.0	9
5	geary_c	6	0.11639205565344841	0.055941766232936174	9
5	geary_c	8	0.014253229307374105	0.06654079756004617	9
5	geary_c	10	0.09114157269029237	0.0731009772144818	9
5	interaction_distance	1	0.8619699709710336	11.659178554569072	81
5	interaction_distance	2	0.9673184639470089	6.699054249009947	81
5	interaction_distance	3	0.9883008752279908	5.5493096223954	81
5	interaction_distance	4	1.0	0.0	81
5	interaction_distance	6	0.9619857392835751	6.91239190778766	80
5	interaction_distance	8	0.9679802610966013	5.845573495785713	81
5	interaction_distance	10	0.9482098299281354	8.20305108376087	80
6	moran_i	1	-0.2840270692022196	0.09936226614988751	9
6	moran_i	2	0.47447525709057764	0.06821244821303647	9
6	moran_i	3	0.7005478603933175	0.05276560232491233	9
6	moran_i	4	1.0	0.0	9
6	moran_i	6	0.7347424514058898	0.040125538662078436	9
6	moran_i	8	0.69882576730945	0.05167196428353477	9
6	moran_i	10	0.41442921787549347	0.07017631091046579	9
6	geary_c	1	-0.0019567461040006368	0.06760545806038762	9
6	geary_c	2	0.473366212144774	0.050784933225653243	9
6	geary_c	3	0.8457879712056784	0.03570984815788171	9
6	geary_c	4	1.0	0.0	9
6	geary_c	6	0.7550719385973532	0.03688454185955871	9
6	geary_c	8	0.9560659272837202	0.018028423158623706	9
6	geary_c	10	0.6999663569826218	0.0425197925235959	9
6	interaction_distance	1	0.6532877492028502	11.328973699918135	81
6	interaction_distance	2	0.9326064407814932	5.016833969788504	81
6	interaction_distance	3	0.980410263140819	2.9717701429962515	81
6	interaction_distance	4	1.0	0.0	81
6	interaction_distance	6	0.9796433555229916	2.809593851056971	81
6	interaction_distance	8	0.9679250386251779	4.571328970824645	81
6	interaction_distance	10	0.9592537172381073	5.118540574436157	81
7	moran_i	1	0.8361367736283145	0.060565976697365416	9
7	moran_i	2	0.9130864465846699	0.04231571534834521	9
7	moran_i	3	0.9631303344811999	0.026356662746066458	9
7	moran_i	4	1.0	0.0	9
7	moran_i	6	0.8534662801044176	0.05770524120181958	9
7	moran_i	8	0.7821599618890819	0.07969547123323856	9
7	moran_i	10	0.7369308792208504	0.0771948056150274	9
7	geary_c	1	0.7764225442581552	0.058697520303681625	9
7	geary_c	2	0.8452442934683979	0.045919199626706146	9
7	geary_c	3	0.9315428033948348	0.03182682282450572	9
7	geary_c	4	1.0	0.0	9
7	geary_c	6	0.9320851403334004	0.033694713330500774	9
7	geary_c	8	0.9291863763956375	0.03794777171709124	9
7	geary_c	10	0.8289009443071522	0.0535435892416292	9
7	interaction_distance	1	0.820313584193936	10.373337697520093	81
7	interaction_distance	2	0.9460037888940734	4.9222498712211875	81
7	interaction_distance	3	0.9821127725994467	3.8158457377059234	81
7	interaction_distance	4	1.0	0.0	81
7	interaction_distance	6	0.9590481677955252	4.656864439270837	81
7	interaction_distance	8	0.9677956899450049	4.106838091895773	81
7	interaction_distance	10	0.959623677786606	4.975701804204502	81
