,combined_pvalue,adjusted_pvalue
ABCC11,0.442344879128313,1
ACTA2,8.1381296090921e-07,4.27767803460459e-05
ACTG2,0.766066257798261,1
ADAM9,0.451113461966903,1
ADGRE5,0.00065388123109078,0.0165241461740618
AIF1,0.519648629275109,1
AKR1C1,0.343305960523404,1
ANGPT2,0.0035082166565088,0.0743563763391646
ANKRD28,0.125828407067983,1
ANKRD29,0.0729445510915708,1
ANKRD30A,0.000190639282099947,0.00544600533393049
APOBEC3B,0.319680907560918,1
APOC1,0.496804365724237,1
AQP1,1.21850196599382e-09,8.89564061984444e-08
AR,0.318757968597168,1
AVPR1A,0.0386813622279283,0.605126224076933
BACE2,0.379587314190219,1
BASP1,0.480291012213907,1
BTNL9,6.55031584528842e-15,7.17306052829796e-13
C1QA,0.419048489647349,1
C1QC,0.218330776445934,1
C2orf42,0.713777005124115,1
C6orf132,0.00422184657780833,0.0866854031137753
CAV1,1.55431223447522e-15,1.85681690100779e-13
CAVIN2,4.56880533405979e-10,3.75237446299566e-08
CCDC6,0.0778214835543264,1
CCDC80,8.5441312680512e-05,0.00282272037245345
CCL5,2.88181700724977e-11,2.52463524663163e-09
CCL8,8.59219943358802e-05,0.00282272037245345
CCND1,0.849155646182807,1
CCPG1,0.107954257048169,1
CD14,0.0661050967479634,0.944214396749189
CD163,0.468437028720812,1
CD247,0.00105082912220489,0.0260543192685222
CD3D,0.0508163150861628,0.758829135212188
CD3E,0.00158049211874078,0.0377618397757557
CD3G,0.00730877868097046,0.139193585017855
CD4,0.234842148138944,1
CD68,0.312371978189625,1
CD69,0.454949739223897,1
CD83,0.259661548430997,1
CD86,0.415159877848303,1
CD8A,0.81100991850502,1
CD8B,0.107751471941666,1
CD9,0.0602356015823639,0.879496757741888
CD93,2.22044604925031e-16,2.9178551301551e-14
CDC42EP1,0.120356817106953,1
CDH1,0.000420205736075818,0.0112691042519743
CEACAM6,0.814238425887407,1
CENPF,2.22044604925031e-16,2.9178551301551e-14
CLDN4,0.903333114670236,1
CLEC14A,1.11022302462516e-16,2.9178551301551e-14
CRISPLD2,0.0800298766190963,1
CTLA4,3.01653487687625e-05,0.00113256674824501
CTTN,0.0358958902422402,0.57681162638229
CXCL12,6.26042566675977e-08,3.91749155318572e-06
CXCL16,0.314238647631907,1
CXCR4,2.49300855958978e-06,0.000117000909691347
CYTIP,0.513109815316292,1
DAPK3,0.427142550852539,1
DMKN,0.0822824172853129,1
DNTTIP1,0.44822064620828,1
DPT,0.131542278959923,1
DSC2,0.305174650776376,1
DSP,0.0350181480656562,0.575210344653522
DST,0.369229983782104,1
DUSP2,0.802222977609282,1
DUSP5,0.231950412516437,1
EDNRB,0.109040319017016,1
EGFL7,0.0547915501333029,0.808997316327939
EGFR,0.000137635604628539,0.0041105659337003
EIF4EBP1,0.122219735338401,1
ELF3,0.166225928759211,1
ENAH,0.263507559058665,1
EPCAM,9.58648416204966e-09,6.29872813208665e-07
ERBB2,4.69269303415842e-06,0.000198922520161169
ERN1,0.640327175513494,1
ESM1,0.000261786692728694,0.00716687499045008
ESR1,0.0309621021153097,0.51502326470518
FAM107B,0.644098033087616,1
FAM49A,0.231587284534126,1
FASN,0.000144071099086984,0.004207148636444
FBLIM1,0.0128758942874225,0.225600282517262
FBLN1,0.000109102890232804,0.00333419733587877
FCER1G,0.372648552289853,1
FCGR3A,0.234280364868185,1
FGL2,0.00694208702037447,0.134154313361695
FLNB,0.472803563057723,1
FOXA1,1.42632034516588e-07,7.80960980375991e-06
FSTL3,0.525064515077545,1
GATA3,3.01446633654834e-06,0.00013204217935922
GJB2,0.554069356609558,1
GLIPR1,0.0746139146278781,1
GPR183,0.00798568085065177,0.147800907610006
GZMA,0.0102053074699502,0.183686002309805
HAVCR2,0.16786404446544,1
HDC,0.35326197999284,1
HMGA1,0.355583982156494,1
HOOK2,0.639859691821602,1
HOXD8,9.36081469862238e-05,0.00300022131183171
HOXD9,2.22044604925031e-16,2.9178551301551e-14
HPX,0.459211908112134,1
IGF1,0.00272612262465677,0.0607179185985985
IGSF6,0.472571179747122,1
IL2RG,0.0789870684393774,1
IL3RA,4.06512231273526e-05,0.00148386577038921
IL7R,0.35484314269645,1
ITGAM,0.174720352996591,1
ITGAX,0.0365364864189193,0.578458474953063
ITM2C,0.865226643398495,1
JUP,0.0155737331873975,0.265781963170805
KARS,0.88069057431173,1
KDR,1.11022302462516e-16,2.9178551301551e-14
KLF5,0.226977324542199,1
KLRB1,0.29808759822491,1
KRT15,0.968645638144043,1
KRT7,5.30638593532196e-06,0.000217907588730731
KRT8,0.00333972455787168,0.0719456126569852
LAG3,0.36921078235896,1
LARS,0.164969523646189,1
