,combined_pvalue,adjusted_pvalue
ABCC11,0.816528893564648,1
ACTA2,0.057842653485769,1
ACTG2,0.793641168944081,1
ADAM9,0.789590280506173,1
ADGRE5,0.407269350036605,1
AIF1,0.0926109146955335,1
AKR1C1,0.494048347539783,1
ANGPT2,0.0463268321952472,1
ANKRD28,0.166575371246864,1
ANKRD29,0.862627062760425,1
ANKRD30A,0.00598579161494195,0.491614983664957
APOBEC3B,0.136820883597715,1
APOC1,0.338661644212091,1
AQP1,0.389526801869838,1
AR,0.339333348897532,1
AVPR1A,0.273560448301361,1
BACE2,0.405777918101894,1
BASP1,0.6310994914962,1
BTNL9,0.0585082460654738,1
C1QA,0.134362285027347,1
C1QC,0.0328978351954687,1
C2orf42,0.684123573123725,1
C6orf132,0.306531351465622,1
CAV1,0.191014431628979,1
CAVIN2,0.00184708915930787,0.202269366146801
CCDC6,0.094436423352036,1
CCDC80,0.00271478702195749,0.274420096184369
CCL5,0.660418893536924,1
CCL8,0.035294001824147,1
CCND1,0.129256958446019,1
CCPG1,0.491691695429667,1
CD14,0.263662280803921,1
CD163,0.0440861186424258,1
CD247,0.233725985169597,1
CD3D,0.0148608261002496,0.723273724574334
CD3E,0.430248101814339,1
CD3G,0.0183201615066355,0.802475059090862
CD4,0.0415306306723862,1
CD68,0.0340346018358162,1
CD69,0.668381224173235,1
CD83,0.0318096662547755,1
CD86,0.286873861055967,1
CD8A,0.179729019152502,1
CD8B,0.584905981659064,1
CD9,0.269877781274904,1
CD93,0.496114577766573,1
CDC42EP1,0.602960739125746,1
CDH1,0.03081882310187,1
CEACAM6,0.179360131560949,1
CENPF,0.21470343746186,1
CLDN4,0.313909163941544,1
CLEC14A,0.110683927478789,1
CRISPLD2,0.217466425359782,1
CTLA4,9.81848113719153e-05,0.025804640077752
CTTN,0.251676655861958,1
CXCL12,0.000191578022093353,0.0419583049374839
CXCL16,0.227732666092821,1
CXCR4,0.279568517861759,1
CYTIP,0.457658664510335,1
DAPK3,0.777943905982368,1
DMKN,0.389495348838939,1
DNTTIP1,0.830341739079892,1
DPT,0.0793428280820467,1
DSC2,0.639761946462795,1
DSP,0.394721577061051,1
DST,0.378434530426072,1
DUSP2,0.58658335995371,1
DUSP5,0.164724005351669,1
EDNRB,0.773064694474224,1
EGFL7,0.477572971013164,1
EGFR,0.126808091062016,1
EIF4EBP1,0.872210252706125,1
ELF3,0.279909968875639,1
ENAH,0.854203790473032,1
EPCAM,1.84567267380586e-05,0.0100448835112892
ERBB2,0.0421127762585303,1
ERN1,0.00406547035934035,0.381598152590617
ESM1,0.0220175134299827,0.876754149909934
ESR1,0.170893077014539,1
FAM107B,0.178811394407308,1
FAM49A,0.42977383218985,1
FASN,0.0170190746135445,0.771190097816694
FBLIM1,0.338789716490947,1
FBLN1,5.16788344788743e-05,0.0169775969512445
FCER1G,0.00171672823656022,0.202269366146801
FCGR3A,0.261214512090449,1
FGL2,0.421593089729353,1
