,combined_pvalue,adjusted_pvalue
S100A4,0.00659197622477037,0.0766585656552977
SCD,5.55e-17,4.29010144627801e-15
SDC4,0.529245388080534,1
SEC11C,0.207319548372893,1
SEC24A,0.13350397233107,1
SELL,0.0522913371379075,0.501571302480899
SERHL2,9.31144050753119e-13,2.49714805883784e-11
SERPINA3,0.0207461065498579,0.218097200596917
SERPINB9,0.0461257805292364,0.452337329824667
SFRP4,2.44053439679703e-08,4.64792747020847e-07
SH3YL1,0.00233363442781886,0.0289301348590494
SLAMF1,0.261391015114373,1
SLAMF7,0.0982036408768211,0.854622145437872
SLC25A37,0.075672048391759,0.705244775697551
SLC5A6,0.00385292408067262,0.0473184133880914
SMAP2,0.531545874972566,1
SMS,0.0924429264713296,0.820796451594594
SNAI1,2.44424445394742e-06,3.82374438734291e-05
SOX17,0.425158309606991,1
SQLE,0.135445012183492,1
SRPK1,0.740444103972849,1
STC1,0.0243788712306952,0.252251276488944
SVIL,0.000379244604440276,0.00508530300460382
TACSTD2,5.55e-17,4.29010144627801e-15
TCF4,2.22044604925031e-16,7.88609494636514e-15
TCIM,0.0196150424549077,0.207869641685306
TENT5C,8.38304179828775e-06,0.000128093378510735
TFAP2A,0.0626077367559827,0.591884142081222
THAP2,0.46098278764008,1
TIFA,0.360140708421905,1
TMEM147,0.684413862352727,1
TOMM7,0.648069785924713,1
TOP2A,1.40321321229209e-09,3.23498528640246e-08
TPD52,1.0769163338864e-14,3.6286147131416e-13
TRAC,0.481600356273952,1
TRAF4,0.00186053520313101,0.0235086696151524
TRAPPC3,0.50617902261998,1
TRIB1,0.338690852040864,1
TUBA4A,0.00808236077283031,0.0923557398973161
TUBB2B,0.44943733747832,1
TYROBP,0.0105666620580731,0.118679431280572
USP53,0.000305058590994944,0.00413271090206335
VOPP1,0.466190309297968,1
VWF,2.79591564122939e-07,4.77152099014535e-06
WARS,0.718761161848312,1
ZEB1,1.43218770176645e-14,4.59028429012205e-13
ZEB2,5.55e-17,4.29010144627801e-15
ZNF562,0.564960808238275,1
