,combined_pvalue,adjusted_pvalue
MMP1,5.55e-17,1.19560204240535e-15
MMP2,5.55e-17,1.19560204240535e-15
MMRN2,5.55e-17,1.19560204240535e-15
MNDA,0.0031222853778996,0.0235801653994135
MRC1,2.22044604925031e-16,2.86064228446579e-15
MYLK,5.55e-17,1.19560204240535e-15
MYO5B,2.22044604925031e-16,2.86064228446579e-15
MZB1,1.23234755733392e-13,1.396042756238e-12
NARS,3.41909833778686e-11,3.48293509751247e-10
NOSTRIN,5.55e-17,1.19560204240535e-15
NPM3,0.691651183398864,1
OCIAD2,0.000115796927792955,0.000957025287074034
OXTR,0.34275285873103,1
PCLAF,8.88178419700125e-16,1.09078696454396e-14
PCOLCE,6.10046975246803e-06,5.45342624056692e-05
PDE4A,0.0182325374307226,0.126100559356533
PDGFRA,5.55e-17,1.19560204240535e-15
PDGFRB,5.55e-17,1.19560204240535e-15
PDK4,5.55e-17,1.19560204240535e-15
PECAM1,5.55e-17,1.19560204240535e-15
PELI1,0.00595686310814969,0.0439765461690863
PIM1,1.45961021047469e-12,1.55939192667273e-11
POLR2J3,0.273287233030321,1
POSTN,5.55e-17,1.19560204240535e-15
PPARG,1.11022302462516e-16,1.77917995741165e-15
PRDM1,5.55e-17,1.19560204240535e-15
PTGDS,5.55e-17,1.19560204240535e-15
PTN,8.86226625418374e-09,8.50056370966484e-08
PTPRC,5.55e-17,1.19560204240535e-15
PTRHD1,0.0295630625665193,0.202335316914559
QARS,0.330285801099529,1
RAB30,0.00019686629569482,0.00157743336168134
RAMP2,5.55e-17,1.19560204240535e-15
RAPGEF3,0.00100464639003828,0.00781178035346451
RHOH,2.68884081600085e-06,2.45372619932585e-05
RORC,0.33909873425023,1
RTKN2,0.00717796833526152,0.0526953152870839
RUNX1,7.62323537628617e-12,8.0140641862788e-11
S100A14,2.22044604925031e-16,2.86064228446579e-15
S100A4,5.55e-17,1.19560204240535e-15
SCD,5.55e-17,1.19560204240535e-15
SDC4,0.00145254904182768,0.011162415749148
SEC11C,0.00140880888781847,0.0108899694543411
SEC24A,0.00318524909885431,0.0239182198216485
SELL,2.22044604925031e-16,2.86064228446579e-15
SERHL2,1.11022302462516e-16,1.77917995741165e-15
SERPINA3,0.000152921700578901,0.0012404452619235
SERPINB9,0.000103291586790677,0.00085907555706963
SFRP4,5.55e-17,1.19560204240535e-15
SH3YL1,3.77475828372553e-15,4.50941247387607e-14
SLAMF1,0.0328502304767044,0.221715798871722
SLAMF7,5.55e-17,1.19560204240535e-15
SLC25A37,0.366001414308893,1
SLC5A6,1.15459133365192e-08,1.09944297109444e-07
SMAP2,8.84280200740273e-05,0.000740139783759506
SMS,7.9935334553749e-06,7.04978753784611e-05
SNAI1,1.61028942309294e-05,0.000141070492144063
SOX17,2.21289653268286e-11,2.2718237677442e-10
SQLE,0.0954874596702732,0.6369474651446
SRPK1,0.0175112743625292,0.122400559609985
STC1,0.00146524897361144,0.0111945458406048
SVIL,0.00744419938903962,0.0541906895214123
TACSTD2,5.55e-17,1.19560204240535e-15
TCF4,5.55e-17,1.19560204240535e-15
TCIM,5.55e-17,1.19560204240535e-15
TENT5C,2.22044604925031e-16,2.86064228446579e-15
TFAP2A,0.00012108819083323,0.000994501191954284
THAP2,0.390309338830815,1
TIFA,0.499476636700098,1
TMEM147,1.94622095293084e-05,0.000169370861552495
TOMM7,5.55e-17,1.19560204240535e-15
TOP2A,2.99760216648792e-15,3.64731891269388e-14
TPD52,5.39568389967826e-14,6.16555475328426e-13
TRAC,5.55e-17,1.19560204240535e-15
TRAF4,5.27872657518635e-06,4.75116170245741e-05
TRAPPC3,0.00800218044955492,0.0576999325595604
TRIB1,2.59792187762287e-14,3.02114203741723e-13
TUBA4A,6.42795889849168e-08,6.03348942135896e-07
TUBB2B,0.218386370245367,1
TYROBP,0.000206506428225728,0.00164464864305185
USP53,6.63681367418789e-06,5.89279604357548e-05
VOPP1,0.00746413957262193,0.0541906895214123
VWF,5.55e-17,1.19560204240535e-15
WARS,0.492142812958114,1
ZEB1,1.11022302462516e-16,1.77917995741165e-15
ZEB2,5.55e-17,1.19560204240535e-15
ZNF562,0.000123500091997464,0.00100801015007491
