candidate	rows	cols	center_x	center_y	y_scale	outer_radius_at_top	outer_radius_slope	inner_radius	angle_min_deg	angle_max_deg	niche_cut_1	niche_cut_2	niche_cut_3	boundary_noise	interface_noise	geometry_seed	simulation_seed	initial_seed	neighbor_distance	num_iterations	phi	theta_bias_strength	theta_depth_penalty	rare_state_cutoff	rare_state_penalty	retention	coordinate_jitter	n_cells	composition_rmse_visual_guide	median_depth_mae_visual_guide	laminar_ordering_violations	tuning_score
S41	104	118	1.15	1.18	1.05	1.14	0.18	0.44	-169.0	-82.0	0.29	0.51	0.69	0.01	0.018	419	41	1041	2	1	2.6	0.2	0.12	0.015	0.4	0.34	0.22	3350	0.01044194081818409	0.05717744463653592	0	0.03617179090462526
S23	104	118	1.15	1.18	1.05	1.14	0.18	0.44	-169.0	-82.0	0.29	0.51	0.69	0.01	0.018	419	23	1023	2	1	2.6	0.2	0.12	0.015	0.4	0.34	0.22	3360	0.009970072099560525	0.058453633592535116	0	0.03627420721620133
S101	104	118	1.15	1.18	1.05	1.14	0.18	0.44	-169.0	-82.0	0.29	0.51	0.69	0.01	0.018	419	101	1101	2	1	2.6	0.2	0.12	0.015	0.4	0.34	0.22	3328	0.014642300332292722	0.053623827915570466	0	0.03877302289429943
S7	104	118	1.15	1.18	1.05	1.14	0.18	0.44	-169.0	-82.0	0.29	0.51	0.69	0.01	0.018	419	7	1007	2	1	2.6	0.2	0.12	0.015	0.4	0.34	0.22	3394	0.013580374842887431	0.0575085261129866	0	0.0394592115937314
S73	104	118	1.15	1.18	1.05	1.14	0.18	0.44	-169.0	-82.0	0.29	0.51	0.69	0.01	0.018	419	73	1073	2	1	2.6	0.2	0.12	0.015	0.4	0.34	0.22	3344	0.009923230764258535	0.05375318257350534	1	0.06411216292233593
S17	104	118	1.15	1.18	1.05	1.14	0.18	0.44	-169.0	-82.0	0.29	0.51	0.69	0.01	0.018	419	17	1017	2	1	2.6	0.2	0.12	0.015	0.4	0.34	0.22	3326	0.013733757279160489	0.05703653458081735	1	0.0694001978405283
