candidate	rows	cols	center_x	center_y	y_scale	outer_radius_at_top	outer_radius_slope	inner_radius	angle_min_deg	angle_max_deg	niche_cut_1	niche_cut_2	niche_cut_3	boundary_noise	interface_noise	geometry_seed	simulation_seed	initial_seed	neighbor_distance	num_iterations	phi	theta_bias_strength	theta_depth_penalty	rare_state_cutoff	rare_state_penalty	retention	coordinate_jitter	n_cells	composition_rmse_visual_guide	median_depth_mae_visual_guide	laminar_ordering_violations	tuning_score
G2 selected	104	118	1.15	1.18	1.05	1.14	0.18	0.44	-169.0	-82.0	0.29	0.51	0.69	0.01	0.018	419	23	1023	2	1	2.6	0.2	0.12	0.015	0.4	0.34	0.22	3360	0.009970072099560525	0.058453633592535116	0	0.03627420721620133
G5 tapered	104	118	1.15	1.18	1.05	1.11	0.23	0.44	-169.0	-82.0	0.29	0.51	0.69	0.01	0.018	419	23	1023	2	1	2.6	0.2	0.12	0.015	0.4	0.34	0.22	3218	0.012635064100548474	0.05559676988226578	0	0.03765361054756808
G1 compact	104	118	1.1	1.18	1.05	1.14	0.15	0.44	-169.0	-82.0	0.29	0.51	0.69	0.01	0.018	419	23	1023	2	1	2.6	0.2	0.12	0.015	0.4	0.34	0.22	3372	0.011485343849595852	0.06348230918440392	0	0.04005238298257762
G4 steep	104	118	1.15	1.22	1.05	1.14	0.18	0.44	-166.0	-82.0	0.29	0.51	0.69	0.01	0.018	419	23	1023	2	1	2.6	0.2	0.12	0.015	0.4	0.34	0.22	3134	0.014475713758332849	0.05841663299475804	0	0.040763198605973966
G3 broad	104	118	1.15	1.18	1.05	1.17	0.2	0.44	-169.0	-82.0	0.29	0.51	0.69	0.01	0.018	419	23	1023	2	1	2.6	0.2	0.12	0.015	0.4	0.34	0.22	3531	0.01168872272012562	0.05699340135711701	1	0.06733575333082828
G6 long arc	104	118	1.18	1.18	1.05	1.14	0.18	0.44	-172.0	-82.0	0.29	0.51	0.69	0.01	0.018	419	23	1023	2	1	2.6	0.2	0.12	0.015	0.4	0.34	0.22	3167	0.017553981502821014	0.058221420735455505	1	0.07375362083377598
