dataset	seed	cell_type_a	cell_type_b	centered_colocalization
Xenium_reference	reference	Invasive_Tumor	Invasive_Tumor	0.052257529527559465
Xenium_reference	reference	Invasive_Tumor	Stromal	-0.020684473425196817
Xenium_reference	reference	Invasive_Tumor	Prolif_Invasive_Tumor	0.005373265255905514
Xenium_reference	reference	Invasive_Tumor	Endothelial	-0.009436798720472445
Xenium_reference	reference	Invasive_Tumor	Macrophages_1	-0.006211934055118124
Xenium_reference	reference	Invasive_Tumor	CD8+_T_Cells	-0.003566732283464571
Xenium_reference	reference	Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.0006073203740157452
Xenium_reference	reference	Stromal	Invasive_Tumor	-0.020684473425196817
Xenium_reference	reference	Stromal	Stromal	0.01260376476377953
Xenium_reference	reference	Stromal	Prolif_Invasive_Tumor	-0.003813029035433074
Xenium_reference	reference	Stromal	Endothelial	0.001805216535433066
Xenium_reference	reference	Stromal	Macrophages_1	0.0007543553149606339
Xenium_reference	reference	Stromal	CD8+_T_Cells	0.000633255413385827
Xenium_reference	reference	Stromal	T_Cell_&_Tumor_Hybrid	-0.0003087967519685038
Xenium_reference	reference	Prolif_Invasive_Tumor	Invasive_Tumor	0.005373265255905514
Xenium_reference	reference	Prolif_Invasive_Tumor	Stromal	-0.003813029035433074
Xenium_reference	reference	Prolif_Invasive_Tumor	Prolif_Invasive_Tumor	0.002621911909448816
Xenium_reference	reference	Prolif_Invasive_Tumor	Endothelial	-0.0016862081692913386
Xenium_reference	reference	Prolif_Invasive_Tumor	Macrophages_1	-0.0009126968503936996
Xenium_reference	reference	Prolif_Invasive_Tumor	CD8+_T_Cells	-0.0004995693897637807
Xenium_reference	reference	Prolif_Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.00010022145669291347
Xenium_reference	reference	Endothelial	Invasive_Tumor	-0.009436798720472445
Xenium_reference	reference	Endothelial	Stromal	0.001805216535433066
Xenium_reference	reference	Endothelial	Prolif_Invasive_Tumor	-0.0016862081692913386
Xenium_reference	reference	Endothelial	Endothelial	0.005457185039370075
Xenium_reference	reference	Endothelial	Macrophages_1	0.0006877706692913375
Xenium_reference	reference	Endothelial	CD8+_T_Cells	0.0005186515748031495
Xenium_reference	reference	Endothelial	T_Cell_&_Tumor_Hybrid	-6.873769685039415e-05
