dataset	seed	normalized_radius	centered_l
Xenium_reference	reference	0.0	0.0
Xenium_reference	reference	0.010416666666666666	-0.008229891693570586
Xenium_reference	reference	0.020833333333333332	-0.00329510075858859
Xenium_reference	reference	0.03125	-0.0010741411519133576
Xenium_reference	reference	0.041666666666666664	-0.0007841421551945393
Xenium_reference	reference	0.05208333333333333	-0.0009812153320533507
Xenium_reference	reference	0.0625	-0.00114194965327033
Xenium_reference	reference	0.07291666666666666	-0.0015862256960069987
Xenium_reference	reference	0.08333333333333333	-0.0022103612058653604
Xenium_reference	reference	0.09375	-0.0029111295373479007
Xenium_reference	reference	0.10416666666666666	-0.003766120528188463
Xenium_reference	reference	0.11458333333333333	-0.00465644267884123
Xenium_reference	reference	0.125	-0.005799247628596307
Xenium_reference	reference	0.13541666666666666	-0.006836481683027168
Xenium_reference	reference	0.14583333333333331	-0.008110745297645272
Xenium_reference	reference	0.15625	-0.009399025214640533
Xenium_reference	reference	0.16666666666666666	-0.01079334183413383
Xenium_reference	reference	0.17708333333333331	-0.012331511921939153
Xenium_reference	reference	0.1875	-0.01393678307590826
Xenium_reference	reference	0.19791666666666666	-0.015662470973185877
Xenium_reference	reference	0.20833333333333331	-0.017460602212224924
Xenium_reference	reference	0.21875	-0.019334547533624846
Xenium_reference	reference	0.22916666666666666	-0.02133210319910725
Xenium_reference	reference	0.23958333333333331	-0.023392083519831658
Xenium_reference	reference	0.25	-0.02559548820035959
SimSpace	0	0.0	0.0
SimSpace	0	0.010416666666666666	-0.0013561942056120341
SimSpace	0	0.020833333333333332	1.582137761936553e-05
SimSpace	0	0.03125	0.0004823273302058742
SimSpace	0	0.041666666666666664	0.0004925945503081036
SimSpace	0	0.05208333333333333	0.00046523397985406834
SimSpace	0	0.0625	0.00012636040972736906
SimSpace	0	0.07291666666666666	-0.0003153621651797306
SimSpace	0	0.08333333333333333	-0.0009920480247382485
SimSpace	0	0.09375	-0.0017769512161251583
SimSpace	0	0.10416666666666666	-0.0026533275643961934
SimSpace	0	0.11458333333333333	-0.0036803420063465236
SimSpace	0	0.125	-0.004917413432582937
SimSpace	0	0.13541666666666666	-0.006153387705411434
SimSpace	0	0.14583333333333331	-0.007500823123506167
SimSpace	0	0.15625	-0.008861898747712954
SimSpace	0	0.16666666666666666	-0.010427457405314838
SimSpace	0	0.17708333333333331	-0.012009792514622725
SimSpace	0	0.1875	-0.013625870478230884
SimSpace	0	0.19791666666666666	-0.015388285742771984
SimSpace	0	0.20833333333333331	-0.017160076463966584
SimSpace	0	0.21875	-0.01906826480995749
SimSpace	0	0.22916666666666666	-0.021112618903677577
SimSpace	0	0.23958333333333331	-0.023243622303594724
SimSpace	0	0.25	-0.0254479033800461
SimSpace	1	0.0	0.0
SimSpace	1	0.010416666666666666	-0.0012320599392957998
SimSpace	1	0.020833333333333332	0.00011363151021730536
SimSpace	1	0.03125	0.0010131789980051611
SimSpace	1	0.041666666666666664	0.001333018582763204
SimSpace	1	0.05208333333333333	0.0015319103141612153
SimSpace	1	0.0625	0.001458403656210902
SimSpace	1	0.07291666666666666	0.0013290633097208099
