genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
FCER1G,8.50357857758684e-12,1.25865338098736,2.52809092847176e-11,32.0837468424291,6.19021893461367,1009
EDNRB,1.29118916896374e-09,1.53625925413056,3.55077021465027e-09,31.4436969259804,5.53757747805107,348
EGFL7,3.15153642134417e-08,1.73308346417353,8.06206991506648e-08,29.9351878681588,5.13167689088831,227
MEDAG,9.78254453961424e-08,1.80452839566627,2.31415032119907e-07,29.1252346819468,5.34535050298063,196
CD14,2.64207260749208e-10,1.30128390102682,7.54877887854879e-10,28.6988889368957,5.70432982770849,706
KRT8,2.56209123439674e-10,1.23769103600268,7.4165798890432e-10,27.3344400919491,7.64157214799472,1008
ESM1,2.28677906059313e-07,1.76390118550084,5.2405353471926e-07,26.9717272088211,5.61973251817344,200
AQP1,1.52386686050787e-09,1.30647796262541,4.13889764582385e-09,26.5241348617217,5.63857144577181,649
CCND1,1.02660069471865e-09,1.22735153311472,2.89554042100132e-09,25.402510377578,8.3093896479439,1010
GPR183,5.84752302689528e-09,1.32823509975683,1.54994586255056e-08,25.1796817627936,5.84457499756595,570
SFRP4,1.47884894009567e-07,1.57604069824793,3.4247028086426e-07,24.786126670213,5.40038303839461,274
C1QC,5.6162200032392e-09,1.30091898005333,1.50679073257637e-08,24.7143475175023,5.61031387122874,636
PTGDS,1.0076615574967e-07,1.49322783978717,2.35835683669441e-07,24.0565923026787,5.4618435533681,324
CD8A,6.89926716794856e-08,1.34021500342075,1.68648752994298e-07,22.0991610795124,6.04839507438685,490
HAVCR2,8.14390395007933e-08,1.34490843223113,1.96885590001918e-07,21.9534932017961,5.47006983499919,490
PCOLCE,7.03892215354082e-07,1.54721675988848,1.58016619773365e-06,21.9188637609837,5.13468599701455,264
FGL2,5.12339800319934e-08,1.3012990289296,1.28084950079983e-07,21.8447283287773,5.81908060437909,571
CD163,6.03685971006492e-08,1.31087871234873,1.49225745642054e-07,21.79047044222,5.65458292259675,555
DSC2,2.5227099955395e-08,1.22907347666293,6.60709760736536e-08,21.503066993683,4.94095551483573,857
CD4,3.00679114961665e-08,1.21831081926306,7.78228297547838e-08,21.1009086175979,5.90990961080627,918
MRC1,5.44899750685281e-07,1.43075920004983,1.23585510464703e-06,20.6353592113762,5.62663370402382,345
TCIM,4.42419973607509e-08,1.20209843075028,1.11876315165117e-07,20.3558435677076,7.59683244697992,1011
MYO5B,8.81984785022265e-08,1.19847899232598,2.1090940511402e-07,19.467704593509,6.37721444945447,1009
LPXN,9.07011101281839e-07,1.27035481817789,1.97566774536638e-06,17.6745877818744,5.25187251151553,583
IL2RG,1.50976306198821e-06,1.30070313015395,3.22473663725638e-06,17.4340496273341,5.67924324356596,497
ITGAM,1.279734139258e-05,1.53186385321644,2.58294963886935e-05,17.2583965412224,5.13368908656713,240
LYZ,9.04296891698141e-07,1.19865368556685,1.97566774536638e-06,16.6805942753403,6.05644679016515,865
TPD52,8.11709579296633e-07,1.18213793757035,1.80379906510363e-06,16.5784481015629,6.74454243455612,1009
MYLK,2.41787945950742e-06,1.26214566581309,5.06603315325364e-06,16.3228498493762,5.51710090424541,561
KLRB1,1.03607237587949e-05,1.38690594332491,2.11051780271748e-05,15.9181969633416,5.87417588448374,334
RHOH,1.36517374587124e-06,1.17760862077185,2.9444923930556e-06,15.9026963119018,5.50351712655501,1007
CTTN,2.11402892807383e-06,1.17379026392837,4.47198427092541e-06,15.3378175908081,7.35284092467533,1009
BACE2,2.96610198606169e-06,1.17356719409044,6.15606072578841e-06,14.9374706385902,5.07131319307097,1001
HMGA1,3.21380960973593e-06,1.17031504492376,6.6078328424477e-06,14.8022073353892,6.13639301375132,1009
OCIAD2,1.31505048737805e-05,1.15845077263249,2.6301009747561e-05,13.0198866272208,5.09521091603678,1009
SH3YL1,1.42816054619176e-05,1.15812789420502,2.8305884699296e-05,12.9206980690991,6.10785658552661,1008
APOC1,2.01543175098069e-05,1.18593944928598,3.92384942668806e-05,12.8224864606277,5.80388751669349,764
CD8B,0.000172127907119063,1.44462714636456,0.000318219660220116,12.5209774439451,5.6066397930575,243
PDK4,1.99892203978522e-05,1.15416699662557,3.92384942668806e-05,12.4884532474269,6.27825664089822,1011
MNDA,0.000168962921965812,1.36239633855565,0.000315015617224396,11.8335447110645,5.33558028353822,296
CTLA4,0.000588137068030693,1.54298600951294,0.00101882011784844,11.4775793962768,5.85511862791904,184
IGSF6,7.86545587424595e-05,1.19888905918639,0.00014917243899432,11.3300350762709,5.46455081275251,627
SDC4,6.0662783325536e-05,1.15558136938891,0.000117068529224719,11.2209033010071,4.87453818130921,903
S100A4,7.23760021896329e-05,1.16635953019389,0.000138458438971472,11.1196469435538,5.68242867205222,811
