genes,observed,p.value
CCL5,0.0737220347407278,0.000975609756097561
CXCR4,0.0543260157861704,0.000975609756097561
PTPRC,0.043946419729277,0.000975609756097561
KRT7,0.0354365147512702,0.000975609756097561
CD3G,0.0346958887556983,0.000975609756097561
CYTIP,0.0333618639818277,0.000975609756097561
EPCAM,0.0331501610059922,0.000975609756097561
CD3E,0.0326255979702768,0.000975609756097561
TRAC,0.0325258665323678,0.000975609756097561
GZMA,0.0322447098406098,0.000975609756097561
ITM2C,0.0318634894099222,0.000975609756097561
FOXA1,0.0311655802968234,0.000975609756097561
FASN,0.0304929948807051,0.000975609756097561
IL7R,0.0299445186828015,0.000975609756097561
ANKRD30A,0.0251937349160974,0.000975609756097561
CD247,0.0249317132243685,0.000975609756097561
ERBB2,0.0248807036748642,0.000975609756097561
IL2RG,0.024814539418186,0.000975609756097561
LDHB,0.0224584424754474,0.000975609756097561
TACSTD2,0.0223370101809439,0.000975609756097561
GATA3,0.0222032344076493,0.000975609756097561
LUM,0.0214091921529877,0.000975609756097561
MLPH,0.0212681460565297,0.000975609756097561
SLAMF7,0.0203063817762859,0.000975609756097561
LPXN,0.0201580074593167,0.000975609756097561
SCD,0.0194620081369409,0.000975609756097561
CD8A,0.0192834264662902,0.000975609756097561
S100A4,0.0190999772069392,0.000975609756097561
PDGFRB,0.0188493430317591,0.000975609756097561
ABCC11,0.0187413594677856,0.000975609756097561
CD8B,0.0186353212266213,0.000975609756097561
VWF,0.0182713372682918,0.000975609756097561
POSTN,0.0182034327927912,0.000975609756097561
MYO5B,0.0181596062250516,0.000975609756097561
ZEB1,0.0179268164275057,0.000975609756097561
DUSP2,0.0175458904745565,0.000975609756097561
KRT8,0.0173824704770471,0.000975609756097561
CCND1,0.0172599003074499,0.000975609756097561
PRDM1,0.0170279020862944,0.000975609756097561
TCF4,0.0169255535696426,0.000975609756097561
ZEB2,0.0166682913731328,0.000975609756097561
TENT5C,0.0166301956779265,0.000975609756097561
PECAM1,0.0161972737674545,0.000975609756097561
CAVIN2,0.015766182925449,0.000975609756097561
CD93,0.0156969472753991,0.000975609756097561
CXCL12,0.0156680645257835,0.000975609756097561
IL3RA,0.0148966204323983,0.000975609756097561
CDH1,0.0146224333949033,0.000975609756097561
CD9,0.0144294333804715,0.000975609756097561
ERN1,0.0138626010685309,0.000975609756097561
PDGFRA,0.0133439225960715,0.000975609756097561
RAMP2,0.0133012739717858,0.000975609756097561
SLAMF1,0.0132397618210998,0.000975609756097561
MAP3K8,0.0130120635550668,0.000975609756097561
KLRB1,0.0124284419428267,0.000975609756097561
SVIL,0.012026587896182,0.000975609756097561
ACTA2,0.011830398392711,0.000975609756097561
CLEC14A,0.0109761588424077,0.000975609756097561
CD4,0.009986137112156,0.000975609756097561
RUNX1,0.00970466763654557,0.000975609756097561
KARS,-0.00958835702975113,0.000975609756097561
DSP,0.00912172721349815,0.000975609756097561
LRRC15,0.00862687654254004,0.000975609756097561
SERPINB9,0.00859664285637452,0.000975609756097561
ESM1,0.0145437154357362,0.00195121951219512
CAV1,0.0112325257368904,0.00195121951219512
