genes,observed,p.value
RAMP2,0.0687332055435895,0.000975609756097561
PECAM1,0.0662260258435972,0.000975609756097561
VWF,0.063189174904051,0.000975609756097561
CLEC14A,0.0577408645419206,0.000975609756097561
CAV1,0.0575748633566369,0.000975609756097561
CD93,0.055817651756207,0.000975609756097561
TOP2A,0.0530547207959234,0.000975609756097561
HOXD9,0.0523867274935533,0.000975609756097561
BTNL9,0.0501392020968309,0.000975609756097561
KDR,0.0483999670487198,0.000975609756097561
CENPF,0.0453669505239797,0.000975609756097561
AQP1,0.0448794470571669,0.000975609756097561
CCL5,0.0444217629771977,0.000975609756097561
NOSTRIN,0.0355610541501049,0.000975609756097561
CCDC80,0.0308251191707485,0.000975609756097561
LDHB,0.0295177499975592,0.000975609756097561
FGL2,0.028934717675289,0.000975609756097561
TCF4,0.0285730045371001,0.000975609756097561
HOXD8,0.0285356423872959,0.000975609756097561
MYLK,0.0271664664096437,0.000975609756097561
MKI67,0.0262218351864491,0.000975609756097561
LUM,0.0250907840114374,0.000975609756097561
CD3E,0.0246083310612915,0.000975609756097561
PPARG,0.0244431706429902,0.000975609756097561
IL3RA,0.0234941298395391,0.000975609756097561
CD247,0.0209623542933898,0.000975609756097561
ERBB2,0.0208242320865874,0.000975609756097561
LPXN,0.0206841042404933,0.000975609756097561
FOXA1,0.0196642749762332,0.000975609756097561
CXCR4,0.0194566512869664,0.000975609756097561
MLPH,0.0193003071719243,0.000975609756097561
ADGRE5,0.0191409338040885,0.000975609756097561
KRT7,0.0189593651811197,0.000975609756097561
ANKRD30A,0.0186347443383293,0.000975609756097561
FASN,0.0183845317751924,0.000975609756097561
TRAC,0.0177058758952947,0.000975609756097561
AR,0.0175331654146451,0.000975609756097561
GATA3,0.0157996489941474,0.000975609756097561
DSP,0.0156716575241321,0.000975609756097561
KRT8,0.0148406473173928,0.000975609756097561
CD14,0.013089821108016,0.000975609756097561
PTPRC,0.0127616610049893,0.000975609756097561
CAVIN2,0.0245966272362336,0.00195121951219512
RTKN2,0.0211069131370928,0.00195121951219512
EGFR,0.017841137760137,0.00195121951219512
ZEB1,0.0177946229655715,0.00195121951219512
FCGR3A,0.0172369625018432,0.00195121951219512
PRDM1,0.0170885488270071,0.00195121951219512
CDH1,0.0170161225851913,0.00195121951219512
CXCL12,0.0165755910063706,0.00195121951219512
ESR1,0.0164152598450852,0.00195121951219512
IL2RG,0.0159666687850767,0.00195121951219512
PCLAF,0.0148684229295616,0.00195121951219512
SERPINB9,0.0136969116210087,0.00195121951219512
MMRN2,0.0332818849177338,0.00292682926829268
TYROBP,0.0170363130462761,0.00292682926829268
EPCAM,0.0162860577133778,0.00292682926829268
PTN,0.0149584387520623,0.00292682926829268
FSTL3,0.0141110083616579,0.00292682926829268
FBLIM1,0.0151224718515146,0.00390243902439024
CD9,0.0136410872452267,0.00390243902439024
SOX17,0.0219521044414411,0.00487804878048781
LYZ,0.0128863626770148,0.00487804878048781
CD4,0.0118251983912007,0.00487804878048781
GZMA,0.0140965440628322,0.00585365853658537
GPR183,0.013515343590976,0.00585365853658537
CD3G,0.0134315071971383,0.00585365853658537
SCD,0.0129623917375177,0.00682926829268293
AVPR1A,0.0102424682595121,0.00975609756097561
ACTA2,0.0126418531669476,0.0107317073170732
HOOK2,0.0117717388023564,0.0107317073170732
CD8A,0.0105958913670913,0.0107317073170732
SLAMF7,0.0126210050925284,0.0126829268292683
ANKRD29,0.0115472163191822,0.0136585365853659
CTLA4,0.0119522490437325,0.0146341463414634
TACSTD2,0.0109074846446875,0.0146341463414634
DNTTIP1,0.0107010394317668,0.0146341463414634
KARS,-0.0110627958685096,0.015609756097561
MMP2,0.0120070512172364,0.0224390243902439
CD86,0.010136891270225,0.0224390243902439
RAB30,0.00945498332822599,0.0224390243902439
HDC,0.00940197812272332,0.0263414634146342
PDGFRA,0.0108609844365643,0.0341463414634146
ANGPT2,0.00861850264978519,0.0409756097560976
ESM1,0.00842841008153225,0.0448780487804878
TRAF4,0.00925485946867015,0.0468292682926829
ITGAX,0.00817976776938726,0.0487804878048781
S100A14,0.0083564141726656,0.0526829268292683
FAM107B,0.00777072162318803,0.0546341463414634
DUSP5,0.00794511105328539,0.0565853658536585
SLC5A6,0.00857713066721169,0.0634146341463415
SQLE,-0.0082494744266859,0.064390243902439
PDGFRB,0.00930104414582179,0.0673170731707317
C6orf132,0.00757077296967121,0.0692682926829268
DUSP2,-0.00745096520022508,0.0702439024390244
SFRP4,0.00836289990789341,0.0712195121951219
SNAI1,0.00744504421356553,0.08
POSTN,0.00829932489763594,0.0858536585365854
PDK4,0.00712700818271864,0.0936585365853658
APOBEC3B,0.00703575711770681,0.095609756097561
CCDC6,0.00747699299903105,0.102439024390244
SH3YL1,0.00764271642336142,0.113170731707317
AIF1,0.0065408463885395,0.117073170731707
SMAP2,-0.00676138124785052,0.122926829268293
HPX,0.00673669540633564,0.122926829268293
MEDAG,0.00621019316964541,0.128780487804878
CEACAM6,-0.00604379115583773,0.132682926829268
MYO5B,-0.00631706399834751,0.148292682926829
BASP1,0.00670355878622708,0.151219512195122
S100A4,0.00641967469653486,0.151219512195122
PELI1,0.00622054844147663,0.159024390243902
SDC4,0.00591801648680373,0.167804878048781
PDE4A,0.0060612328771321,0.176585365853659
FBLN1,0.00649933578019099,0.193170731707317
ZNF562,-0.00554617427235059,0.194146341463415
USP53,-0.0055729000256272,0.19609756097561
KRT15,0.00547778587345575,0.207804878048781
AKR1C1,0.00601734281796089,0.214634146341463
CYTIP,0.00564456460677042,0.214634146341463
IL7R,0.00530479646829913,0.224390243902439
JUP,0.00557957079613039,0.235121951219512
MNDA,-0.00467934913133723,0.235121951219512
LAG3,0.00504529805083619,0.24390243902439
CD163,-0.00426082840043597,0.258536585365854
LGALSL,0.00482164908395471,0.266341463414634
TOMM7,0.00502382331778227,0.275121951219512
QARS,0.00463532241795085,0.286829268292683
ITGAM,0.00379889604413887,0.286829268292683
SLAMF1,0.00366949906810462,0.286829268292683
ERN1,-0.00448547106531972,0.290731707317073
RORC,-0.00470935351023589,0.295609756097561
C1QA,-0.00415509407039245,0.295609756097561
TENT5C,0.00467632236713123,0.300487804878049
DPT,-0.00469052614812284,0.311219512195122
ADAM9,0.00464061247153079,0.31219512195122
CLDN4,-0.00430462323914736,0.32
PIM1,0.0042358338692872,0.321951219512195
TCIM,0.00441698725425143,0.327804878048781
TIFA,-0.00443014005465497,0.330731707317073
CTTN,0.00423348979698731,0.333658536585366
PCOLCE,0.00433783588955888,0.335609756097561
LPL,-0.00371878606969748,0.342439024390244
HMGA1,0.0042585858580173,0.343414634146342
HAVCR2,0.00419897408156661,0.343414634146342
SERPINA3,0.00384715005122966,0.350243902439024
ZEB2,-0.00384317562417601,0.352195121951219
EIF4EBP1,0.00383617931324607,0.377560975609756
MZB1,0.00328989951706099,0.378536585365854
NPM3,0.00380955186341255,0.382439024390244
SEC11C,0.0039515666352352,0.383414634146341
CD68,0.00365934552330792,0.394146341463415
RUNX1,0.00402598485164858,0.399024390243902
CD69,-0.00391625301488454,0.402926829268293
FCER1G,0.00312253409326394,0.429268292682927
EGFL7,0.00340029478048314,0.431219512195122
TPD52,0.00326715712937376,0.450731707317073
OCIAD2,-0.003053410309181,0.457560975609756
PTRHD1,0.00296804759844554,0.457560975609756
CCPG1,-0.00339375101318086,0.463414634146342
ELF3,0.00352583581453392,0.473170731707317
CRISPLD2,0.00307273637841902,0.478048780487805
