seed	feature_level	component	moran_i
3	marker_gene	Gene_21	0.2883132166240062
3	marker_gene	Gene_22	0.29627161412163855
3	marker_gene	Gene_23	0.31896238902294277
3	marker_gene	Gene_24	0.1205924049613626
3	marker_gene	Gene_27	0.06826837758030185
3	marker_gene	Gene_28	0.037891488502155436
3	marker_gene	Gene_30	0.23576943207525997
3	marker_gene	Gene_31	0.1580335451959177
3	marker_gene	Gene_32	0.12551976862109665
3	marker_gene	Gene_33	0.08421365474389127
3	marker_gene	Gene_34	0.21211380970093824
3	marker_gene	Gene_35	0.19736151433740168
4	niche_indicator	niche_0	0.6097527884278706
4	niche_indicator	niche_1	0.5896265791068274
4	niche_indicator	niche_2	0.5897085152858342
4	phenotype_indicator	state_0	0.2501563937489841
4	phenotype_indicator	state_1	0.2585908172562604
4	phenotype_indicator	state_2	0.24442102020857207
4	phenotype_indicator	state_3	0.24971926564041466
4	phenotype_indicator	state_4	0.2521419259795468
4	phenotype_indicator	state_5	0.24592823223329988
4	marker_gene	Gene_2	0.22406531402746885
4	marker_gene	Gene_3	0.34254350991731697
4	marker_gene	Gene_6	0.12932854995067855
4	marker_gene	Gene_7	0.26696290243915993
4	marker_gene	Gene_9	0.004887061363528022
4	marker_gene	Gene_10	0.28000782922916134
4	marker_gene	Gene_11	0.08701566280402707
4	marker_gene	Gene_12	0.1655838319198411
4	marker_gene	Gene_13	0.42035240746065305
4	marker_gene	Gene_15	0.08764736335720796
4	marker_gene	Gene_16	0.029912790329567444
4	marker_gene	Gene_17	0.22986164108581528
4	marker_gene	Gene_18	0.20039758260291643
4	marker_gene	Gene_21	0.25890428713107605
4	marker_gene	Gene_23	0.16701797910901503
4	marker_gene	Gene_24	0.017306300448978598
4	marker_gene	Gene_25	0.05909518928842018
4	marker_gene	Gene_27	0.08921827701630365
4	marker_gene	Gene_28	0.13851880480024653
4	marker_gene	Gene_29	0.1513515058715443
4	marker_gene	Gene_30	0.12315929739285063
4	marker_gene	Gene_32	0.2213386755811717
4	marker_gene	Gene_33	0.042768039321223666
4	marker_gene	Gene_34	0.21759387079901482
5	niche_indicator	niche_0	0.6210815051745023
5	niche_indicator	niche_1	0.6082619620172007
5	niche_indicator	niche_2	0.6051471724554323
5	phenotype_indicator	state_0	0.2604162828507607
5	phenotype_indicator	state_1	0.2606021182281193
5	phenotype_indicator	state_2	0.25256979336827357
5	phenotype_indicator	state_3	0.24177370306076607
5	phenotype_indicator	state_4	0.25056944303909157
5	phenotype_indicator	state_5	0.2607219307226278
5	marker_gene	Gene_1	0.06837440020131541
5	marker_gene	Gene_2	0.2243807254352152
5	marker_gene	Gene_3	0.37371807304532356
5	marker_gene	Gene_4	0.45705740058592037
5	marker_gene	Gene_6	0.1879933974588294
5	marker_gene	Gene_7	0.3744639608807045
5	marker_gene	Gene_9	0.0690999531745253
5	marker_gene	Gene_11	0.17130539237344236
5	marker_gene	Gene_12	0.28698363510068425
5	marker_gene	Gene_13	0.19898085197241192
5	marker_gene	Gene_14	0.11978945981374442
5	marker_gene	Gene_15	0.21980902374835745
5	marker_gene	Gene_17	0.2318272867607371
5	marker_gene	Gene_18	0.11782815390295692
5	marker_gene	Gene_19	0.2781617073080481
5	marker_gene	Gene_20	0.0678073757310961
5	marker_gene	Gene_21	0.4885680198513215
5	marker_gene	Gene_26	0.15969351896709655
5	marker_gene	Gene_27	0.0026565835506847514
5	marker_gene	Gene_28	0.13936365842117932
5	marker_gene	Gene_29	0.19857002639518184
5	marker_gene	Gene_31	0.099250605631639
5	marker_gene	Gene_32	0.10793915567759085
5	marker_gene	Gene_35	0.12451950699883155
6	niche_indicator	niche_0	0.5925637132226513
6	niche_indicator	niche_1	0.6035225252303446
6	niche_indicator	niche_2	0.591983381992214
6	phenotype_indicator	state_0	0.24115162814259866
6	phenotype_indicator	state_1	0.25215594154537513
6	phenotype_indicator	state_2	0.2485153381403827
6	phenotype_indicator	state_3	0.25789984709593905
6	phenotype_indicator	state_4	0.24692197953460263
6	phenotype_indicator	state_5	0.24748358553226343
6	marker_gene	Gene_1	0.3256288019080749
6	marker_gene	Gene_2	0.18162968335564586
6	marker_gene	Gene_3	0.141688538237266
6	marker_gene	Gene_5	0.21623840977535863
6	marker_gene	Gene_6	0.15609033871542302
6	marker_gene	Gene_8	0.18288194785028938
6	marker_gene	Gene_9	0.0852377875541347
6	marker_gene	Gene_10	0.25391775379832776
6	marker_gene	Gene_11	0.13750616862321255
6	marker_gene	Gene_14	0.12229676661946315
6	marker_gene	Gene_18	0.19248917438408095
6	marker_gene	Gene_19	0.35736673498518357
6	marker_gene	Gene_20	0.34182838844186186
6	marker_gene	Gene_21	0.12204682105492361
6	marker_gene	Gene_23	0.18910642109528372
6	marker_gene	Gene_25	0.09868863019939382
6	marker_gene	Gene_26	0.12719458987796933
6	marker_gene	Gene_27	0.10578423521139994
6	marker_gene	Gene_28	0.06447695124844545
6	marker_gene	Gene_29	0.1830463089063078
6	marker_gene	Gene_31	0.09351498191082609
6	marker_gene	Gene_32	0.2294637516336824
6	marker_gene	Gene_34	0.1620624380043915
6	marker_gene	Gene_35	0.112617914511872
7	niche_indicator	niche_0	0.586898405998543
7	niche_indicator	niche_1	0.5904746683115016
7	niche_indicator	niche_2	0.5849534296667854
7	phenotype_indicator	state_0	0.24513610606852296
7	phenotype_indicator	state_1	0.25037759434174817
7	phenotype_indicator	state_2	0.24441360706737242
7	phenotype_indicator	state_3	0.24967722352178742
7	phenotype_indicator	state_4	0.24659365851771856
7	phenotype_indicator	state_5	0.23956604370507514
7	marker_gene	Gene_0	0.07507162354137577
7	marker_gene	Gene_1	0.20055675568027423
7	marker_gene	Gene_3	0.16750272191592114
7	marker_gene	Gene_4	0.22281252122821896
7	marker_gene	Gene_7	0.13301036442176908
7	marker_gene	Gene_9	0.028899081775943167
7	marker_gene	Gene_10	0.34531355226616
7	marker_gene	Gene_11	0.4565875981403168
7	marker_gene	Gene_12	0.146034484598879
7	marker_gene	Gene_15	0.13037161811298
7	marker_gene	Gene_16	0.1595423185026816
7	marker_gene	Gene_17	0.13132027032371196
7	marker_gene	Gene_18	0.12361823762312542
7	marker_gene	Gene_19	0.06612022065840929
7	marker_gene	Gene_22	0.20172506820981356
7	marker_gene	Gene_23	0.22898952134983785
7	marker_gene	Gene_26	0.3203307818255391
7	marker_gene	Gene_27	0.15425241536238993
7	marker_gene	Gene_28	0.3833010494381374
7	marker_gene	Gene_29	0.22028824474410455
7	marker_gene	Gene_31	0.03635945230261488
7	marker_gene	Gene_32	0.05685811467859075
7	marker_gene	Gene_33	0.208841778169909
7	marker_gene	Gene_34	0.11972174952653993
8	niche_indicator	niche_0	0.5862195183950095
8	niche_indicator	niche_1	0.5834540998952296
8	niche_indicator	niche_2	0.5858503346308934
8	phenotype_indicator	state_0	0.22963638708079032
8	phenotype_indicator	state_1	0.23586596117841432
8	phenotype_indicator	state_2	0.25321844570860513
8	phenotype_indicator	state_3	0.2528266536970954
8	phenotype_indicator	state_4	0.2498462921240121
8	phenotype_indicator	state_5	0.24580021753196982
8	marker_gene	Gene_0	0.302032208357396
8	marker_gene	Gene_2	0.263867261706451
8	marker_gene	Gene_4	0.12710059446603916
8	marker_gene	Gene_6	0.03552687547983561
8	marker_gene	Gene_7	0.17577833212510233
8	marker_gene	Gene_8	0.15286356537426424
8	marker_gene	Gene_9	0.2809797211719524
8	marker_gene	Gene_10	0.17183583200105504
8	marker_gene	Gene_11	0.12805008405713028
8	marker_gene	Gene_13	0.23262693616632635
8	marker_gene	Gene_15	0.11335119529395637
8	marker_gene	Gene_17	0.09333706515101568
8	marker_gene	Gene_20	0.06588643376447474
8	marker_gene	Gene_21	0.15909665083538424
8	marker_gene	Gene_22	0.16879355175478683
8	marker_gene	Gene_23	0.07122067797293374
8	marker_gene	Gene_24	0.2709300069594844
8	marker_gene	Gene_26	0.09430179544378674
8	marker_gene	Gene_27	0.31518609080416765
8	marker_gene	Gene_28	0.17888536238917452
8	marker_gene	Gene_29	0.224355541166649
8	marker_gene	Gene_30	0.2766935413678681
8	marker_gene	Gene_32	0.43548325401346005
8	marker_gene	Gene_35	0.103420567413875
9	niche_indicator	niche_0	0.5676089476333591
9	niche_indicator	niche_1	0.5686653041437207
9	niche_indicator	niche_2	0.5870651184705551
9	phenotype_indicator	state_0	0.24482824341530082
9	phenotype_indicator	state_1	0.2443455452356417
9	phenotype_indicator	state_2	0.25478002557060436
9	phenotype_indicator	state_3	0.2510338036548373
9	phenotype_indicator	state_4	0.22623028885612945
9	phenotype_indicator	state_5	0.2264356804555894
9	marker_gene	Gene_0	0.03532910587009875
9	marker_gene	Gene_3	0.3785188957862362
9	marker_gene	Gene_4	0.15635398367832432
9	marker_gene	Gene_5	0.05788713419997115
9	marker_gene	Gene_8	0.11106826248194092
9	marker_gene	Gene_9	0.0923479216552066
9	marker_gene	Gene_10	0.13372671559557017
9	marker_gene	Gene_12	0.10531435930781664
9	marker_gene	Gene_13	0.1335660534377207
9	marker_gene	Gene_15	0.3040133296075613
9	marker_gene	Gene_16	0.1510565597429916
9	marker_gene	Gene_17	0.119055796814216
9	marker_gene	Gene_18	0.140709303340964
9	marker_gene	Gene_20	0.18946975932626167
9	marker_gene	Gene_21	0.19841293168584723
9	marker_gene	Gene_22	0.16270202235766731
9	marker_gene	Gene_24	0.1601431113794173
9	marker_gene	Gene_25	0.30542140176315996
9	marker_gene	Gene_26	0.38913581491806104
9	marker_gene	Gene_27	0.15742222287967836
9	marker_gene	Gene_28	0.318226541871031
9	marker_gene	Gene_29	0.16539292082674142
9	marker_gene	Gene_33	0.12961974367005114
9	marker_gene	Gene_34	0.226568629892262
