Gene,C,Z,Pval,FDR
DMKN,0.012574163257146411,3.5533643,0.0001901686992557488,0.00040433927317484454
VWF,0.009250944005688603,3.4915476,0.00024011545774812828,0.0005056277427580778
RAPGEF3,0.011120377269714075,3.4639015,0.00026620069127207584,0.0005552185846531868
CCDC6,0.01224952968963937,3.2773135,0.0005239997454586745,0.001082603247692922
USP53,0.011593160832335001,3.2674398,0.0005426246402775778,0.0011106055721569117
CD3G,0.005314881951060078,3.1989293,0.0006896949350951175,0.0013985480628317662
OXTR,0.00958870611267508,3.1940687,0.0007014137182382535,0.001409262424717225
NOSTRIN,0.00823914696793792,3.153182,0.0008075053269437409,0.0016076696963698116
NARS,0.011708557894322187,3.1217592,0.0008988696530959886,0.0017734455317839773
PDE4A,0.00808231454885419,3.0489786,0.0011481043145044301,0.002244953972111341
RAB30,0.00841310602427105,3.0425432,0.001172940818364182,0.0022732215860332373
CLEC14A,0.007478832660866419,2.979095,0.0014455057343899127,0.002776892595012201
SLAMF1,0.006105883224281186,2.9289684,0.00170044481296657,0.003238238382953729
DSC2,0.009755835603149087,2.8553224,0.002149658313945419,0.004058406644431438
TOP2A,0.010269653910771897,2.7031617,0.0034341660498079995,0.006428054400922666
FAM107B,0.008675871556464649,2.69154,0.003556148410112089,0.006599970354360572
TCF4,0.007371066960246785,2.6002834,0.004657340240923799,0.008571071535817747
IL2RG,0.004471253327923052,2.5819156,0.00491268027030912,0.008965641493314145
AKR1C1,0.006640197833269461,2.4960628,0.006279019118847628,0.011364505677914302
BTNL9,0.005518901496861394,2.4874682,0.00643279697912219,0.011547397855965242
OCIAD2,0.00849209218487078,2.484343,0.006489535350547924,0.011554538550975572
ITGAM,0.006264694389545272,2.4788334,0.006590642202760151,0.011639924535519946
FLNB,0.008153965939556532,2.3513603,0.009352455443876978,0.016385501937672464
PPARG,0.007378166558016968,2.3305683,0.009888066968061486,0.01718640211115449
LARS,0.008328521641666406,2.302119,0.010664230638746637,0.01838950007783869
RTKN2,0.010261652616165165,2.2937772,0.010901649066452803,0.018652040199634092
