section	group	metric	n_seeds	median	minimum	maximum
direct_spatial_effect	basis=radial; configured_strength=0.0	observed_strength	20	0.0036325621097918473	-0.021706019762468592	0.022491131722212218
direct_spatial_effect	basis=radial; configured_strength=0.25	latent_strength	20	0.24999999999999997	0.24999999999999983	0.2500000000000001
direct_spatial_effect	basis=radial; configured_strength=0.25	observed_strength	20	0.24853372374047206	0.21709123217329393	0.2752257006262523
direct_spatial_effect	basis=radial; configured_strength=0.5	latent_strength	20	0.49999999999999994	0.49999999999999967	0.5000000000000002
direct_spatial_effect	basis=radial; configured_strength=0.5	observed_strength	20	0.5043545826552598	0.464764337198447	0.5374690838229437
direct_spatial_effect	basis=radial; configured_strength=0.75	latent_strength	20	0.75	0.7499999999999994	0.7500000000000003
direct_spatial_effect	basis=radial; configured_strength=0.75	observed_strength	20	0.7540591563884269	0.7123956152894357	0.7751318654836115
direct_spatial_effect	basis=radial; configured_strength=1.0	latent_strength	20	0.9999999999999999	0.9999999999999994	1.0000000000000004
direct_spatial_effect	basis=radial; configured_strength=1.0	observed_strength	20	0.9962471252529899	0.9540469694715936	1.0245674267742668
direct_spatial_effect	basis=structure_distance; configured_strength=-1.0	latent_strength	20	-1.0	-1.0000000000000004	-0.9999999999999993
direct_spatial_effect	basis=structure_distance; configured_strength=-1.0	observed_strength	20	-0.9983322382928277	-1.0317024412869347	-0.9683176580848121
direct_spatial_effect	basis=structure_distance; configured_strength=-0.75	latent_strength	20	-0.75	-0.7500000000000006	-0.7499999999999991
direct_spatial_effect	basis=structure_distance; configured_strength=-0.75	observed_strength	20	-0.7493374015210758	-0.7841235835546575	-0.7179996140908933
direct_spatial_effect	basis=structure_distance; configured_strength=-0.5	latent_strength	20	-0.5	-0.5000000000000002	-0.49999999999999967
direct_spatial_effect	basis=structure_distance; configured_strength=-0.5	observed_strength	20	-0.4973974389907758	-0.5190452198967583	-0.45983300871332256
direct_spatial_effect	basis=structure_distance; configured_strength=-0.25	latent_strength	20	-0.25	-0.2500000000000001	-0.24999999999999983
direct_spatial_effect	basis=structure_distance; configured_strength=-0.25	observed_strength	20	-0.24862406027929868	-0.2945595169928277	-0.21794899074335417
direct_spatial_effect	basis=structure_distance; configured_strength=0.0	latent_strength	20	0.0	0.0	0.0
direct_spatial_effect	basis=structure_distance; configured_strength=0.0	observed_strength	20	-0.0022653352946196627	-0.020100922365023394	0.02219256643403395
direct_spatial_effect	basis=structure_distance; configured_strength=0.25	latent_strength	20	0.24999999999999997	0.24999999999999983	0.2500000000000001
direct_spatial_effect	basis=structure_distance; configured_strength=0.25	observed_strength	20	0.25096923845118635	0.22256619259157545	0.27932388416707776
direct_spatial_effect	basis=structure_distance; configured_strength=0.5	latent_strength	20	0.49999999999999994	0.49999999999999967	0.5000000000000002
direct_spatial_effect	basis=structure_distance; configured_strength=0.5	observed_strength	20	0.5071732751984692	0.46360100003179394	0.5229999555321034
direct_spatial_effect	basis=structure_distance; configured_strength=0.75	latent_strength	20	0.75	0.7499999999999991	0.7500000000000003
direct_spatial_effect	basis=structure_distance; configured_strength=0.75	observed_strength	20	0.7507814774265363	0.7264935163755317	0.8047709485103677
direct_spatial_effect	basis=structure_distance; configured_strength=1.0	latent_strength	20	1.0	0.9999999999999993	1.0000000000000004
direct_spatial_effect	basis=structure_distance; configured_strength=1.0	observed_strength	20	0.9968887225342113	0.9689262089430742	1.0276966097379199
observation_control_calibration	component=capture; level=efficiency_1	configured_value	20	1.0	1.0	1.0
observation_control_calibration	component=capture; level=efficiency_1	realized_value	20	1.0	1.0	1.0
observation_control_calibration	component=capture; level=efficiency_0.85	configured_value	20	0.85	0.85	0.85
observation_control_calibration	component=capture; level=efficiency_0.85	realized_value	20	0.8499363074960848	0.8497103010418126	0.8502026562410118
observation_control_calibration	component=capture; level=efficiency_0.7	configured_value	20	0.7	0.7	0.7
observation_control_calibration	component=capture; level=efficiency_0.7	realized_value	20	0.6999273875639775	0.6996817173307114	0.7002754216946889
observation_control_calibration	component=capture; level=efficiency_0.55	configured_value	20	0.55	0.55	0.55
observation_control_calibration	component=capture; level=efficiency_0.55	realized_value	20	0.5499371474360636	0.5496616543731674	0.5503041737216096
observation_control_calibration	component=capture; level=efficiency_0.4	configured_value	20	0.4	0.4	0.4
observation_control_calibration	component=capture; level=efficiency_0.4	realized_value	20	0.40005542166527125	0.39974099633705934	0.40036707424116974
observation_control_calibration	component=ambient; level=rate_0	configured_value	20	0.0	0.0	0.0
observation_control_calibration	component=ambient; level=rate_0	realized_value	20	0.0	0.0	0.0
observation_control_calibration	component=ambient; level=rate_5	configured_value	20	5.0	5.0	5.0
observation_control_calibration	component=ambient; level=rate_5	realized_value	20	5.0036836508955425	4.904320987654321	5.149002493765586
observation_control_calibration	component=ambient; level=rate_20	configured_value	20	20.0	20.0	20.0
observation_control_calibration	component=ambient; level=rate_20	realized_value	20	19.998467198038014	19.78827160493827	20.212176009644363
observation_control_calibration	component=ambient; level=rate_50	configured_value	20	50.0	50.0	50.0
observation_control_calibration	component=ambient; level=rate_50	realized_value	20	50.042352775234086	49.69968847352025	50.31242158092848
observation_control_calibration	component=ambient; level=rate_100	configured_value	20	100.0	100.0	100.0
observation_control_calibration	component=ambient; level=rate_100	realized_value	20	100.01468605132936	99.5	100.34390243902439
observation_control_calibration	component=dropout; level=Off	configured_value	20	0.0	0.0	0.0
observation_control_calibration	component=dropout; level=Off	realized_value	20	0.0	0.0	0.0
observation_control_calibration	component=dropout; level=Very low	configured_value	20	0.05076160312787892	0.049941023369893846	0.05160853845014388
observation_control_calibration	component=dropout; level=Very low	realized_value	20	0.050724054149033214	0.050318495297805646	0.051820086260012325
observation_control_calibration	component=dropout; level=Low	configured_value	20	0.1254525850532872	0.12373054396049589	0.1273168942418952
observation_control_calibration	component=dropout; level=Low	realized_value	20	0.12543163388664155	0.12427629911280101	0.12740357362908195
observation_control_calibration	component=dropout; level=Moderate	configured_value	20	0.27559261143934544	0.27283040642288464	0.27878814986158024
observation_control_calibration	component=dropout; level=Moderate	realized_value	20	0.275897479133294	0.27353358681875795	0.278788662969809
observation_control_calibration	component=dropout; level=High	configured_value	20	0.5000520916842636	0.49689116330781247	0.5036165285825421
observation_control_calibration	component=dropout; level=High	realized_value	20	0.5003647818283015	0.4975640050697085	0.5038706099815157
observation_consequences	condition=Clean	median_library_ratio	20	1.0	1.0	1.0
observation_consequences	condition=Clean	zero_fraction	20	0.001373883329650557	0.0011013941698352345	0.001767097966728281
observation_consequences	condition=Clean	mean_variance_spearman	20	0.5658270475838255	0.5333481525958238	0.6518073720198957
observation_consequences	condition=Clean	latent_recovery_pearson	20	0.80248465692401	0.7916472554271337	0.8081079771757794
observation_consequences	condition=Clean	observed_spatial_slope	20	0.9980407326017966	0.9683178678508375	1.0557211533183337
observation_consequences	condition=Capture 0.4	median_library_ratio	20	0.40007362399152513	0.3989832732043293	0.40100250626566414
observation_consequences	condition=Capture 0.4	zero_fraction	20	0.029546841663203448	0.027523447401774398	0.03150215650030807
observation_consequences	condition=Capture 0.4	mean_variance_spearman	20	0.7040324202777585	0.680401688858942	0.7699358628342847
observation_consequences	condition=Capture 0.4	latent_recovery_pearson	20	0.6461484592110097	0.6316944958137984	0.6544921627878137
observation_consequences	condition=Capture 0.4	observed_spatial_slope	20	1.0097013596472584	0.8987822578560304	1.1127793277158764
observation_consequences	condition=Ambient 100	median_library_ratio	20	1.01657346840345	1.016052416052416	1.0170882894957278
observation_consequences	condition=Ambient 100	zero_fraction	20	0.0011820738238791208	0.000917617237008872	0.0015243376463339494
observation_consequences	condition=Ambient 100	mean_variance_spearman	20	0.5682187431080536	0.5349792921146874	0.6537087080359283
observation_consequences	condition=Ambient 100	latent_recovery_pearson	20	0.8009225828949367	0.790102407830786	0.8066943765799461
observation_consequences	condition=Ambient 100	observed_spatial_slope	20	0.9831944879169073	0.9436274893644926	1.0373502673949866
observation_consequences	condition=Dropout high	median_library_ratio	20	0.5370403080967786	0.5329881409721062	0.5401593096581481
observation_consequences	condition=Dropout high	zero_fraction	20	0.5007578957335774	0.4979087452471483	0.5043339494762785
observation_consequences	condition=Dropout high	mean_variance_spearman	20	0.9357301019188191	0.9223924770815545	0.9519794351729456
