seed	component	level	configured_value	realized_value
7	ambient	rate_100	100.0	99.6742053789731
7	dropout	Off	0.0	0.0
7	dropout	Very low	0.0504061939195907	0.05066136919315403
7	dropout	Low	0.12483120144165329	0.12525427872860637
7	dropout	Moderate	0.2750009128961017	0.27596454767726164
7	dropout	High	0.49994699753902094	0.5004278728606357
8	capture	efficiency_1	1.0	1.0
8	capture	efficiency_0.85	0.85	0.8499036864362495
8	capture	efficiency_0.7	0.7	0.6999331609066488
8	capture	efficiency_0.55	0.55	0.5498920990656159
8	capture	efficiency_0.4	0.4	0.4001162454936282
8	ambient	rate_0	0.0	0.0
8	ambient	rate_5	5.0	4.985633978763273
8	ambient	rate_20	20.0	20.034353529044346
8	ambient	rate_50	50.0	50.041848844472206
8	ambient	rate_100	100.0	99.82323547782636
8	dropout	Off	0.0	0.0
8	dropout	Very low	0.05089716204537116	0.050801998750780765
8	dropout	Low	0.12575669725588498	0.12557526545908806
8	dropout	Moderate	0.276060461361571	0.2756951905059338
8	dropout	High	0.5002709163526601	0.5001011867582761
9	capture	efficiency_1	1.0	1.0
9	capture	efficiency_0.85	0.85	0.8498907100882644
9	capture	efficiency_0.7	0.7	0.6998232556174435
9	capture	efficiency_0.55	0.55	0.5498950800278848
9	capture	efficiency_0.4	0.4	0.4001785669166162
9	ambient	rate_0	0.0	0.0
9	ambient	rate_5	5.0	5.009858287122612
9	ambient	rate_20	20.0	20.035120147874306
9	ambient	rate_50	50.0	50.02772643253235
9	ambient	rate_100	100.0	99.83240911891559
9	dropout	Off	0.0	0.0
9	dropout	Very low	0.05154874583572438	0.05175723967960567
9	dropout	Low	0.1272102324066304	0.1273641404805915
9	dropout	Moderate	0.2786888029122989	0.27855452865064695
9	dropout	High	0.5036541388750124	0.5038176216882316
10	capture	efficiency_1	1.0	1.0
10	capture	efficiency_0.85	0.85	0.8500791137613525
10	capture	efficiency_0.7	0.7	0.700114938084793
10	capture	efficiency_0.55	0.55	0.5501501454566244
10	capture	efficiency_0.4	0.4	0.39984304751062083
10	ambient	rate_0	0.0	0.0
10	ambient	rate_5	5.0	5.037313432835821
10	ambient	rate_20	20.0	19.967039800995025
10	ambient	rate_50	50.0	50.115671641791046
10	ambient	rate_100	100.0	100.16853233830845
10	dropout	Off	0.0	0.0
10	dropout	Very low	0.05075275737975515	0.050921641791044775
10	dropout	Low	0.12540382371407002	0.12531218905472638
10	dropout	Moderate	0.27543430741385727	0.2751281094527363
10	dropout	High	0.49966799150603497	0.499613184079602
11	capture	efficiency_1	1.0	1.0
11	capture	efficiency_0.85	0.85	0.8498554359913036
11	capture	efficiency_0.7	0.7	0.6997348057437753
11	capture	efficiency_0.55	0.55	0.5497133880959609
11	capture	efficiency_0.4	0.4	0.40028008637428475
11	ambient	rate_0	0.0	0.0
11	ambient	rate_5	5.0	4.9661330049261085
11	ambient	rate_20	20.0	19.87192118226601
11	ambient	rate_50	50.0	49.95566502463054
11	ambient	rate_100	100.0	99.71674876847291
11	dropout	Off	0.0	0.0
11	dropout	Very low	0.05062265858547566	0.050435960591133006
11	dropout	Low	0.12525473056805841	0.1252167487684729
11	dropout	Moderate	0.2755329318866249	0.275871921182266
11	dropout	High	0.5002230223680931	0.5008177339901477
12	capture	efficiency_1	1.0	1.0
12	capture	efficiency_0.85	0.85	0.8497563309842745
