,combined_pvalue,adjusted_pvalue
ABCC11,5.55e-17,1.97112769153314e-15
ACTA2,5.55e-17,1.97112769153314e-15
ACTG2,0.402745737555924,1
ADAM9,0.56280310136773,1
ADGRE5,1.36557432028894e-13,2.27149481651315e-12
AIF1,1.67985956256445e-08,2.14318297841911e-07
AKR1C1,9.66321149431515e-05,0.000940613519288194
ANGPT2,0.391233152689673,1
ANKRD28,0.00118616800925686,0.0101215957136664
ANKRD29,0.00568539779094079,0.0458349489697536
ANKRD30A,5.55e-17,1.97112769153314e-15
APOBEC3B,0.284991441897005,1
APOC1,2.49752551972904e-10,3.56734906684682e-09
AQP1,2.22044604925031e-16,4.10965511289451e-15
AR,2.22044604925031e-16,4.10965511289451e-15
AVPR1A,1.03106907456407e-07,1.2097433361647e-06
BACE2,3.73275972354037e-08,4.50015049352294e-07
BASP1,4.79110973117258e-10,6.76981294931052e-09
BTNL9,1.41942013698326e-12,2.24727577343572e-11
C1QA,0.0821190461665627,0.609669024109982
C1QC,6.35592856124134e-09,8.26953583661334e-08
C2orf42,0.412246288416673,1
C6orf132,0.0626610631265728,0.470525549370263
CAV1,5.55e-17,1.97112769153314e-15
CAVIN2,2.22044604925031e-16,4.10965511289451e-15
CCDC6,0.0998366862016009,0.728855025195853
CCDC80,5.55e-17,1.97112769153314e-15
CCL5,5.55e-17,1.97112769153314e-15
CCL8,0.0360482415860767,0.278649753809382
CCND1,1.11022302462516e-16,2.86064228446579e-15
CCPG1,5.73849656924086e-05,0.00056698293210018
CD14,1.8269615154054e-08,2.30844515024419e-07
CD163,1.40216505073454e-10,2.0267646184452e-09
CD247,1.22124532708767e-14,2.11160568629646e-13
CD3D,2.77288325634117e-09,3.68061075553042e-08
CD3E,5.55e-17,1.97112769153314e-15
CD3G,2.22044604925031e-16,4.10965511289451e-15
CD4,2.45161302370178e-08,3.01086748906036e-07
CD68,2.22044604925031e-16,4.10965511289451e-15
CD69,3.00288075516519e-07,3.40175943153912e-06
CD83,7.57796596329019e-05,0.000743141221678453
CD86,0.00462167607651642,0.0379579737321573
CD8A,3.77475828372553e-15,6.70318070441037e-14
CD8B,1.28153043732482e-12,2.05370742484026e-11
CD9,5.55e-17,1.97112769153314e-15
CD93,1.11022302462516e-16,2.86064228446579e-15
CDC42EP1,0.408817578518337,1
CDH1,5.55e-17,1.97112769153314e-15
CEACAM6,0.327378215757156,1
CENPF,5.55e-17,1.97112769153314e-15
CLDN4,1.6694210982493e-06,1.8281345308827e-05
CLEC14A,5.55e-17,1.97112769153314e-15
CRISPLD2,5.55e-17,1.97112769153314e-15
CTLA4,0.00211412667641642,0.0176951746721585
CTTN,3.28281846151413e-12,5.0161661827649e-11
CXCL12,5.55e-17,1.97112769153314e-15
CXCL16,0.00256419474830738,0.021326393564863
CXCR4,2.22044604925031e-16,4.10965511289451e-15
CYTIP,1.41812737108893e-08,1.82700008580032e-07
DAPK3,0.910470116216402,1
DMKN,0.359067644097371,1
DNTTIP1,0.485064423793686,1
DPT,1.11022302462516e-16,2.86064228446579e-15
DSC2,0.0007210733194849,0.00631701150072182
DSP,2.22044604925031e-16,4.10965511289451e-15
DST,0.0289338224874652,0.224979324366655
DUSP2,0.574142786649157,1
DUSP5,0.000100239649690415,0.000968554653403714
EDNRB,7.43849426498855e-15,1.30330862480261e-13
EGFL7,5.09983699714667e-09,6.70161995158735e-08
EGFR,1.11022302462516e-16,2.86064228446579e-15
EIF4EBP1,0.27068479405309,1
ELF3,1.11022302462516e-16,2.86064228446579e-15
ENAH,0.0163693020452911,0.131162538831477
EPCAM,5.55e-17,1.97112769153314e-15
ERBB2,5.55e-17,1.97112769153314e-15
ERN1,1.29516938619512e-05,0.000133206171025894
ESM1,6.13149004125013e-06,6.49782247885366e-05
ESR1,0.908452731301026,1
FAM107B,0.000438912147171733,0.00397770982731251
FAM49A,0.000564619195928318,0.00504733121208836
FASN,5.55e-17,1.97112769153314e-15
FBLIM1,1.55431223447522e-15,2.79794327549119e-14
FBLN1,5.55e-17,1.97112769153314e-15
FCER1G,1.55431223447522e-15,2.79794327549119e-14
FCGR3A,1.44181892725026e-05,0.000145744062239979
FGL2,1.98492777325754e-07,2.28803865471412e-06
FLNB,3.91737379468182e-06,4.18517288064152e-05
FOXA1,5.55e-17,1.97112769153314e-15
FSTL3,0.268146405823755,1
GATA3,5.55e-17,1.97112769153314e-15
GJB2,2.22044604925031e-16,4.10965511289451e-15
GLIPR1,2.22044604925031e-16,4.10965511289451e-15
GPR183,6.99072865151251e-07,7.78509538361042e-06
GZMA,4.96069851863012e-12,7.49285074285002e-11
HAVCR2,1.62432844286187e-07,1.88894322942179e-06
HDC,0.46236756041537,1
HMGA1,8.06861100621781e-06,8.48227337950134e-05
HOOK2,0.0785519991630952,0.586500078695701
HOXD8,2.45627451711528e-09,3.29362633924702e-08
HOXD9,2.22044604925031e-16,4.10965511289451e-15
HPX,0.884684954340453,1
IGF1,1.11022302462516e-16,2.86064228446579e-15
IGSF6,0.000212624628435965,0.00201012130941043
IL2RG,2.22044604925031e-16,4.10965511289451e-15
IL3RA,5.06572561675966e-12,7.5645394249271e-11
IL7R,2.22044604925031e-16,4.10965511289451e-15
ITGAM,0.00295928610863339,0.0244575714712646
ITGAX,1.40352840460878e-10,2.0267646184452e-09
ITM2C,2.22044604925031e-16,4.10965511289451e-15
JUP,0.00109797547429968,0.00949232395621203
KARS,0.841970899230071,1
KDR,1.11022302462516e-16,2.86064228446579e-15
KLF5,1.20330365500632e-05,0.000125495510883915
KLRB1,3.23604699037361e-07,3.63456514748029e-06
KRT15,0.7515072365668,1
KRT7,5.55e-17,1.97112769153314e-15
KRT8,5.55e-17,1.97112769153314e-15
LAG3,0.000420636403231311,0.00386539889266265
LARS,0.112477490747464,0.81211537247798
LDHB,5.55e-17,1.97112769153314e-15
LGALSL,0.156859497482289,1
LPL,0.00207522748193711,0.0174809331447728
LPXN,1.4077627952247e-13,2.31240019064792e-12
LRRC15,1.2084966360959e-09,1.65423693370367e-08
LUM,5.55e-17,1.97112769153314e-15
LYPD3,6.9377836808826e-13,1.1255355992802e-11
LYZ,3.26532444416827e-08,3.97306878625935e-07
MAP3K8,0.170483814524091,1
MDM2,0.000460446692114647,0.0041442887000092
MEDAG,2.59481325315392e-12,4.01153588835206e-11
MKI67,5.55e-17,1.97112769153314e-15
MLPH,5.55e-17,1.97112769153314e-15
MMP1,4.89243059398348e-08,5.79195520883169e-07
MMP2,5.55e-17,1.97112769153314e-15
MMRN2,1.11022302462516e-16,2.86064228446579e-15
MNDA,0.00560963685778082,0.0455033355959536
MRC1,0.000292870472308637,0.00272948036879407
MYLK,4.98490138056695e-14,8.50725294441325e-13
MYO5B,2.22044604925031e-16,4.10965511289451e-15
MZB1,0.0576961181943033,0.438252085806398
NARS,1.16554310647388e-09,1.61223459147103e-08
NOSTRIN,2.22044604925031e-16,4.10965511289451e-15
NPM3,0.0527239951942967,0.402812895099762
OCIAD2,0.0215868358617624,0.169861915926948
OXTR,0.194708902179784,1
PCLAF,2.22044604925031e-16,4.10965511289451e-15
PCOLCE,2.10687023383116e-12,3.29596052410437e-11
PDE4A,0.0951545482162865,0.702478520466097
PDGFRA,5.55e-17,1.97112769153314e-15
PDGFRB,5.55e-17,1.97112769153314e-15
PDK4,1.29751030066849e-05,0.000133206171025894
PECAM1,1.11022302462516e-16,2.86064228446579e-15
PELI1,0.0430596618752762,0.33090094312051
PIM1,6.54889142914783e-10,9.15510726584208e-09
POLR2J3,0.161567984366297,1
POSTN,5.55e-17,1.97112769153314e-15
PPARG,1.19736210768551e-06,1.32221490602319e-05
PRDM1,2.22044604925031e-16,4.10965511289451e-15
PTGDS,2.22044604925031e-16,4.10965511289451e-15
PTN,2.22044604925031e-16,4.10965511289451e-15
PTPRC,5.55e-17,1.97112769153314e-15
PTRHD1,0.385072490582828,1
QARS,0.25350509817373,1
RAB30,2.05891990123774e-08,2.57675811554184e-07
RAMP2,1.11022302462516e-16,2.86064228446579e-15
RAPGEF3,0.000221945063627271,0.00208324790911809
RHOH,3.28078822235955e-05,0.000329101909167873
RORC,0.309874698964266,1
RTKN2,1.11022302462516e-16,2.86064228446579e-15
RUNX1,5.55e-17,1.97112769153314e-15
S100A14,2.87210152993822e-07,3.28190078756865e-06
S100A4,8.71525074330748e-14,1.46827966485369e-12
SCD,5.55e-17,1.97112769153314e-15
SDC4,0.019928578244148,0.157758122208534
SEC11C,0.228698443219162,1
SEC24A,0.564582939169626,1
SELL,0.000381620509080971,0.00353156222115717
SERHL2,1.11022302462516e-16,2.86064228446579e-15
