metric	num_iterations	median_pearson_r_vs_4	min_pearson_r_vs_4	max_pearson_r_vs_4	median_rmse_vs_4
geary_c	1	0.7776139447341486	-0.0019567461040006368	0.9573040391763715	0.06538226883599974
geary_c	2	0.8851531159766322	0.473366212144774	0.9821252836282219	0.04510986812432119
geary_c	3	0.9381729722805396	0.786357717668065	0.9780608862470274	0.040685863580823524
geary_c	4	1.0	1.0	1.0	0.0
geary_c	6	0.92408207132332	0.11639205565344841	0.9643589378518007	0.04019762980086536
geary_c	8	0.9570559872572549	0.014253229307374105	0.9734949036048514	0.036008171886558554
geary_c	10	0.8867776483261085	0.09114157269029237	0.9768037842012682	0.050154657499191305
interaction_distance	1	0.880194579649979	0.6532877492028502	0.950327784174871	9.73750029615902
interaction_distance	2	0.9413946538316645	0.8934191298616717	0.9830275645245015	6.15895389401655
interaction_distance	3	0.9812615178701329	0.9081450592743411	0.9902489635352711	4.131408149923535
interaction_distance	4	1.0	1.0	1.0	0.0
interaction_distance	6	0.9605169535395501	0.7632778401986053	0.9842963142773546	5.612659483089097
interaction_distance	8	0.9656295330588203	0.887995381583118	0.981236537427291	4.561863951372281
interaction_distance	10	0.915875155011094	0.8167183913236364	0.959623677786606	8.040245108047197
moran_i	1	0.8791096762911665	-0.2840270692022196	0.955520799377493	0.07368100616983322
moran_i	2	0.954964792454081	0.47447525709057764	0.98225959017225	0.04011706749947597
moran_i	3	0.9631601353727379	0.7005478603933175	0.9982865088995396	0.039561297717213395
moran_i	4	1.0	1.0	1.0	0.0
moran_i	6	0.9597878205313817	-0.0051705709517563675	0.9930273262495228	0.03702875770227227
moran_i	8	0.9706155747255616	0.04188607668840377	0.9891507755584787	0.04420447833456452
moran_i	10	0.965304248002862	-0.12099243679902699	0.9943465822727762	0.03837079915402313
