genes,gene,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
BASP1,BASP1,0.9999546021281341,4,MDM2,0.10916186875490687,4.5399929762484854e-05,-4928.28092102488,-7.504240845862755,57.61035291988358,SE,3171,64.66239420046197,22721583942.61224,0.0034470558166503906,9888.809051147913,-4928.412951543503,0.132030518623651,0.7163359482452349,0.9929148290102869
BTNL9,BTNL9,0.9999546021281341,4,MMP1,0.10916186875490687,4.5399929762484854e-05,-2910.6079211005476,-2.3705388081584013,5.985167577915314,SE,3171,754.6816295775774,265186005071.7363,0.0031108856201171875,5853.463051299249,-2910.6299440783896,0.022022977841970715,0.8820259890976868,0.9929148290102869
C1QA,C1QA,0.9999546021281341,4,MNDA,0.10916186875490687,4.5399929762484854e-05,-3110.272360197277,-2.2014487787119466,5.261545004507954,SE,3171,383.7686502015077,134851666226.02806,0.002324819564819336,6252.791929492708,-3110.3103261867545,0.03796598947747043,0.8455114488602375,0.9929148290102869
C1QC,C1QC,0.999954602128134,4,MRC1,0.10916186875490687,4.5399929762484854e-05,-3673.524437626712,-2.1517799332466874,5.222971108639183,SE,3171,1223.659708733719,429979234962.029,0.0023660659790039062,7379.2960843515775,-3673.541707157924,0.01726953121215047,0.8954481399061662,0.9929148290102869
C2orf42,C2orf42,0.999954602128134,4,MZB1,0.10916186875490687,4.5399929762484854e-05,-4032.38392221816,-2.8373523522788373,8.793406914988635,SE,3171,307.6257118428168,108095957796.94264,0.0023946762084960938,8097.015053534474,-4032.430782486411,0.046860268250839,0.8286195938245818,0.9929148290102869
C6orf132,C6orf132,0.999954602128134,4,PDE4A,0.10916186875490687,4.5399929762484854e-05,-4074.3727090598095,-2.151117236827654,5.390971876051796,SE,3171,199.66412551255988,70159560966.72775,0.0021889209747314453,8180.992627217773,-4074.4343147121745,0.061605652364960406,0.803975906506977,0.9929148290102869
CAV1,CAV1,0.999954602128134,4,PIM1,0.10916186875490687,4.5399929762484854e-05,-4487.780708922197,-2.010647482662467,5.0343429637660435,SE,3171,200.1171296098972,70318741132.43718,0.0021462440490722656,9007.808626942548,-4487.84352667932,0.06281775712341187,0.8020965444984166,0.9929148290102869
CAVIN2,CAVIN2,0.999954602128134,4,PTN,0.10916186875490687,4.5399929762484854e-05,-3949.1233346266818,-2.1228946925250205,5.21228588214746,SE,3171,941.3838909950058,330790923627.1003,0.002137899398803711,7930.493878351517,-3949.1451524312197,0.021817804537931806,0.8825728136700847,0.9929148290102869
CCDC6,CCDC6,2.061153474555437e-09,4,RHOH,0.10916186875490687,485165195.4097903,-5548.039025752296,-6.440740345501865,8.94964443459775e-08,SE,3171,21.98609434748759,3.747166421638282e+18,0.0027740001678466797,11128.325260602745,-5548.039104607913,7.885561717557721e-05,0.9929148235353167,0.9929148290102869
CCDC80,CCDC80,0.999954602128134,4,RORC,0.10916186875490687,4.5399929762484854e-05,-3608.803877216858,-3.1621108067675388,10.56668523184409,SE,3171,282.99121607302635,99439693666.53345,0.003282308578491211,7249.8549635318695,-3608.8532175751984,0.049340358340487,0.8242151001111511,0.9929148290102869
CCL5,CCL5,0.999954602128134,4,SEC11C,0.10916186875490687,4.5399929762484854e-05,-5617.82985540447,-6.9359227563828485,50.11976850706855,SE,3171,22.59775478768105,7940577961.451267,0.0019567012786865234,11267.906919907095,-5618.082619945487,0.2527645410164041,0.6151351710961622,0.9929148290102869
CCL8,CCL8,0.999954602128134,4,SEC24A,0.10916186875490687,4.5399929762484854e-05,-5596.003010088788,-6.416665864724149,43.1603653389497,SE,3171,62.971668503315065,22127483363.385574,0.002140045166015625,11224.25322927573,-5596.150684866592,0.14767477780424088,0.7007674012251187,0.9929148290102869
CCND1,CCND1,0.9999546021281341,4,SELL,0.10916186875490687,4.5399929762484854e-05,-2602.9326149167414,-1.6657599667784448,3.076416753519622,SE,3171,545.8376522717103,191800755114.03583,0.0020711421966552734,5238.1124389316365,-2602.9610949204844,0.02848000374297044,0.8659852681991664,0.9929148290102869
CCPG1,CCPG1,0.999954602128134,4,SLC25A37,0.10916186875490687,4.5399929762484854e-05,-4760.54249326695,-3.809297352611922,15.686154970167394,SE,3171,152.61218662855669,53626078217.83348,0.00220489501953125,9553.332195632054,-4760.621771865965,0.07927859901428747,0.7782774214556829,0.9929148290102869
CD14,CD14,0.9999546021281341,4,SMS,0.10916186875490687,4.5399929762484854e-05,-5353.43364678219,-7.403257439801999,56.50835891258828,SE,3171,2759.3049023287244,969586399276.0289,0.002090930938720703,10739.114502662535,-5353.45100091243,0.017354130239255028,0.8951938406747426,0.9929148290102869
CD163,CD163,0.9999546021281341,4,SRPK1,0.10916186875490687,4.5399929762484854e-05,-5568.725691047428,-6.518178626268858,44.439034422579205,SE,3171,263.7999027897666,92696098086.33224,0.0027060508728027344,11169.69859119301,-5568.797031080376,0.07134003294777358,0.7893955935888947,0.9929148290102869
CD247,CD247,0.999954602128134,4,TENT5C,0.10916186875490687,4.5399929762484854e-05,-5672.8869769553,-8.21282218358974,69.52998608839498,SE,3171,107.38882683500132,37735136064.878,0.001993894577026367,11378.021163008754,-5672.983887591174,0.09691063587342796,0.7555689706358655,0.9929148290102869
CD3D,CD3D,0.9999546021281341,4,THAP2,0.10916186875490687,4.5399929762484854e-05,-4635.676358541861,-3.226835908885522,11.499596184605293,SE,3171,7.719646259198693,2712590411.39506,0.002145051956176758,9303.599926181876,-4636.100587516867,0.4242289750054624,0.5148343753929925,0.9929148290102869
CD3E,CD3E,0.9999546021281341,4,TIFA,0.10916186875490687,4.5399929762484854e-05,-4460.366679954521,-3.244667427075331,11.500900319313088,SE,3171,161.08949289337792,56604901199.64618,0.0022852420806884766,8952.980569007195,-4460.439890330609,0.07321037608835468,0.7867185719965735,0.9929148290102869
CD3G,CD3G,0.999954602128134,4,TRIB1,0.10916186875490687,4.5399929762484854e-05,-5405.9964374281435,-5.032537046576305,27.091559029971616,SE,3171,100.20522775527748,35210906154.6912,0.0020170211791992188,10844.24008395444,-5406.106100470766,0.10966304262274207,0.7405280834964567,0.9929148290102869
CD4,CD4,0.9999546021281341,4,TYROBP,0.10916186875490687,4.5399929762484854e-05,-2528.5338634533005,-2.2909087261003025,5.5354571576403995,SE,3171,479.6463498776143,168541931307.83566,0.0023322105407714844,5089.314936004755,-2528.5654716335084,0.03160818020796796,0.8588903392762494,0.9929148290102869
CD68,CD68,0.999954602128134,4,WARS,0.10916186875490687,4.5399929762484854e-05,-5534.734660159052,-5.9508419346731225,37.32500450541773,SE,3171,537.1901841838196,188762139323.82947,0.0019807815551757812,11101.716529416257,-5534.821862386561,0.08720222750980611,0.7677645386738102,0.9929148290102869
CD69,CD69,0.9999546019549734,4,ANGPT2,0.27294033677742424,4.5399929762484854e-05,-2812.591093542522,-2.3193489524745248,5.669258774767681,SE,3171,7.112120280783592,2499094061.132253,0.001965045928955078,5657.429396183197,-2813.1161060456698,0.5250125031479911,0.46871128771959025,0.9547822527621284
CD83,CD83,0.9999546019549734,4,APOBEC3B,0.27294033677742424,4.5399929762484854e-05,-3300.970804346378,-2.345979354530099,5.916893308246359,SE,3171,0.06762525914651725,23762517.623924483,0.0018990039825439453,6634.1888177909095,-3303.096445697506,2.1256413511282517,0.14485213697847643,0.5874994118861732
CD86,CD86,0.47836340146493117,4,AR,0.27294033677742424,1.0904566921925747,-5550.101370616987,-9.106285425160193,40.383823486296095,SE,3171,0.7343990794027304,13.796487639228914,0.0019037723541259766,11132.449950332128,-5550.537431172343,0.43606055535565247,0.5090300119243322,0.9929148290102869
