Gene,C,Z,Pval,FDR
SLAMF7,0.038336937322554575,14.825455,5.014921180669665e-50,1.2979795997027368e-49
MRC1,0.03949119874452566,14.816287,5.7482969749926e-50,1.470494574998107e-49
ELF3,0.06721194557220027,14.721687,2.339198935114375e-49,5.915215697990374e-49
SERHL2,0.06925850619465036,14.688206,3.835922478514951e-49,9.589806196287376e-49
PDK4,0.04489046190814296,14.206142,4.196139293815701e-46,1.0372479153252296e-45
PTGDS,0.03987679220179846,14.109692,1.6551116756702595e-45,4.045828540527301e-45
RAB30,0.03935944497413171,14.016745,6.156734660744094e-45,1.4884413465535171e-44
LYZ,0.041168336751490474,13.86039,5.50375022755618e-44,1.316114184850391e-43
AR,0.06433527589015273,13.087108,1.950924337478728e-39,4.61508983059484e-39
MZB1,0.03947342055871862,12.942316,1.298405363129286e-38,3.03882106264301e-38
HAVCR2,0.038966580680603706,12.9242115,1.6432424872905273e-38,3.8054036547780634e-38
C1QC,0.043470541492442526,12.876059,3.0695771406574744e-38,7.034447614006712e-38
MYLK,0.03960683751224577,12.74653,1.6296737240425111e-37,3.6961672091685817e-37
SFRP4,0.030459499440728368,12.568959,1.5640735440587114e-36,3.511185507070577e-36
FGL2,0.03884368154398611,12.39811,1.3377939714895199e-35,2.972875492198933e-35
APOC1,0.03527977454287622,12.255665,7.832963402623718e-35,1.723251948577218e-34
FBLIM1,0.04609379366231819,11.6039715,1.966944674085746e-31,4.28443394355311e-31
ESM1,0.03462863989281932,11.193782,2.1868609234174618e-29,4.7167588544298195e-29
CCPG1,0.042303222616621304,11.029129,1.382650426533346e-28,2.9532339207508363e-28
PIM1,0.0316735076018949,10.791788,1.8819694287820327e-27,3.9810891762696845e-27
SMAP2,0.0330326364294199,10.436838,8.416198549282341e-26,1.7633939817543954e-25
SOX17,0.027691022703536128,10.278361,4.410732312113636e-25,9.154350081745283e-25
GJB2,0.03137366565719796,10.131043,2.0116645440571265e-24,4.136132707407176e-24
HOXD8,0.03565552520696741,9.611931,3.560053805107658e-22,7.251961454848933e-22
CD163,0.04715816315878688,9.486407,1.1956713254821661e-21,2.4132815743676746e-21
BASP1,0.03878807787469929,9.330662,5.2605957209637365e-21,1.0521191441927473e-20
CD69,0.018171753558764114,9.322575,5.677541692898913e-21,1.1252785337277125e-20
FAM49A,0.02849600711598156,8.984403,1.3007176886076145e-19,2.5549811740506715e-19
PTN,0.03189711467522503,8.352461,3.3427610923342616e-17,6.508030445252544e-17
CD8A,0.017658264497820434,8.315748,4.558760283776086e-17,8.79760756518192e-17
SERPINB9,0.026418056058699832,8.261112,7.216066511513294e-17,1.3804648978547173e-16
MEDAG,0.01878001403317107,7.956897,8.82038779050986e-16,1.6728321671656632e-15
ANKRD29,0.02293260916619836,7.7884426,3.392008598723658e-15,6.37813582665987e-15
TENT5C,0.021508327879695577,7.5846734,1.6666280289275475e-14,3.107272596305597e-14
NARS,0.0346296616889431,7.5641127,1.952605798956884e-14,3.6098594602564246e-14
KLF5,0.03430454981770944,7.4306793,5.4020677549494945e-14,9.903790884074074e-14
MNDA,0.023920198595292947,7.4021707,6.698808156338965e-14,1.2179651193343573e-13
ITGAM,0.02504283124815143,7.344977,1.0289731754454424e-13,1.8555253983442403e-13
SLC5A6,0.033228825408584226,7.3302903,1.148273432521891e-13,2.0538223996326504e-13
TCIM,0.03272195139569958,7.272982,1.7581843971495303e-13,3.119359414297554e-13
C1QA,0.02015914121955044,7.1081886,5.878789898408006e-13,1.034667022119809e-12
LPL,0.01710426302259388,7.0691414,7.794762457606979e-13,1.3609902703758217e-12
ITGAX,0.023928934100212098,6.9202743,2.253850483803561e-12,3.904307924699082e-12
FLNB,0.028325955281530507,6.7782383,6.082504350617633e-12,1.0454304352624058e-11
S100A14,0.027305198134357587,6.5737715,2.4528252289044556e-11,4.183112793480467e-11
IGSF6,0.022324774143755034,6.53715,3.1351097551221935e-11,5.3055703548221735e-11
USP53,0.027587016844728977,6.383675,8.644385122743843e-11,1.451728799239424e-10
TRAF4,0.028502646278795073,5.9978976,9.994423256164064e-10,1.6657372093606775e-09
RTKN2,0.0322306100157832,5.877363,2.084264663877125e-09,3.4476558349847185e-09
SNAI1,0.019251424310666777,5.7792306,3.752150703999306e-09,6.1602474244764725e-09
CENPF,0.03799999948463947,5.7109466,5.617476206039724e-09,9.154405669101772e-09
CDC42EP1,0.021643608613883723,5.6785164,6.793400913732878e-09,1.0989325007509067e-08
TOP2A,0.025446473443703422,5.5921636,1.1212870385950902e-08,1.800606923291386e-08
ANGPT2,0.020111662430086375,5.453735,2.4661361907171573e-08,3.9315214634621344e-08
SH3YL1,0.025176371825363024,5.4442596,2.6010647060196825e-08,4.1167930598872675e-08
TPD52,0.02344503351319602,5.3341184,4.800494116051805e-08,7.54363361093855e-08
TFAP2A,0.02504062400766071,5.3118916,5.42465810229527e-08,8.464005549680564e-08
SLAMF1,0.012048038276726061,5.286621,6.229817362564531e-08,9.651829716649273e-08
PCOLCE,0.016460963205833828,5.2722144,6.739373864972932e-08,1.0368267484573741e-07
