Gene,C,Z,Pval,FDR
CD3E,0.026275703764305235,20.09518,4.065914571248451e-90,8.904352911034109e-88
PTPRC,0.028285133289692756,14.068142,2.9807609450133007e-45,3.2639332347895644e-43
IL2RG,0.018706965156736456,10.074742,3.572391451774904e-24,2.60784575979568e-22
TRAC,0.016807826437888525,8.876614,3.4463361527809932e-19,1.8868690436475938e-17
CXCR4,0.015831191654581037,7.793121,3.268701714885326e-15,1.431691351119773e-13
CYTIP,0.015134201055217306,7.489642,3.453082681290977e-14,1.2603751786712067e-12
ITM2C,0.014847175266273813,7.0716214,7.656686449096923e-13,2.3954490462174662e-11
EPCAM,0.03477180712444167,6.814001,4.746049453049894e-12,1.2992310377724084e-10
FOXA1,0.03270705364651738,6.521636,3.477230921526393e-11,8.461261909047557e-10
SLAMF1,0.012342640530763133,6.448421,5.6510724145229423e-11,1.2375848587805243e-09
PTGDS,0.017753363649086067,6.4055653,7.490664231540967e-11,1.4913231515522472e-09
KRT7,0.02919248621029227,6.362149,9.947530471291474e-11,1.815424311010694e-09
IL7R,0.010311257749813556,6.3161564,1.3407435151217175e-10,2.258637152397355e-09
CD3D,0.011697847431497203,5.8297663,2.775253141689174e-09,4.341288843070923e-08
ANKRD30A,0.033197134813906626,5.7807293,3.718874458871025e-09,5.429556709951697e-08
CCL5,0.008172958811872293,5.6111317,1.005038733091206e-08,1.3756467659185884e-07
CCDC80,0.018248719048449956,5.200099,9.959120718978611e-08,1.2829690808566564e-06
GZMA,0.006412538461583787,5.034522,2.3952126038356334e-07,2.9141753346666874e-06
GATA3,0.025338178541884762,4.8837914,5.203257177967214e-07,5.997438536709579e-06
CTTN,0.023162518347464363,4.612893,1.985512766646508e-06,2.123529986601638e-05
KLRB1,0.010884900749448593,4.6076465,2.036261630987872e-06,2.123529986601638e-05
CD4,0.016453268313161067,4.591711,2.1981338629162605e-06,2.1881423453575504e-05
CD69,0.008424494733438176,4.556129,2.6052474472720444e-06,2.4806486563155556e-05
PRDM1,0.010948917171864211,4.299989,8.540320755923398e-06,7.793042689780101e-05
GLIPR1,0.011210872967671062,4.1741548,1.4954719970809499e-05,0.00013100334694429123
MEDAG,0.011736245919559563,4.00808,3.060719220107816e-05,0.00025720333419265284
CD247,0.008129779198580397,3.9997106,3.17100001059435e-05,0.00025720333419265284
CDH1,0.021102682565595113,3.8917353,4.976489616342164e-05,0.0003892325807067621
ERN1,0.009674115347632094,3.8039398,7.120639605442618e-05,0.0005377310598592874
ERBB2,0.016010653507546338,3.7402701,9.191129326715387e-05,0.0006709524408502232
TACSTD2,0.020459629562450746,3.6211658,0.00014663926709591806,0.0010359354675485825
TYROBP,0.014080011891045041,3.5988739,0.0001597990798370082,0.001093624952634525
MZB1,0.00937870667266577,3.4956741,0.0002364328994978816,0.0015376531833612885
CD3G,0.00632889175539955,3.4931016,0.0002387224120286932,0.0015376531833612885
MLPH,0.019502418584373977,3.4210804,0.0003118645072028445,0.0019513807736406558
FGL2,0.011691022286934862,3.3418636,0.0004160896707808424,0.0025312121639167913
ZEB2,0.012460960680474335,3.276597,0.0005253310366109613,0.0031093918112919065
S100A4,0.00840049385389466,3.2667954,0.0005438613111591843,0.0031343586090489834
FASN,0.014700292290346252,3.0461085,0.001159120875862039,0.006500454394507879
FAM107B,0.011580606304041837,3.0388799,0.0011872976063028089,0.006500454394507879
SEC11C,0.009507456204403401,2.9971302,0.0013626716381358245,0.007278660701262088
CXCL12,0.011242248250760447,2.9707978,0.0014851364708640684,0.007743925883791214
ESM1,0.008044612199776067,2.9247088,0.0017238932142059767,0.008779828230490906
AIF1,0.009877000479764645,2.9128742,0.0017905940761872726,0.008912275061023016
LUM,0.01105900110813451,2.8837316,0.0019649677154527545,0.009562842881870072
C2orf42,0.010174385612669458,2.8067312,0.0025023490112116007,0.011913357249029144
FBLN1,0.01042406026100294,2.6659734,0.0038382880471176696,0.017884788985505738
CD8B,0.002981191916867992,2.5801125,0.004938407277545713,0.022531483203802317
LDHB,0.009536656363544352,2.5388575,0.005560756230147112,0.02485317580412689
MMP2,0.008806813322641638,2.4432244,0.007278340882082629,0.031879133063521914
PDK4,0.009229848269816142,2.4225981,0.007704981740573803,0.03307419520129126
C1QC,0.009195829175583294,2.4156659,0.00785323356377692,0.03307419520129126
CD68,0.009647325573219238,2.3809488,0.008634056350704628,0.035647617714900846
SCD,0.0110020911696146,2.3743548,0.008789823546139934,0.035647617714900846
PDE4A,0.008790544874558347,2.3540745,0.00928444508682941,0.036968972254829834
ACTA2,0.008419860335137048,2.2898378,0.011015359430386071,0.042352219824097155
C1QA,0.008015238366823656,2.2895682,0.011023180502162272,0.042352219824097155
SFRP4,0.005910130242691582,2.242492,0.012464797162014726,0.047065354801400436
LPXN,0.00697616554742777,2.210131,0.013548038411601987,0.05028848156170907
CD9,0.011333570242944896,2.1806715,0.01460386296274575,0.05330409981402199
