genes,observed,p.value
LUM,0.129887308286966,0.000975609756097561
POSTN,0.093190542128267,0.000975609756097561
KRT7,0.0710959229012933,0.000975609756097561
CCDC80,0.067650598562443,0.000975609756097561
EPCAM,0.0642863124026609,0.000975609756097561
MLPH,0.0635499714462884,0.000975609756097561
GATA3,0.062172003936029,0.000975609756097561
ANKRD30A,0.0612589806609734,0.000975609756097561
MMP2,0.0608870840807444,0.000975609756097561
PDGFRB,0.0597394232136848,0.000975609756097561
TACSTD2,0.0577195571263758,0.000975609756097561
FOXA1,0.0559044240401682,0.000975609756097561
FASN,0.0558516815583492,0.000975609756097561
PDGFRA,0.0532063294029964,0.000975609756097561
SCD,0.0527655086728765,0.000975609756097561
CXCL12,0.0520632085111239,0.000975609756097561
ERBB2,0.0483204050315717,0.000975609756097561
CD9,0.0481595507472607,0.000975609756097561
FBLN1,0.0421329076073683,0.000975609756097561
LDHB,0.0415931565527371,0.000975609756097561
ZEB2,0.0411013690205387,0.000975609756097561
RUNX1,0.0407058461523635,0.000975609756097561
CD68,0.0405921903809408,0.000975609756097561
CCND1,0.0375934525943565,0.000975609756097561
FCER1G,0.0348282799773647,0.000975609756097561
EGFR,0.0346399838025752,0.000975609756097561
ACTA2,0.034484579559029,0.000975609756097561
AR,0.0333240957731397,0.000975609756097561
ABCC11,0.0332704289018519,0.000975609756097561
IGF1,0.0331971461611153,0.000975609756097561
RTKN2,0.0328981151559046,0.000975609756097561
TPD52,0.0322281465495338,0.000975609756097561
KRT8,0.031625916095615,0.000975609756097561
FGL2,0.0314486308673345,0.000975609756097561
MYO5B,0.0311607138191867,0.000975609756097561
GLIPR1,0.0303689781499971,0.000975609756097561
CD4,0.0295798158834607,0.000975609756097561
ELF3,0.0294925747098123,0.000975609756097561
KDR,0.0293603951070561,0.000975609756097561
TCIM,0.0291977569122267,0.000975609756097561
DSP,0.0291846450026769,0.000975609756097561
BASP1,0.0289092180475863,0.000975609756097561
AIF1,0.0288840171880752,0.000975609756097561
SERHL2,0.0282637540305979,0.000975609756097561
PDK4,0.0274108520706296,0.000975609756097561
DPT,0.0267189997058143,0.000975609756097561
CDH1,0.0263058014014335,0.000975609756097561
MMP1,0.0258835192897883,0.000975609756097561
CD14,0.0253023039827107,0.000975609756097561
CTTN,0.0237541090410445,0.000975609756097561
PTPRC,0.0234880983432636,0.000975609756097561
FCGR3A,0.0234217408754798,0.000975609756097561
LYZ,0.0233030884510213,0.000975609756097561
PCOLCE,0.0223931045771534,0.000975609756097561
S100A14,0.0220925772604642,0.000975609756097561
PTN,0.0211275261988262,0.000975609756097561
CRISPLD2,0.0190145715120917,0.000975609756097561
GJB2,0.0187105877127069,0.000975609756097561
LRRC15,0.0182653606192784,0.000975609756097561
